titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 15 185/65R15 88H Energy XM2 Plus Michelin,614.76,https://www.magazineluiza.com.br/pneu-aro-15-185-65r15-88h-energy-xm2-plus-michelin/p/jh7j736d96/au/pine/,2025-09-11 16:13:22,185/65R15,michelin,energy xm2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu michelin 185/65r15 88h tl energy xm2 + mi,674.9,https://www.magazineluiza.com.br/pneu-michelin-185-65r15-88h-tl-energy-xm2-mi/p/ga0kadeac3/au/pine/,2025-09-11 16:13:26,185/65R15,michelin,energy xm2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 185/65R15 Michelin Energy XM2+ 88H,789.77,https://www.magazineluiza.com.br/pneu-185-65r15-michelin-energy-xm2-88h/p/da23914gb1/au/pine/,2025-09-11 16:13:29,185/65R15,michelin,energy xm2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 15 185/65R15 88H Energy XM2 Plus Michelin,614.76,https://www.magazineluiza.com.br/pneu-aro-15-185-65r15-88h-energy-xm2-plus-michelin/p/jh7j736d96/au/pine/,2025-09-11 16:14:01,185/65R15,michelin,energy xm2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu michelin 185/65r15 88h tl energy xm2 + mi,674.9,https://www.magazineluiza.com.br/pneu-michelin-185-65r15-88h-tl-energy-xm2-mi/p/ga0kadeac3/au/pine/,2025-09-11 16:14:04,185/65R15,michelin,energy xm2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 185/65R15 Michelin Energy XM2+ 88H,789.77,https://www.magazineluiza.com.br/pneu-185-65r15-michelin-energy-xm2-88h/p/da23914gb1/au/pine/,2025-09-11 16:14:07,185/65R15,michelin,energy xm2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 185/65R15 Michelin Energy XM2+ 88H,789.77,https://www.magazineluiza.com.br/pneu-185-65r15-michelin-energy-xm2-88h/p/da23914gb1/au/pine/,2025-09-11 16:14:14,185/65R15,michelin,energy xm2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu michelin 185/65r15 88h tl energy xm2 + mi,674.9,https://www.magazineluiza.com.br/pneu-michelin-185-65r15-88h-tl-energy-xm2-mi/p/ga0kadeac3/au/pine/,2025-09-11 16:14:18,185/65R15,michelin,energy xm2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 15 185/65R15 88H Energy XM2 Plus Michelin,614.76,https://www.magazineluiza.com.br/pneu-aro-15-185-65r15-88h-energy-xm2-plus-michelin/p/jh7j736d96/au/pine/,2025-09-11 16:14:20,185/65R15,michelin,energy xm2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 15 185/65R15 88H Energy XM2 Plus Michelin,614.76,https://www.magazineluiza.com.br/pneu-aro-15-185-65r15-88h-energy-xm2-plus-michelin/p/jh7j736d96/au/pine/,2025-09-11 16:14:44,185/65R15,michelin,energy xm2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu michelin 185/65r15 88h tl energy xm2 + mi,674.9,https://www.magazineluiza.com.br/pneu-michelin-185-65r15-88h-tl-energy-xm2-mi/p/ga0kadeac3/au/pine/,2025-09-11 16:14:48,185/65R15,michelin,energy xm2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 185/65R15 Michelin Energy XM2+ 88H,789.77,https://www.magazineluiza.com.br/pneu-185-65r15-michelin-energy-xm2-88h/p/da23914gb1/au/pine/,2025-09-11 16:14:52,185/65R15,michelin,energy xm2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 185/65R15 Michelin Energy XM2+ 88H,789.77,https://www.magazineluiza.com.br/pneu-185-65r15-michelin-energy-xm2-88h/p/da23914gb1/au/pine/,2025-09-11 16:15:00,185/65R15,michelin,energy xm2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu michelin 185/65r15 88h tl energy xm2 + mi,674.9,https://www.magazineluiza.com.br/pneu-michelin-185-65r15-88h-tl-energy-xm2-mi/p/ga0kadeac3/au/pine/,2025-09-11 16:15:04,185/65R15,michelin,energy xm2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 15 185/65R15 88H Energy XM2 Plus Michelin,614.76,https://www.magazineluiza.com.br/pneu-aro-15-185-65r15-88h-energy-xm2-plus-michelin/p/jh7j736d96/au/pine/,2025-09-11 16:15:06,185/65R15,michelin,energy xm2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
