titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Itaro Aro 14 MH01 185/70R14 88H,339.64,https://www.magazineluiza.com.br/pneu-itaro-aro-14-mh01-185-70r14-88h/p/jcaf97g99a/au/pine/,2025-09-02 11:13:23,185/70R14,,,,False,,magazineluiza,,True,0,0.0,PneuStore,False,,,
Pneu Aro 14” 185/70R14 Goodyear 88H Direction 2 Touring,449.9,https://www.magazineluiza.com.br/pneu-aro-14-185-70r14-goodyear-88h-direction-2-touring/p/236189000/au/pine/,2025-09-02 11:13:35,185/70R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14” 185/70R14 Goodyear 88H Maxlife,439.9,https://www.magazineluiza.com.br/pneu-aro-14-185-70r14-goodyear-88h-maxlife-assurance/p/235249800/au/pine/,2025-09-02 11:13:46,185/70R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Barum Aro 14 Bravuris 5HM 185/70R14 88H,383.35,https://www.magazineluiza.com.br/pneu-barum-aro-14-bravuris-5hm-185-70r14-88h/p/hd5ddeb28g/au/aupa/,2025-09-02 11:13:49,185/70R14,,,,False,,magazineluiza,,True,0,0.0,PneuStore,False,,,
Pneu Kumho Aro 14 Ecowing ES31 185/70R14 88T,332.25,https://www.magazineluiza.com.br/pneu-kumho-aro-14-ecowing-es31-185-70r14-88t/p/ajf0bfe2dd/au/aupa/,2025-09-02 11:13:52,185/70R14,kumho,,,False,,magazineluiza,,True,0,0.0,PneuStore,False,,,
Pneu 185/70 r14 88t f700 firestone,564.9,https://www.magazineluiza.com.br/pneu-185-70-r14-88t-f700-firestone/p/kb8378c04c/au/pine/,2025-09-02 11:13:58,185/70R14,firestone,,,False,,magazineluiza,,True,0,0.0,G.R.Pneus E Rodas,False,,,
Pneu aro 14 185/70 r14 continental powercontact2 88h,633.89,https://www.magazineluiza.com.br/pneu-aro-14-185-70-r14-continental-powercontact2-88h/p/fe7407f717/au/aupa/,2025-09-02 11:14:01,185/70R14,continental,,,False,,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
Pneu Aro 14 Roadx 185/70 R14 TL 88H Rxmotion H01,367.11,https://www.magazineluiza.com.br/pneu-aro-14-roadx-185-70-r14-tl-88h-rxmotion-h01/p/fk7a0d8h2h/au/aupa/,2025-09-02 11:14:04,185/70R14,,,,False,,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu aro 14 185/70 r14 dunlop sp touring r1 88t,602.19,https://www.magazineluiza.com.br/pneu-aro-14-185-70-r14-dunlop-sp-touring-r1-88t/p/da4jfck822/au/pine/,2025-09-02 11:14:07,185/70R14,dunlop,,,False,,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
Pneu 185/70 R14 88T Sense KR26 Kumho,478.8,https://www.magazineluiza.com.br/pneu-185-70-r14-88t-sense-kr26-kumho/p/ac327c0049/au/aupa/,2025-09-02 11:14:10,185/70R14,kumho,,,False,,magazineluiza,,True,0,0.0,Borrachariadojack,False,,,
Pneu Aro 14 185/70R14 Kumho 88T TL Ecowing ES31,336.47,https://www.magazineluiza.com.br/pneu-aro-14-185-70r14-kumho-88t-tl-ecowing-es31/p/jk191d6126/au/pine/,2025-09-02 11:14:15,185/70R14,kumho,,,False,,magazineluiza,,True,0,0.0,Hipervarejo,False,,,
Pneu 185/70 R14 Strada Saveiro Montana Gol Premium 86R Aro Reforçado Alta Resistencia vipal,277.0,https://www.magazineluiza.com.br/pneu-185-70-r14-strada-saveiro-montana-gol-premium-86r-aro-reforcado-alta-resistencia-vipal-pioneiro/p/bae8dg15bb/au/pine/,2025-09-02 11:14:18,185/70R14,,,,False,,magazineluiza,,True,0,0.0,Carraopartss,False,,,
Pneu Speedmax Aro 14 MH01 185/70R14 88H,317.14,https://www.magazineluiza.com.br/pneu-speedmax-aro-14-mh01-185-70r14-88h/p/cff5hc22f6/au/aupa/,2025-09-02 11:14:21,185/70R14,,,,False,,magazineluiza,,True,0,0.0,PneuStore,False,,,
Pneu Aro 14 Goodyear 185/70 R14 88H SL Assurance Maxlife,570.55,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-185-70-r14-88h-sl-assurance-maxlife/p/gga3c5cg03/au/aupa/,2025-09-02 11:14:25,185/70R14,goodyear,,,False,,magazineluiza,,True,0,0.0,Pneugreen,False,,,
