titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Goodyear Aro 14 Assurance Maxlife 185/70R14 88H,523.5,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-assurance-maxlife-185-70r14-88h/p/fa0a07j870/au/aupa/,2025-08-23 16:54:34,185/70R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear 185/70 R14 88H SL Assurance Maxlife,570.5,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-185-70-r14-88h-sl-assurance-maxlife/p/gga3c5cg03/au/aupa/,2025-08-23 16:54:46,185/70R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14” 185/70R14 Goodyear 88H Maxlife - Assurance,550.0,https://www.magazineluiza.com.br/pneu-aro-14-185-70r14-goodyear-88h-maxlife-assurance/p/fjajfjbdjh/au/aupa/,2025-08-23 16:54:57,185/70R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/70R14 Goodyear Assurance Maxlife 88H Aro 14,595.03,https://www.magazineluiza.com.br/pneu-185-70r14-goodyear-assurance-maxlife-88h-aro-14/p/jg09bk2f5b/au/aupa/,2025-08-23 16:55:09,185/70R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/70R14 Goodyear Assurance Maxlife 88H,659.99,https://www.magazineluiza.com.br/pneu-185-70r14-goodyear-assurance-maxlife-88h/p/bkg0fddg64/au/pine/,2025-08-23 16:55:19,185/70R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 14 Assurance Maxlife 185/70R14 88H,523.5,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-assurance-maxlife-185-70r14-88h/p/fa0a07j870/au/aupa/,2025-08-23 16:55:54,185/70R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear 185/70 R14 88H SL Assurance Maxlife,570.5,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-185-70-r14-88h-sl-assurance-maxlife/p/gga3c5cg03/au/aupa/,2025-08-23 16:56:07,185/70R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14” 185/70R14 Goodyear 88H Maxlife - Assurance,550.0,https://www.magazineluiza.com.br/pneu-aro-14-185-70r14-goodyear-88h-maxlife-assurance/p/fjajfjbdjh/au/aupa/,2025-08-23 16:56:18,185/70R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/70R14 Goodyear Assurance Maxlife 88H Aro 14,595.03,https://www.magazineluiza.com.br/pneu-185-70r14-goodyear-assurance-maxlife-88h-aro-14/p/jg09bk2f5b/au/aupa/,2025-08-23 16:56:31,185/70R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/70R14 Goodyear Assurance Maxlife 88H,659.99,https://www.magazineluiza.com.br/pneu-185-70r14-goodyear-assurance-maxlife-88h/p/bkg0fddg64/au/pine/,2025-08-23 16:56:42,185/70R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 14 Assurance Maxlife 185/70R14 88H,523.5,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-assurance-maxlife-185-70r14-88h/p/fa0a07j870/au/aupa/,2025-08-23 16:57:17,185/70R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear 185/70 R14 88H SL Assurance Maxlife,570.5,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-185-70-r14-88h-sl-assurance-maxlife/p/gga3c5cg03/au/aupa/,2025-08-23 16:57:30,185/70R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14” 185/70R14 Goodyear 88H Maxlife - Assurance,550.0,https://www.magazineluiza.com.br/pneu-aro-14-185-70r14-goodyear-88h-maxlife-assurance/p/fjajfjbdjh/au/aupa/,2025-08-23 16:57:41,185/70R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/70R14 Goodyear Assurance Maxlife 88H Aro 14,595.03,https://www.magazineluiza.com.br/pneu-185-70r14-goodyear-assurance-maxlife-88h-aro-14/p/jg09bk2f5b/au/aupa/,2025-08-23 16:57:54,185/70R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/70R14 Goodyear Assurance Maxlife 88H,659.99,https://www.magazineluiza.com.br/pneu-185-70r14-goodyear-assurance-maxlife-88h/p/bkg0fddg64/au/pine/,2025-08-23 16:58:05,185/70R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
