titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Passeio 185/55R16 Aro 16 Dunlop 83V Enasave EC300+,629.1,https://www.magazineluiza.com.br/pneu-passeio-185-55r16-aro-16-dunlop-83v-enasave-ec300/p/hkka3d00h2/au/aupa/,2025-08-22 09:33:19,185/55R16,dunlop,enasave ec300,69900977.67,True,https://a-static.mlcdn.com.br/280x210/pneu-passeio-185-55r16-aro-16-dunlop-83v-enasave-ec300/lojasmm/13270/b180fe69f06ceba73d196f7b7e769256.jpeg,magazineluiza,,True,6,0.0,Lojas MM,False,,,
Pneu Dunlop Aro 16 185/55R16 Enasave EC300 83V,818.74,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-185-55r16-enasave-ec300-83v/p/cd683j7a7k/au/aupa/,2025-08-22 09:33:23,185/55R16,dunlop,enasave ec300,861838107.73,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-aro-16-185-55r16-enasave-ec300-83v/webpneus/740067045/567f86cafd6eaa452b4dac539bafab33.jpeg,magazineluiza,,True,1,0.0,Web Pneus,False,,,
Pneu 185 55 R16 83v Enasave Ec300 Dunlop 416915,600.9,https://www.magazineluiza.com.br/pneu-185-55-r16-83v-enasave-ec300-dunlop-416915/p/ce3gf9c8g1/au/pine/,2025-08-22 09:33:26,185/55R16,dunlop,enasave ec300,60090875.11,True,https://a-static.mlcdn.com.br/280x210/pneu-185-55-r16-83v-enasave-ec300-dunlop-416915/pneusonline/10472129-342-416915/05b6eef84e44bb87024af01f07910a1d.jpeg,magazineluiza,,True,0,0.0,Pneus Online,False,,,
Pneu Passeio 185/55R16 Aro 16 Dunlop 83V Enasave EC300+,629.1,https://www.magazineluiza.com.br/pneu-passeio-185-55r16-aro-16-dunlop-83v-enasave-ec300/p/aa2786j55f/au/aupa/,2025-08-22 09:33:28,185/55R16,dunlop,enasave ec300,69900977.67,True,https://a-static.mlcdn.com.br/280x210/pneu-passeio-185-55r16-aro-16-dunlop-83v-enasave-ec300/tabaratotolevando/12950/b180fe69f06ceba73d196f7b7e769256.jpeg,magazineluiza,,True,6,0.0,Tá Barato Tô Levando,False,,,
Pneu Passeio 185/55r16 Aro 16 Dunlop 83v Enasave Ec300+ Preto,699.0,https://www.magazineluiza.com.br/pneu-passeio-185-55r16-aro-16-dunlop-83v-enasave-ec300-preto/p/ae7dbcgb10/au/aupa/,2025-08-22 09:33:34,185/55R16,dunlop,enasave ec300,69900977.67,True,https://a-static.mlcdn.com.br/280x210/pneu-passeio-185-55r16-aro-16-dunlop-83v-enasave-ec300-preto/lojawebcontinentalmarketplace/mkp002647002956/d095a9320b66fd2e7f5dce94618878f6.jpeg,magazineluiza,,True,6,0.0,Webcontinental Marketplace,False,,,
Pneu Dunlop 185/55R16 83V ENASAVE EC300 MV,775.0,https://www.magazineluiza.com.br/pneu-dunlop-185-55r16-83v-enasave-ec300-mv/p/da6f432c3e/au/pine/,2025-08-22 09:33:49,185/55R16,dunlop,enasave ec300,775001077.5,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-185-55r16-83v-enasave-ec300-mv/showpneuserodas/novo88/443418df6c3861496a8c1ef623622687.jpeg,magazineluiza,,True,0,0.0,Show Pneus e Rodas,False,,,
Pneu Dunlop 185/55R16 83V Enasave EC300+,678.11,https://www.magazineluiza.com.br/pneu-dunlop-185-55r16-83v-enasave-ec300/p/ac1gkaeg7c/au/pine/,2025-08-22 09:33:51,185/55R16,dunlop,enasave ec300,67811975.35,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-185-55r16-83v-enasave-ec300/chinelloautocenter/0a88e2865c0711ef88aa4201ac18501b/cb77ec5ffe1e07d6da1aba9a180fabe6.jpeg,magazineluiza,,True,0,0.0,Chinelloautocenter,False,,,
Pneu Passeio 185/55R16 Aro 16 Dunlop 83V Enasave EC300+,629.1,https://www.magazineluiza.com.br/pneu-passeio-185-55r16-aro-16-dunlop-83v-enasave-ec300/p/hkka3d00h2/au/aupa/,2025-08-22 09:34:17,185/55R16,dunlop,enasave ec300,69900977.67,True,https://a-static.mlcdn.com.br/280x210/pneu-passeio-185-55r16-aro-16-dunlop-83v-enasave-ec300/lojasmm/13270/b180fe69f06ceba73d196f7b7e769256.jpeg,magazineluiza,,True,6,0.0,Lojas MM,False,,,
Pneu Dunlop Aro 16 185/55R16 Enasave EC300 83V,818.74,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-185-55r16-enasave-ec300-83v/p/cd683j7a7k/au/aupa/,2025-08-22 09:34:20,185/55R16,dunlop,enasave ec300,861838107.73,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-aro-16-185-55r16-enasave-ec300-83v/webpneus/740067045/567f86cafd6eaa452b4dac539bafab33.jpeg,magazineluiza,,True,1,0.0,Web Pneus,False,,,
Pneu 185 55 R16 83v Enasave Ec300 Dunlop 416915,600.9,https://www.magazineluiza.com.br/pneu-185-55-r16-83v-enasave-ec300-dunlop-416915/p/ce3gf9c8g1/au/pine/,2025-08-22 09:34:22,185/55R16,dunlop,enasave ec300,60090875.11,True,https://a-static.mlcdn.com.br/280x210/pneu-185-55-r16-83v-enasave-ec300-dunlop-416915/pneusonline/10472129-342-416915/05b6eef84e44bb87024af01f07910a1d.jpeg,magazineluiza,,True,0,0.0,Pneus Online,False,,,
