titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
"Pneu Aro 16, Dunlop 185_55 R16 83V SP FM800 código 416094",576.8,https://www.magazineluiza.com.br/pneu-aro-16-dunlop-185-55-r16-83v-sp-fm800-codigo-416094/p/hc14jjb3cb/au/pine/,2025-08-29 10:54:10,185/55R16,dunlop,fm800,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 16 185/55R16 83V Sport FM800,669.37,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-185-55r16-83v-sport-fm800/p/agfg1ddbhj/au/aupa/,2025-08-29 10:54:21,185/55R16,dunlop,fm800,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 16 185/55R16 83V Sport FM800,662.94,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-185-55r16-83v-sport-fm800/p/adb4f3af8f/au/aupa/,2025-08-29 10:54:32,185/55R16,dunlop,fm800,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/55R16 83V SPFM800 DEV,731.11,https://www.magazineluiza.com.br/pneu-dunlop-185-55r16-83v-spfm800-dev/p/ha19hb45k1/au/pine/,2025-08-29 10:54:42,185/55R16,dunlop,fm800,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 16 185/55R16 SP Sport FM800 83V,775.11,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-185-55r16-sp-sport-fm800-83v/p/djhhad09fc/au/pine/,2025-08-29 10:54:55,185/55R16,dunlop,fm800,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/55R16 83V SPFM800 DEV,731.11,https://www.magazineluiza.com.br/pneu-dunlop-185-55r16-83v-spfm800-dev/p/hheckgb8da/au/pine/,2025-08-29 10:55:05,185/55R16,dunlop,fm800,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 16 185/55R16 83V Sport FM800,731.7,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-185-55r16-83v-sport-fm800/p/fe8gf19ecd/au/aupa/,2025-08-29 10:55:15,185/55R16,dunlop,fm800,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 16, Dunlop 185_55 R16 83V SP FM800 código 416094",576.8,https://www.magazineluiza.com.br/pneu-aro-16-dunlop-185-55-r16-83v-sp-fm800-codigo-416094/p/hc14jjb3cb/au/pine/,2025-08-29 10:55:49,185/55R16,dunlop,fm800,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 16 185/55R16 83V Sport FM800,669.37,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-185-55r16-83v-sport-fm800/p/agfg1ddbhj/au/aupa/,2025-08-29 10:56:01,185/55R16,dunlop,fm800,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 16 185/55R16 83V Sport FM800,662.94,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-185-55r16-83v-sport-fm800/p/adb4f3af8f/au/aupa/,2025-08-29 10:56:12,185/55R16,dunlop,fm800,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/55R16 83V SPFM800 DEV,731.11,https://www.magazineluiza.com.br/pneu-dunlop-185-55r16-83v-spfm800-dev/p/ha19hb45k1/au/pine/,2025-08-29 10:56:23,185/55R16,dunlop,fm800,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 16 185/55R16 SP Sport FM800 83V,775.11,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-185-55r16-sp-sport-fm800-83v/p/djhhad09fc/au/pine/,2025-08-29 10:56:35,185/55R16,dunlop,fm800,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/55R16 83V SPFM800 DEV,731.11,https://www.magazineluiza.com.br/pneu-dunlop-185-55r16-83v-spfm800-dev/p/hheckgb8da/au/pine/,2025-08-29 10:56:46,185/55R16,dunlop,fm800,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 16 185/55R16 83V Sport FM800,731.7,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-185-55r16-83v-sport-fm800/p/fe8gf19ecd/au/aupa/,2025-08-29 10:56:56,185/55R16,dunlop,fm800,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 16, Dunlop 185_55 R16 83V SP FM800 código 416094",576.8,https://www.magazineluiza.com.br/pneu-aro-16-dunlop-185-55-r16-83v-sp-fm800-codigo-416094/p/hc14jjb3cb/au/pine/,2025-08-29 10:57:30,185/55R16,dunlop,fm800,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 16 185/55R16 83V Sport FM800,669.37,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-185-55r16-83v-sport-fm800/p/agfg1ddbhj/au/aupa/,2025-08-29 10:57:42,185/55R16,dunlop,fm800,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 16 185/55R16 83V Sport FM800,662.94,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-185-55r16-83v-sport-fm800/p/adb4f3af8f/au/aupa/,2025-08-29 10:57:53,185/55R16,dunlop,fm800,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 185/55R16 83V SPFM800 DEV,731.11,https://www.magazineluiza.com.br/pneu-dunlop-185-55r16-83v-spfm800-dev/p/ha19hb45k1/au/pine/,2025-08-29 10:58:03,185/55R16,dunlop,fm800,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 16 185/55R16 SP Sport FM800 83V,775.11,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-185-55r16-sp-sport-fm800-83v/p/djhhad09fc/au/pine/,2025-08-29 10:58:15,185/55R16,dunlop,fm800,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
