titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu aro 14 185/60 r14 dunlop splm 704 82h,558.17,https://www.magazineluiza.com.br/pneu-aro-14-185-60-r14-dunlop-splm-704-82h/p/ce845fe6de/au/aupa/,2025-08-22 10:19:12,185/60R14,dunlop,,580.0,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-14-185-60-r14-dunlop-splm-704-82h/burajirupneus/1443p/a0a7a9daf187cd52c13ac67f8bb08abe.jpeg,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
Pneu Dunlop 185/60 R14 82H SP LM704 JP EV,608.68,https://www.magazineluiza.com.br/pneu-dunlop-185-60-r14-82h-sp-lm704-jp-ev/p/gda0kg83fj/au/pine/,2025-08-22 10:19:29,185/60R14,dunlop,lm704,608681060.87,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-185-60-r14-82h-sp-lm704-jp-ev/showpneuserodas/novo144/7198afd499ab22b7566636df816f978b.jpeg,magazineluiza,,True,0,0.0,Show Pneus e Rodas,False,,,
Pneu Dunlop 185/60R14 82H SP Sport LM704,505.05,https://www.magazineluiza.com.br/pneu-dunlop-185-60r14-82h-sp-sport-lm704/p/ga960f0ge4/au/pine/,2025-08-22 10:19:33,185/60R14,dunlop,sp sport,50505772.15,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-185-60r14-82h-sp-sport-lm704/chinelloautocenter/ff6713c85c0611ef88aa4201ac18501b/0cb40a3cbd935e3a497253e41b36242a.jpeg,magazineluiza,,True,0,0.0,Chinelloautocenter,False,,,
Pneu Passeio Dunlop Aro 14 185/60R14 82H SPLM704,358.29,https://www.magazineluiza.com.br/pneu-passeio-dunlop-aro-14-185-60r14-82h-splm704/p/jjb2hahbc2/au/aupa/,2025-08-22 10:19:38,185/60R14,dunlop,lm704,569.9,True,https://a-static.mlcdn.com.br/280x210/pneu-passeio-dunlop-aro-14-185-60r14-82h-splm704/lojasmm/6808/6623f90bae61731bdcc4205d99af52c8.jpeg,magazineluiza,,True,1,0.0,Lojas MM,False,,,
"Pn 185/60 r14 dunlop splm704 82h (garantia contra defeitos de fabricação)
R$ 455,00 em 4x de R$ 113,75 no Cartão Magalu
455.00 em 4 vezes de R$ 113,75 no Cartão Magalu
ou R$ 455,00
no Pix",455.0,https://www.magazineluiza.com.br/pn-185-60-r14-dunlop-splm704-82h-garantia-contra-defeitos-de-fabricacao/p/cdd565g78e/au/pine/,2025-08-22 10:19:41,185/60R14,dunlop,lm704,455004113.75,True,https://a-static.mlcdn.com.br/280x210/pn-185-60-r14-dunlop-splm704-82h-garantia-contra-defeitos-de-fabricacao/machadinhoautocenter/c555814417d811ec8abf4201ac185013/ac0d8568bac6b1c2324ea771a39e8ed2.jpeg,magazineluiza,,True,0,0.0,Machadinho Auto Center,False,,,
Pneu Passeio Dunlop Aro 14 185/60r14 82h Splm704 Preto,569.9,https://www.magazineluiza.com.br/pneu-passeio-dunlop-aro-14-185-60r14-82h-splm704-preto/p/ed6d9a76d6/au/pine/,2025-08-22 10:19:55,185/60R14,dunlop,lm704,56990871.24,True,https://a-static.mlcdn.com.br/280x210/pneu-passeio-dunlop-aro-14-185-60r14-82h-splm704-preto/lojawebcontinentalmarketplace/mkp002647000261/122141398e93524a1af7f580aaca741b.jpeg,magazineluiza,,True,1,0.0,Webcontinental Marketplace,False,,,
Pneu aro 14 185/60 r14 dunlop splm 704 82h,558.17,https://www.magazineluiza.com.br/pneu-aro-14-185-60-r14-dunlop-splm-704-82h/p/ce845fe6de/au/aupa/,2025-08-22 10:20:23,185/60R14,dunlop,,580.0,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-14-185-60-r14-dunlop-splm-704-82h/burajirupneus/1443p/a0a7a9daf187cd52c13ac67f8bb08abe.jpeg,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
Pneu Dunlop 185/60 R14 82H SP LM704 JP EV,608.68,https://www.magazineluiza.com.br/pneu-dunlop-185-60-r14-82h-sp-lm704-jp-ev/p/gda0kg83fj/au/pine/,2025-08-22 10:20:33,185/60R14,dunlop,lm704,608681060.87,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-185-60-r14-82h-sp-lm704-jp-ev/showpneuserodas/novo144/7198afd499ab22b7566636df816f978b.jpeg,magazineluiza,,True,0,0.0,Show Pneus e Rodas,False,,,
Pneu Dunlop 185/60R14 82H SP Sport LM704,505.05,https://www.magazineluiza.com.br/pneu-dunlop-185-60r14-82h-sp-sport-lm704/p/ga960f0ge4/au/pine/,2025-08-22 10:20:37,185/60R14,dunlop,sp sport,50505772.15,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-185-60r14-82h-sp-sport-lm704/chinelloautocenter/ff6713c85c0611ef88aa4201ac18501b/0cb40a3cbd935e3a497253e41b36242a.jpeg,magazineluiza,,True,0,0.0,Chinelloautocenter,False,,,
Pneu Passeio Dunlop Aro 14 185/60R14 82H SPLM704,358.29,https://www.magazineluiza.com.br/pneu-passeio-dunlop-aro-14-185-60r14-82h-splm704/p/jjb2hahbc2/au/aupa/,2025-08-22 10:20:40,185/60R14,dunlop,lm704,569.9,True,https://a-static.mlcdn.com.br/280x210/pneu-passeio-dunlop-aro-14-185-60r14-82h-splm704/lojasmm/6808/6623f90bae61731bdcc4205d99af52c8.jpeg,magazineluiza,,True,1,0.0,Lojas MM,False,,,
"Pn 185/60 r14 dunlop splm704 82h (garantia contra defeitos de fabricação)
R$ 455,00 em 4x de R$ 113,75 no Cartão Magalu
455.00 em 4 vezes de R$ 113,75 no Cartão Magalu
ou R$ 455,00
no Pix",455.0,https://www.magazineluiza.com.br/pn-185-60-r14-dunlop-splm704-82h-garantia-contra-defeitos-de-fabricacao/p/cdd565g78e/au/pine/,2025-08-22 10:20:43,185/60R14,dunlop,lm704,455004113.75,True,https://a-static.mlcdn.com.br/280x210/pn-185-60-r14-dunlop-splm704-82h-garantia-contra-defeitos-de-fabricacao/machadinhoautocenter/c555814417d811ec8abf4201ac185013/ac0d8568bac6b1c2324ea771a39e8ed2.jpeg,magazineluiza,,True,0,0.0,Machadinho Auto Center,False,,,
Pneu Passeio Dunlop Aro 14 185/60r14 82h Splm704 Preto,569.9,https://www.magazineluiza.com.br/pneu-passeio-dunlop-aro-14-185-60r14-82h-splm704-preto/p/ed6d9a76d6/au/pine/,2025-08-22 10:20:54,185/60R14,dunlop,lm704,56990871.24,True,https://a-static.mlcdn.com.br/280x210/pneu-passeio-dunlop-aro-14-185-60r14-82h-splm704-preto/lojawebcontinentalmarketplace/mkp002647000261/122141398e93524a1af7f580aaca741b.jpeg,magazineluiza,,True,1,0.0,Webcontinental Marketplace,False,,,
Pneu aro 14 185/60 r14 dunlop splm 704 82h,558.17,https://www.magazineluiza.com.br/pneu-aro-14-185-60-r14-dunlop-splm-704-82h/p/ce845fe6de/au/aupa/,2025-08-22 10:21:16,185/60R14,dunlop,,580.0,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-14-185-60-r14-dunlop-splm-704-82h/burajirupneus/1443p/a0a7a9daf187cd52c13ac67f8bb08abe.jpeg,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
