titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Itaro Aro 15 MH01 185/60R15 88H XL,308.08,https://www.magazineluiza.com.br/pneu-itaro-aro-15-mh01-185-60r15-88h-xl/p/jea9fk358e/au/aupa/,2025-08-23 23:22:44,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” 185/60R15 Goodyear 88H,459.9,https://www.magazineluiza.com.br/pneu-aro-15-185-60r15-goodyear-88h/p/235250600/au/aupa/,2025-08-23 23:22:56,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” 185/60R15 Goodyear 88H Sport 2 Direction 2,499.9,https://www.magazineluiza.com.br/pneu-aro-15-185-60r15-goodyear-88h-sport-2-direction-2/p/236569500/au/pine/,2025-08-23 23:23:07,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 15"" 185/60R15 Goodyear 88H EfficientGrip Performance",549.9,https://www.magazineluiza.com.br/pneu-aro-15-185-60r15-goodyear-88h-efficientgrip-performance/p/240114800/au/pine/,2025-08-23 23:23:17,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” Goodyear 185/60R15 88H,465.41,https://www.magazineluiza.com.br/pneu-aro-15-goodyear-185-60r15-88h-direction-sport/p/218806400/au/aupa/,2025-08-23 23:23:28,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185 60 r15 88h enasave dunlop,465.41,https://www.magazineluiza.com.br/pneu-185-60-r15-88h-enasave-dunlop/p/hk7453ka89/au/pine/,2025-08-23 23:23:42,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/60R15 Westlake ZuperEco Z-108 84H,277.4,https://www.magazineluiza.com.br/pneu-185-60r15-westlake-zupereco-z-108-84h/p/hged4c2027/au/pine/,2025-08-23 23:23:52,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Aderenza 185/60 R15 88H XL Speedline D2,287.38,https://www.magazineluiza.com.br/pneu-aro-15-aderenza-185-60-r15-88h-xl-speedline-d2/p/ha9bk3h1f5/au/aupa/,2025-08-23 23:24:04,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Xbri Aro 15 185/60 R15 88H Fastway A3 XL,1106.74,https://www.magazineluiza.com.br/pneu-xbri-aro-15-185-60-r15-88h-fastway-a3-xl/p/ak0ak9h64d/au/aupa/,2025-08-23 23:24:15,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Itaro Aro 15 Comformax 185/60R15 84H,288.94,https://www.magazineluiza.com.br/pneu-itaro-aro-15-comformax-185-60r15-84h/p/ae6k15d52g/au/aupa/,2025-08-23 23:24:25,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Westlake Aro 15 185/60R15 84H Z108 CR65764,294.41,https://www.magazineluiza.com.br/pneu-westlake-aro-15-185-60r15-84h-z108-cr65764/p/geb4bck1ae/au/pine/,2025-08-23 23:24:35,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/60 r15 delinte ds2 84h,465.59,https://www.magazineluiza.com.br/pneu-185-60-r15-delinte-ds2-84h/p/bd82dj4gc5/au/aupa/,2025-08-23 23:24:46,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 185 60 R15 MR166 84H Mirage,559.64,https://www.magazineluiza.com.br/pneu-carro-185-60-r15-mr166-84h-mirage/p/cddbfj346k/au/pine/,2025-08-23 23:24:58,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/60 r 15 comfort ii 88h lanvigat,471.55,https://www.magazineluiza.com.br/pneu-185-60-r-15-comfort-ii-88h-lanvigat-lanvigator/p/fda4j59899/au/aupa/,2025-08-23 23:25:09,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Bridgestone 185/60 R15 88H Ecopia EP150,644.68,https://www.magazineluiza.com.br/pneu-aro-15-bridgestone-185-60-r15-88h-ecopia-ep150/p/cfc1bfa3d1/au/aupa/,2025-08-23 23:25:21,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli P400 EVO 185/60 R15 Aro 15 84H EV,560.98,https://www.magazineluiza.com.br/pneu-pirelli-p400-evo-185-60-r15-aro-15-84h-ev/p/hd1ed6050j/au/aupa/,2025-08-23 23:25:31,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Michelin 185/60 R15 88h Xl Tl Primacy 4,722.66,https://www.magazineluiza.com.br/pneu-michelin-185-60-r15-88h-xl-tl-primacy-4/p/fh56hf1g84/au/aupa/,2025-08-23 23:25:42,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 15 185/60 r15 wanli sp026 88h valor unitario,429.64,https://www.magazineluiza.com.br/pneu-aro-15-185-60-r15-wanli-sp026-88h-valor-unitario/p/ed66fkckd7/au/pine/,2025-08-23 23:25:53,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Bridgestone 185/60 R15 84H Ecopia EP150,545.33,https://www.magazineluiza.com.br/pneu-aro-15-bridgestone-185-60-r15-84h-ecopia-ep150/p/gjb86dek00/au/aupa/,2025-08-23 23:26:05,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 15 185/60 r15 dunlop spfm800 88h,617.69,https://www.magazineluiza.com.br/pneu-aro-15-185-60-r15-dunlop-spfm800-88h/p/efgbd4ahhc/au/aupa/,2025-08-23 23:26:15,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Roadx 185/60 R15 TL 84h Rxmotion H12,395.85,https://www.magazineluiza.com.br/pneu-aro-15-roadx-185-60-r15-tl-84h-rxmotion-h12/p/febjfgkbbg/au/pine/,2025-08-23 23:26:27,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 15 185/60 r15 chengshan csc802 84h,434.92,https://www.magazineluiza.com.br/pneu-aro-15-185-60-r15-chengshan-csc802-84h/p/bc1c01f3ah/au/pine/,2025-08-23 23:26:39,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Goodyear 185/60 R15 88H XL Eagle Sport 2,572.96,https://www.magazineluiza.com.br/pneu-aro-15-goodyear-185-60-r15-88h-xl-eagle-sport-2/p/ke8ca4abjf/au/aupa/,2025-08-23 23:26:50,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear 185/60 R15 88H XL EfficientGrip Performance,615.66,https://www.magazineluiza.com.br/pneu-goodyear-185-60-r15-88h-xl-efficientgrip-performance/p/ef0hk75831/au/pine/,2025-08-23 23:27:00,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli P400 EVO 185/60 R15 Aro 15 84H EV,602.87,https://www.magazineluiza.com.br/pneu-pirelli-p400-evo-185-60-r15-aro-15-84h-ev/p/ch29ajddhc/au/aupa/,2025-08-23 23:27:12,185/60R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
