titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 15 Pirelli P400 Evo 185/60R15 84H,442.61,https://www.magazineluiza.com.br/pneu-aro-15-pirelli-p400-evo-185-60r15-84h/p/ag7525b73d/au/aupa/,2025-08-24 02:20:10,185/60R15,pirelli,p400,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 185/60R15 Pirelli 84H TL P400 EVO,411.06,https://www.magazineluiza.com.br/pneu-aro-15-185-60r15-pirelli-84h-tl-p400-evo/p/fh78kkgf48/au/pine/,2025-08-24 02:20:23,185/60R15,pirelli,p400,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli P400 EVO 185/60 R15 Aro 15 84H EV,560.98,https://www.magazineluiza.com.br/pneu-pirelli-p400-evo-185-60-r15-aro-15-84h-ev/p/hd1ed6050j/au/aupa/,2025-08-24 02:20:33,185/60R15,pirelli,p400,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Aro 15 185 60R15 P400 Evo 84H,488.3,https://www.magazineluiza.com.br/pneu-pirelli-aro-15-185-60r15-p400-evo-84h/p/gjb7b0b9ja/au/aupa/,2025-08-24 02:20:45,185/60R15,pirelli,p400,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli P400 EVO 185/60 R15 Aro 15 84H EV,602.87,https://www.magazineluiza.com.br/pneu-pirelli-p400-evo-185-60-r15-aro-15-84h-ev/p/ch29ajddhc/au/aupa/,2025-08-24 02:20:56,185/60R15,pirelli,p400,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/60R15 Pirelli P400 Evo 84H Aro 15,552.0,https://www.magazineluiza.com.br/pneu-185-60r15-pirelli-p400-evo-84h-aro-15/p/gcj4h78ee3/au/aupa/,2025-08-24 02:21:06,185/60R15,pirelli,p400,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Aro 15 185/60r15 84h P400 Evo,742.28,https://www.magazineluiza.com.br/pneu-pirelli-aro-15-185-60r15-84h-p400-evo/p/dc9318ged1/au/aupa/,2025-08-24 02:21:17,185/60R15,pirelli,p400,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Aro 15 P400 Evo 185/60R15 84H,548.22,https://www.magazineluiza.com.br/pneu-pirelli-aro-15-p400-evo-185-60r15-84h/p/abgb805051/au/aupa/,2025-08-24 02:21:28,185/60R15,pirelli,p400,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Pirelli P400 Evo 185/60R15 84H,442.61,https://www.magazineluiza.com.br/pneu-aro-15-pirelli-p400-evo-185-60r15-84h/p/ag7525b73d/au/aupa/,2025-08-24 02:22:05,185/60R15,pirelli,p400,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 185/60R15 Pirelli 84H TL P400 EVO,411.06,https://www.magazineluiza.com.br/pneu-aro-15-185-60r15-pirelli-84h-tl-p400-evo/p/fh78kkgf48/au/pine/,2025-08-24 02:22:17,185/60R15,pirelli,p400,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli P400 EVO 185/60 R15 Aro 15 84H EV,560.98,https://www.magazineluiza.com.br/pneu-pirelli-p400-evo-185-60-r15-aro-15-84h-ev/p/hd1ed6050j/au/aupa/,2025-08-24 02:22:29,185/60R15,pirelli,p400,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
