titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 185 65r14 86t Bc20 Sumitomo 414050,386.52,https://www.magazineluiza.com.br/pneu-185-65r14-86t-bc20-sumitomo-414050/p/edk5gf1a8j/au/aupa/,2025-08-24 06:31:39,185/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 185/65R14 86T BC20,539.38,https://www.magazineluiza.com.br/pneu-sumitomo-185-65r14-86t-bc20/p/ecgc943150/au/aupa/,2025-08-24 06:31:49,185/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 185/65R14 86T BC20,539.38,https://www.magazineluiza.com.br/pneu-sumitomo-185-65r14-86t-bc20/p/hk3e7f92e0/au/aupa/,2025-08-24 06:32:01,185/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 185/65R14 86T BC20,539.38,https://www.magazineluiza.com.br/pneu-sumitomo-185-65r14-86t-bc20/p/he206f6b58/au/aupa/,2025-08-24 06:32:12,185/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 185/65R14 86T BC20,539.38,https://www.magazineluiza.com.br/pneu-sumitomo-185-65r14-86t-bc20/p/bb0e8332g6/au/aupa/,2025-08-24 06:32:22,185/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 185/65R14 86T BC20,539.38,https://www.magazineluiza.com.br/pneu-sumitomo-185-65r14-86t-bc20/p/agjahj6baj/au/aupa/,2025-08-24 06:32:32,185/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185 65r14 86t Bc20 Sumitomo 414050,386.52,https://www.magazineluiza.com.br/pneu-185-65r14-86t-bc20-sumitomo-414050/p/edk5gf1a8j/au/aupa/,2025-08-24 06:33:24,185/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 185/65R14 86T BC20,539.38,https://www.magazineluiza.com.br/pneu-sumitomo-185-65r14-86t-bc20/p/ecgc943150/au/aupa/,2025-08-24 06:33:35,185/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 185/65R14 86T BC20,539.38,https://www.magazineluiza.com.br/pneu-sumitomo-185-65r14-86t-bc20/p/hk3e7f92e0/au/aupa/,2025-08-24 06:33:47,185/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 185/65R14 86T BC20,539.38,https://www.magazineluiza.com.br/pneu-sumitomo-185-65r14-86t-bc20/p/bb0e8332g6/au/aupa/,2025-08-24 06:33:58,185/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 185/65R14 86T BC20,539.38,https://www.magazineluiza.com.br/pneu-sumitomo-185-65r14-86t-bc20/p/he206f6b58/au/aupa/,2025-08-24 06:34:09,185/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 185/65R14 86T BC20,539.38,https://www.magazineluiza.com.br/pneu-sumitomo-185-65r14-86t-bc20/p/agjahj6baj/au/aupa/,2025-08-24 06:34:20,185/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185 65r14 86t Bc20 Sumitomo 414050,386.52,https://www.magazineluiza.com.br/pneu-185-65r14-86t-bc20-sumitomo-414050/p/edk5gf1a8j/au/aupa/,2025-08-24 06:35:13,185/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 185/65R14 86T BC20,539.38,https://www.magazineluiza.com.br/pneu-sumitomo-185-65r14-86t-bc20/p/ecgc943150/au/aupa/,2025-08-24 06:35:24,185/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 185/65R14 86T BC20,539.38,https://www.magazineluiza.com.br/pneu-sumitomo-185-65r14-86t-bc20/p/hk3e7f92e0/au/aupa/,2025-08-24 06:35:36,185/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 185/65R14 86T BC20,539.38,https://www.magazineluiza.com.br/pneu-sumitomo-185-65r14-86t-bc20/p/bb0e8332g6/au/aupa/,2025-08-24 06:35:47,185/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 185/65R14 86T BC20,539.38,https://www.magazineluiza.com.br/pneu-sumitomo-185-65r14-86t-bc20/p/he206f6b58/au/aupa/,2025-08-24 06:35:58,185/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 185/65R14 86T BC20,539.38,https://www.magazineluiza.com.br/pneu-sumitomo-185-65r14-86t-bc20/p/agjahj6baj/au/aupa/,2025-08-24 06:36:10,185/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
