titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 185/65R14 Assurance Maxlife 86H Goodyear (Aro 14),695.76,https://www.magazineluiza.com.br/pneu-185-65r14-assurance-maxlife-86h-goodyear-aro-14/p/ff723c2547/au/aupa/,2025-08-29 15:26:57,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 14 Assurance Maxlife 185/65R14 86H,513.22,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-assurance-maxlife-185-65r14-86h/p/aaege185bk/au/aupa/,2025-08-29 15:27:09,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear 185/65 R14 Assurance Maxlife 86H SL,564.1,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-185-65-r14-assurance-maxlife-86h-sl/p/kj47597gj0/au/aupa/,2025-08-29 15:27:19,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 14 185/65R14 Assurance Maxlife 86H,787.88,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-185-65r14-assurance-maxlife-86h/p/khjk25gfhb/au/aupa/,2025-08-29 15:27:30,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/65R14 Goodyear Assurance Maxlife 86H Aro 14,585.03,https://www.magazineluiza.com.br/pneu-185-65r14-goodyear-assurance-maxlife-86h-aro-14/p/fjjk194bh4/au/aupa/,2025-08-29 15:27:42,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/65R14 Assurance Maxlife 86H Goodyear (Aro 14),695.76,https://www.magazineluiza.com.br/pneu-185-65r14-assurance-maxlife-86h-goodyear-aro-14/p/ff723c2547/au/aupa/,2025-08-29 15:28:16,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 14 Assurance Maxlife 185/65R14 86H,513.22,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-assurance-maxlife-185-65r14-86h/p/aaege185bk/au/aupa/,2025-08-29 15:28:29,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear 185/65 R14 Assurance Maxlife 86H SL,564.1,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-185-65-r14-assurance-maxlife-86h-sl/p/kj47597gj0/au/aupa/,2025-08-29 15:28:39,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 14 185/65R14 Assurance Maxlife 86H,787.88,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-185-65r14-assurance-maxlife-86h/p/khjk25gfhb/au/aupa/,2025-08-29 15:28:50,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/65R14 Goodyear Assurance Maxlife 86H Aro 14,585.03,https://www.magazineluiza.com.br/pneu-185-65r14-goodyear-assurance-maxlife-86h-aro-14/p/fjjk194bh4/au/aupa/,2025-08-29 15:29:03,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/65R14 Assurance Maxlife 86H Goodyear (Aro 14),695.76,https://www.magazineluiza.com.br/pneu-185-65r14-assurance-maxlife-86h-goodyear-aro-14/p/ff723c2547/au/aupa/,2025-08-29 15:29:42,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 14 Assurance Maxlife 185/65R14 86H,513.22,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-assurance-maxlife-185-65r14-86h/p/aaege185bk/au/aupa/,2025-08-29 15:29:54,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear 185/65 R14 Assurance Maxlife 86H SL,564.1,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-185-65-r14-assurance-maxlife-86h-sl/p/kj47597gj0/au/aupa/,2025-08-29 15:30:04,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 14 185/65R14 Assurance Maxlife 86H,787.88,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-185-65r14-assurance-maxlife-86h/p/khjk25gfhb/au/aupa/,2025-08-29 15:30:15,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/65R14 Goodyear Assurance Maxlife 86H Aro 14,585.03,https://www.magazineluiza.com.br/pneu-185-65r14-goodyear-assurance-maxlife-86h-aro-14/p/fjjk194bh4/au/aupa/,2025-08-29 15:30:26,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
