titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 14 Barum By Continental Bravuris 5Hm 185/70R14 88H,382.76,https://www.magazineluiza.com.br/pneu-aro-14-barum-by-continental-bravuris-5hm-185-70r14-88h/p/ace00fjc9g/au/aupa/,2025-08-22 08:08:20,185/70R14,continental,,475.18,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-14-barum-by-continental-bravuris-5hm-185-70r14-88h/dpaschoal/6647341/bb753399692186d855b4dae7c4bba14a.jpeg,magazineluiza,,True,3,0.0,Dpaschoal,False,,,
Pneu 185/70R14 Barum Bravuris 5HM 88H By Continental Aro 14,455.0,https://www.magazineluiza.com.br/pneu-185-70r14-barum-bravuris-5hm-88h-by-continental-aro-14/p/jdh57j9ad4/au/aupa/,2025-08-22 08:08:23,185/70R14,continental,,500.02,True,https://a-static.mlcdn.com.br/280x210/pneu-185-70r14-barum-bravuris-5hm-88h-by-continental-aro-14/lojaacheipneus/996832-996834/ce7c3361cafdd95104dede1ec01b352b.jpeg,magazineluiza,,True,61,5.0,Achei Pneus,False,,,
Pneu aro 14 185/70r14 88h barum bravuris 5hm continental,481.06,https://www.magazineluiza.com.br/pneu-aro-14-185-70r14-88h-barum-bravuris-5hm-continental/p/jcdk02ae4a/au/pine/,2025-08-22 08:08:28,185/70R14,continental,,48106680.18,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-14-185-70r14-88h-barum-bravuris-5hm-continental/rioclaropneusmarketplace/1452/c02e6f3c3ae6134f01a9321112353719.jpeg,magazineluiza,,True,61,5.0,rioclaropneusmarketplace,False,,,
Pneu Aro 14 Barum By Continental Bravuris 5Hm 185/70R14 88H,382.76,https://www.magazineluiza.com.br/pneu-aro-14-barum-by-continental-bravuris-5hm-185-70r14-88h/p/ace00fjc9g/au/aupa/,2025-08-22 08:08:56,185/70R14,continental,,475.18,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-14-barum-by-continental-bravuris-5hm-185-70r14-88h/dpaschoal/6647341/bb753399692186d855b4dae7c4bba14a.jpeg,magazineluiza,,True,3,0.0,Dpaschoal,False,,,
Pneu 185/70R14 Barum Bravuris 5HM 88H By Continental Aro 14,455.0,https://www.magazineluiza.com.br/pneu-185-70r14-barum-bravuris-5hm-88h-by-continental-aro-14/p/jdh57j9ad4/au/aupa/,2025-08-22 08:08:58,185/70R14,continental,,500.02,True,https://a-static.mlcdn.com.br/280x210/pneu-185-70r14-barum-bravuris-5hm-88h-by-continental-aro-14/lojaacheipneus/996832-996834/ce7c3361cafdd95104dede1ec01b352b.jpeg,magazineluiza,,True,61,5.0,Achei Pneus,False,,,
Pneu aro 14 185/70r14 88h barum bravuris 5hm continental,481.06,https://www.magazineluiza.com.br/pneu-aro-14-185-70r14-88h-barum-bravuris-5hm-continental/p/jcdk02ae4a/au/pine/,2025-08-22 08:09:01,185/70R14,continental,,48106680.18,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-14-185-70r14-88h-barum-bravuris-5hm-continental/rioclaropneusmarketplace/1452/c02e6f3c3ae6134f01a9321112353719.jpeg,magazineluiza,,True,61,5.0,rioclaropneusmarketplace,False,,,
Pneu aro 14 185/70r14 88h barum bravuris 5hm continental,481.06,https://www.magazineluiza.com.br/pneu-aro-14-185-70r14-88h-barum-bravuris-5hm-continental/p/jcdk02ae4a/au/pine/?seller_id=rioclaropneusmarketplace,2025-08-22 08:09:07,185/70R14,continental,,648432130.88,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-14-185-70r14-88h-barum-bravuris-5hm-continental/rioclaropneusmarketplace/1452/c02e6f3c3ae6134f01a9321112353719.jpeg,magazineluiza,,True,61,5.0,rioclaropneusmarketplace,False,,,
Pneu Continental Aro 14 185/70r14 88h Powercontact 2,475.9,https://www.magazineluiza.com.br/pneu-continental-aro-14-185-70r14-88h-powercontact-2/p/gdb027e6d9/au/pine/?seller_id=lojahipervarejo,2025-08-22 08:09:13,185/70R14,continental,powercontact,622.09,True,https://a-static.mlcdn.com.br/280x210/pneu-continental-aro-14-185-70r14-88h-powercontact-2/lojahipervarejo/e587e7f3fb6fe78822f96560855abb6a/de88cc3f18d7c686c6f39599a978596b.jpeg,magazineluiza,,True,96,8.0,Hipervarejo,False,,,
Pneu General by Continental Aro 14 185/70r14 88h Tl Altimax,399.0,https://www.magazineluiza.com.br/pneu-general-by-continental-aro-14-185-70r14-88h-tl-altimax/p/bkk09b4k02/au/pine/?seller_id=lojahipervarejo,2025-08-22 08:09:16,185/70R14,continental,,471.39,True,https://a-static.mlcdn.com.br/280x210/pneu-general-by-continental-aro-14-185-70r14-88h-tl-altimax/lojahipervarejo/025b0992d19ec9ffbb2d9303ba0eca25/1d7dbd32b759ea09d2fd974520f69d20.jpeg,magazineluiza,,True,41,7.0,Hipervarejo,False,,,
Pneu Aro 14 Barum By Continental Bravuris 5Hm 185/70R14 88H,382.76,https://www.magazineluiza.com.br/pneu-aro-14-barum-by-continental-bravuris-5hm-185-70r14-88h/p/ace00fjc9g/au/aupa/?seller_id=dpaschoal,2025-08-22 08:09:20,185/70R14,continental,,475.18,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-14-barum-by-continental-bravuris-5hm-185-70r14-88h/dpaschoal/6647341/bb753399692186d855b4dae7c4bba14a.jpeg,magazineluiza,,True,3,0.0,Dpaschoal,False,,,
Pneu Aro 14 Barum By Continental Bravuris 5Hm 185/70R14 88H,382.76,https://www.magazineluiza.com.br/pneu-aro-14-barum-by-continental-bravuris-5hm-185-70r14-88h/p/ace00fjc9g/au/aupa/,2025-08-22 08:09:42,185/70R14,continental,,475.18,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-14-barum-by-continental-bravuris-5hm-185-70r14-88h/dpaschoal/6647341/bb753399692186d855b4dae7c4bba14a.jpeg,magazineluiza,,True,3,0.0,Dpaschoal,False,,,
Pneu 185/70R14 Barum Bravuris 5HM 88H By Continental Aro 14,455.0,https://www.magazineluiza.com.br/pneu-185-70r14-barum-bravuris-5hm-88h-by-continental-aro-14/p/jdh57j9ad4/au/aupa/,2025-08-22 08:09:44,185/70R14,continental,,500.02,True,https://a-static.mlcdn.com.br/280x210/pneu-185-70r14-barum-bravuris-5hm-88h-by-continental-aro-14/lojaacheipneus/996832-996834/ce7c3361cafdd95104dede1ec01b352b.jpeg,magazineluiza,,True,61,5.0,Achei Pneus,False,,,
Pneu aro 14 185/70r14 88h barum bravuris 5hm continental,481.06,https://www.magazineluiza.com.br/pneu-aro-14-185-70r14-88h-barum-bravuris-5hm-continental/p/jcdk02ae4a/au/pine/,2025-08-22 08:09:48,185/70R14,continental,,48106680.18,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-14-185-70r14-88h-barum-bravuris-5hm-continental/rioclaropneusmarketplace/1452/c02e6f3c3ae6134f01a9321112353719.jpeg,magazineluiza,,True,61,5.0,rioclaropneusmarketplace,False,,,
Pneu aro 14 185/70r14 88h barum bravuris 5hm continental,481.06,https://www.magazineluiza.com.br/pneu-aro-14-185-70r14-88h-barum-bravuris-5hm-continental/p/jcdk02ae4a/au/pine/?seller_id=rioclaropneusmarketplace,2025-08-22 08:09:54,185/70R14,continental,,648432130.88,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-14-185-70r14-88h-barum-bravuris-5hm-continental/rioclaropneusmarketplace/1452/c02e6f3c3ae6134f01a9321112353719.jpeg,magazineluiza,,True,61,5.0,rioclaropneusmarketplace,False,,,
Pneu Aro 14 Barum By Continental Bravuris 5Hm 185/70R14 88H,382.76,https://www.magazineluiza.com.br/pneu-aro-14-barum-by-continental-bravuris-5hm-185-70r14-88h/p/ace00fjc9g/au/aupa/?seller_id=dpaschoal,2025-08-22 08:09:55,185/70R14,continental,,475.18,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-14-barum-by-continental-bravuris-5hm-185-70r14-88h/dpaschoal/6647341/bb753399692186d855b4dae7c4bba14a.jpeg,magazineluiza,,True,3,0.0,Dpaschoal,False,,,
