titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 14” 185/70R14 Goodyear 88H Direction 2 Touring,439.9,https://www.magazineluiza.com.br/pneu-aro-14-185-70r14-goodyear-88h-direction-2-touring/p/236189000/au/pine/,2025-08-29 05:00:40,185/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14” 185/70R14 Goodyear 88H Maxlife,439.9,https://www.magazineluiza.com.br/pneu-aro-14-185-70r14-goodyear-88h-maxlife-assurance/p/235249800/au/pine/,2025-08-29 05:00:51,185/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Barum Aro 14 Bravuris 5HM 185/70R14 88H,383.35,https://www.magazineluiza.com.br/pneu-barum-aro-14-bravuris-5hm-185-70r14-88h/p/hd5ddeb28g/au/aupa/,2025-08-29 05:01:02,185/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Kumho Aro 14 Ecowing ES31 185/70R14 88T,332.25,https://www.magazineluiza.com.br/pneu-kumho-aro-14-ecowing-es31-185-70r14-88t/p/ajf0bfe2dd/au/aupa/,2025-08-29 05:01:12,185/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/70 r14 88t f700 firestone,536.66,https://www.magazineluiza.com.br/pneu-185-70-r14-88t-f700-firestone/p/kb8378c04c/au/pine/,2025-08-29 05:01:25,185/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 14 185/70 r14 continental powercontact2 88h,602.2,https://www.magazineluiza.com.br/pneu-aro-14-185-70-r14-continental-powercontact2-88h/p/fe7407f717/au/aupa/,2025-08-29 05:01:37,185/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Roadx 185/70 R14 TL 88H Rxmotion H01,334.43,https://www.magazineluiza.com.br/pneu-aro-14-roadx-185-70-r14-tl-88h-rxmotion-h01/p/fk7a0d8h2h/au/aupa/,2025-08-29 05:01:47,185/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/70 R14 88T Sense KR26 Kumho,478.8,https://www.magazineluiza.com.br/pneu-185-70-r14-88t-sense-kr26-kumho/p/ac327c0049/au/aupa/,2025-08-29 05:01:58,185/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 14 185/70 r14 dunlop sp touring r1 88t,602.19,https://www.magazineluiza.com.br/pneu-aro-14-185-70-r14-dunlop-sp-touring-r1-88t/p/da4jfck822/au/pine/,2025-08-29 05:02:08,185/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 185/70R14 Kumho 88T TL Ecowing ES31,329.0,https://www.magazineluiza.com.br/pneu-aro-14-185-70r14-kumho-88t-tl-ecowing-es31/p/jk191d6126/au/pine/,2025-08-29 05:02:20,185/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Aro 14 MH01 185/70R14 88H,317.14,https://www.magazineluiza.com.br/pneu-speedmax-aro-14-mh01-185-70r14-88h/p/cff5hc22f6/au/aupa/,2025-08-29 05:02:30,185/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear 185/70 R14 88H SL Assurance Maxlife,570.5,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-185-70-r14-88h-sl-assurance-maxlife/p/gga3c5cg03/au/aupa/,2025-08-29 05:02:41,185/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Kelly 185/70 R14 88H SL Edge Touring 2 Goodyear,491.57,https://www.magazineluiza.com.br/pneu-aro-14-kelly-185-70-r14-88h-sl-edge-touring-2-goodyear/p/gb65a7eh15/au/pine/,2025-08-29 05:02:51,185/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 185/70R14 88T F-600 Firestone,436.24,https://www.magazineluiza.com.br/pneu-aro-14-185-70r14-88t-f-600-firestone/p/ck9666fc43/au/pine/,2025-08-29 05:03:04,185/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 185/70R14 Pirelli 88T TL P400 EVO,469.0,https://www.magazineluiza.com.br/pneu-aro-14-185-70r14-pirelli-88t-tl-p400-evo/p/ek3e1kh0kb/au/aupa/,2025-08-29 05:03:14,185/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Altimax One 185/70 R14 88H General Tire,446.41,https://www.magazineluiza.com.br/pneu-aro-14-altimax-one-185-70-r14-88h-general-tire/p/kg36hb7d50/au/aupa/,2025-08-29 05:03:24,185/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 185/70 R14 88H PowerContact 2,483.47,https://www.magazineluiza.com.br/pneu-continental-185-70-r14-88h-powercontact-2/p/bdc5989a8d/au/pine/,2025-08-29 05:03:37,185/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Laufenn 185/70 R14 88T G Fit As Lh41,457.24,https://www.magazineluiza.com.br/pneu-laufenn-185-70-r14-88t-g-fit-as-lh41/p/ha10fg414f/au/aupa/,2025-08-29 05:03:47,185/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu General 185/70 R14 88H Altimax One By Continental,442.18,https://www.magazineluiza.com.br/pneu-general-185-70-r14-88h-altimax-one-by-continental/p/ga79jffb4h/au/aupa/,2025-08-29 05:03:58,185/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
