titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 15 Bridgestone Ecopia EP150 195/55R15 85H,547.41,https://www.magazineluiza.com.br/pneu-aro-15-bridgestone-ecopia-ep150-195-55r15-85h/p/602863400/au/aupa/,2025-09-03 11:31:03,150/195R55,bridgestone,,,False,,magazineluiza,,True,0,0.0,PneuStore,False,,,
Pneu Aro 15 Bridgestone 195/55 R15 85H Ecopia EP150,514.31,https://www.magazineluiza.com.br/pneu-aro-15-bridgestone-195-55-r15-85h-ecopia-ep150/p/ejebj7je7b/au/aupa/,2025-09-03 11:31:10,195/55R15,bridgestone,,,False,,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Bridgestone Aro 15 Ecopia Ep150 195/55r15 85h,589.05,https://www.magazineluiza.com.br/pneu-bridgestone-aro-15-ecopia-ep150-195-55r15-85h/p/ckc7bjagad/au/aupa/,2025-09-03 11:31:14,150/195R55,bridgestone,,,False,,magazineluiza,,True,0,0.0,Show Pneus e Rodas,False,,,
Pneu Bridgestone Aro 15 Ecopia Ep150 195/55r15 85h,541.93,https://www.magazineluiza.com.br/pneu-bridgestone-aro-15-ecopia-ep150-195-55r15-85h/p/ejd3913eg4/au/aupa/,2025-09-03 11:31:20,150/195R55,bridgestone,,,False,,magazineluiza,,True,0,0.0,Imperatriz Pneus E Rodas,False,,,
Pneu Fiesta Civic Fox Gol 195/55R15 85h Tubeless Ecopia Ep150 Bridgestone + Bico Valvula Tr414,613.21,https://www.magazineluiza.com.br/pneu-fiesta-civic-fox-gol-195-55r15-85h-tubeless-ecopia-ep150-bridgestone-bico-valvula-tr414/p/kj41e14d0h/au/aupa/,2025-09-03 11:31:26,195/55R15,bridgestone,,,False,,magazineluiza,,True,0,0.0,Martinense Pneus,False,,,
Pneu 195/55R15 Bridgestone EP150 Ecopia 85H,623.92,https://www.magazineluiza.com.br/pneu-195-55r15-bridgestone-ep150-ecopia-85h/p/bhb12g7010/au/pine/,2025-09-03 11:31:31,195/55R15,bridgestone,,,False,,magazineluiza,,True,0,0.0,Achei Pneus,False,,,
Pneu Bridgestone Aro 15 195/55R15 85h Ecopia EP150,630.15,https://www.magazineluiza.com.br/pneu-bridgestone-aro-15-195-55r15-85h-ecopia-ep150/p/kje0268fd3/au/aupa/,2025-09-03 11:31:35,195/55R15,bridgestone,,,False,,magazineluiza,,True,0,0.0,Sidrodas,False,,,
Pneu 195/55R15 85h Ecopia Ep150 Bridgestone,608.06,https://www.magazineluiza.com.br/pneu-195-55r15-85h-ecopia-ep150-bridgestone/p/adje7h7bha/au/pine/,2025-09-03 11:31:39,195/55R15,bridgestone,,,False,,magazineluiza,,True,0,0.0,Martinense Pneus,False,,,
Pneu Bridgestone Aro 15 195/55R15 85h Ecopia EP150,612.06,https://www.magazineluiza.com.br/pneu-bridgestone-aro-15-195-55r15-85h-ecopia-ep150/p/cd952891ba/au/aupa/,2025-09-03 11:31:44,195/55R15,bridgestone,,,False,,magazineluiza,,True,0,0.0,Sid Rodas,False,,,
Pneu Bridgestone Aro 15 Ecopia Ep150 195/55r15 85h,541.93,https://www.magazineluiza.com.br/pneu-bridgestone-aro-15-ecopia-ep150-195-55r15-85h/p/hdj276k2cd/au/aupa/,2025-09-03 11:31:49,150/195R55,bridgestone,,,False,,magazineluiza,,True,0,0.0,Carli Pneus e Peças,False,,,
