titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Continental 195/60 R15 88H PowerContact 2,521.97,https://www.magazineluiza.com.br/pneu-continental-195-60-r15-88h-powercontact-2/p/ad42j71ffc/au/pine/,2025-08-23 08:12:17,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 195/60R15 88H PowerContact 2 Continental,455.2,https://www.magazineluiza.com.br/pneu-aro-15-195-60r15-88h-powercontact-2-continental/p/ddg4503eed/au/aupa/,2025-08-23 08:12:29,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/60R15 Continental PowerContact 2 88H Aro 15,556.0,https://www.magazineluiza.com.br/pneu-195-60r15-continental-powercontact-2-88h-aro-15/p/jhb2cck1b0/au/pine/,2025-08-23 08:12:40,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental PowerContact 2 Aro 15 195/60R15 88H Assimétrico Radial,509.9,https://www.magazineluiza.com.br/pneu-continental-powercontact-2-aro-15-195-60r15-88h-assimetrico-radial/p/keh757bj65/au/aupa/,2025-08-23 08:12:50,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/60r15 88h powercontact 2 continental,611.21,https://www.magazineluiza.com.br/pneu-195-60r15-88h-powercontact-2-continental/p/fge91b70aa/au/aupa/,2025-08-23 08:13:02,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental Aro 15 195/60R15 PowerContact 2 88H,786.97,https://www.magazineluiza.com.br/pneu-continental-aro-15-195-60r15-powercontact-2-88h/p/ca0ddfh5e6/au/aupa/,2025-08-23 08:13:13,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental Aro 15 195/60R15 88H PowerContact 2,552.79,https://www.magazineluiza.com.br/pneu-continental-aro-15-195-60r15-88h-powercontact-2/p/bf296b8c86/au/pine/,2025-08-23 08:13:25,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental Aro 15 195/60R15 88H PowerContact 2,547.48,https://www.magazineluiza.com.br/pneu-continental-aro-15-195-60r15-88h-powercontact-2/p/gjeajf5bc6/au/pine/,2025-08-23 08:13:36,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental Aro 15 195/60R15 88H PowerContact 2,604.26,https://www.magazineluiza.com.br/pneu-continental-aro-15-195-60r15-88h-powercontact-2/p/kd6j5j4c4f/au/pine/,2025-08-23 08:13:49,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/60r15 88h ultracontact continental,617.41,https://www.magazineluiza.com.br/pneu-195-60r15-88h-ultracontact-continental/p/ajjj4ebk78/au/pine/,2025-08-23 08:14:08,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 195/60 R15 88H PowerContact 2,521.97,https://www.magazineluiza.com.br/pneu-continental-195-60-r15-88h-powercontact-2/p/ad42j71ffc/au/pine/,2025-08-23 08:14:43,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 195/60R15 88H PowerContact 2 Continental,455.2,https://www.magazineluiza.com.br/pneu-aro-15-195-60r15-88h-powercontact-2-continental/p/ddg4503eed/au/aupa/,2025-08-23 08:14:56,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/60R15 Continental PowerContact 2 88H Aro 15,556.0,https://www.magazineluiza.com.br/pneu-195-60r15-continental-powercontact-2-88h-aro-15/p/jhb2cck1b0/au/pine/,2025-08-23 08:15:07,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental PowerContact 2 Aro 15 195/60R15 88H Assimétrico Radial,509.9,https://www.magazineluiza.com.br/pneu-continental-powercontact-2-aro-15-195-60r15-88h-assimetrico-radial/p/keh757bj65/au/aupa/,2025-08-23 08:15:19,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/60r15 88h powercontact 2 continental,611.21,https://www.magazineluiza.com.br/pneu-195-60r15-88h-powercontact-2-continental/p/fge91b70aa/au/aupa/,2025-08-23 08:15:31,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental Aro 15 195/60R15 PowerContact 2 88H,786.97,https://www.magazineluiza.com.br/pneu-continental-aro-15-195-60r15-powercontact-2-88h/p/ca0ddfh5e6/au/aupa/,2025-08-23 08:15:42,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental Aro 15 195/60R15 88H PowerContact 2,552.79,https://www.magazineluiza.com.br/pneu-continental-aro-15-195-60r15-88h-powercontact-2/p/bf296b8c86/au/pine/,2025-08-23 08:15:54,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental Aro 15 195/60R15 88H PowerContact 2,547.48,https://www.magazineluiza.com.br/pneu-continental-aro-15-195-60r15-88h-powercontact-2/p/gjeajf5bc6/au/pine/,2025-08-23 08:16:05,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental Aro 15 195/60R15 88H PowerContact 2,604.26,https://www.magazineluiza.com.br/pneu-continental-aro-15-195-60r15-88h-powercontact-2/p/kd6j5j4c4f/au/pine/,2025-08-23 08:16:18,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/60r15 88h ultracontact continental,617.41,https://www.magazineluiza.com.br/pneu-195-60r15-88h-ultracontact-continental/p/ajjj4ebk78/au/pine/,2025-08-23 08:16:37,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 195/60 R15 88H PowerContact 2,521.97,https://www.magazineluiza.com.br/pneu-continental-195-60-r15-88h-powercontact-2/p/ad42j71ffc/au/pine/,2025-08-23 08:17:11,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 195/60R15 88H PowerContact 2 Continental,455.2,https://www.magazineluiza.com.br/pneu-aro-15-195-60r15-88h-powercontact-2-continental/p/ddg4503eed/au/aupa/,2025-08-23 08:17:25,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/60R15 Continental PowerContact 2 88H Aro 15,556.0,https://www.magazineluiza.com.br/pneu-195-60r15-continental-powercontact-2-88h-aro-15/p/jhb2cck1b0/au/pine/,2025-08-23 08:17:36,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental PowerContact 2 Aro 15 195/60R15 88H Assimétrico Radial,509.9,https://www.magazineluiza.com.br/pneu-continental-powercontact-2-aro-15-195-60r15-88h-assimetrico-radial/p/keh757bj65/au/aupa/,2025-08-23 08:17:47,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/60r15 88h powercontact 2 continental,611.21,https://www.magazineluiza.com.br/pneu-195-60r15-88h-powercontact-2-continental/p/fge91b70aa/au/aupa/,2025-08-23 08:18:00,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental Aro 15 195/60R15 PowerContact 2 88H,786.97,https://www.magazineluiza.com.br/pneu-continental-aro-15-195-60r15-powercontact-2-88h/p/ca0ddfh5e6/au/aupa/,2025-08-23 08:18:11,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental Aro 15 195/60R15 88H PowerContact 2,552.79,https://www.magazineluiza.com.br/pneu-continental-aro-15-195-60r15-88h-powercontact-2/p/bf296b8c86/au/pine/,2025-08-23 08:18:23,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental Aro 15 195/60R15 88H PowerContact 2,547.48,https://www.magazineluiza.com.br/pneu-continental-aro-15-195-60r15-88h-powercontact-2/p/gjeajf5bc6/au/pine/,2025-08-23 08:18:34,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental Aro 15 195/60R15 88H PowerContact 2,604.26,https://www.magazineluiza.com.br/pneu-continental-aro-15-195-60r15-88h-powercontact-2/p/kd6j5j4c4f/au/pine/,2025-08-23 08:18:47,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/60r15 88h ultracontact continental,617.41,https://www.magazineluiza.com.br/pneu-195-60r15-88h-ultracontact-continental/p/ajjj4ebk78/au/pine/,2025-08-23 08:19:06,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
