titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Continental Aro 15 PowerContact 2 195/65R15 91H,545.9,https://www.magazineluiza.com.br/pneu-continental-aro-15-powercontact-2-195-65r15-91h/p/hf3kjhb0ba/au/aupa/,2025-09-04 11:36:33,195/65R15,continental,powercontact 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Continental Aro 15 195/65r15 91H TL PowerContact 2,495.9,https://www.magazineluiza.com.br/pneu-continental-aro-15-195-65r15-91h-tl-powercontact-2/p/bjgee9c5h9/au/aupa/,2025-09-04 11:36:37,195/65R15,continental,powercontact 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Continental Aro 15 PowerContact 2 195/65R15 91H,545.9,https://www.magazineluiza.com.br/pneu-continental-aro-15-powercontact-2-195-65r15-91h/p/hf3kjhb0ba/au/aupa/,2025-09-04 11:36:40,195/65R15,continental,powercontact 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 15 195/65R15 91H PowerContact 2 Continental,430.82,https://www.magazineluiza.com.br/pneu-aro-15-195-65r15-91h-powercontact-2-continental/p/cd669205j2/au/aupa/,2025-09-04 11:36:44,195/65R15,continental,powercontact 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
"Pneu Aro 15"" Continental PowerContact 2 195/65R15 91H",967.53,https://www.magazineluiza.com.br/pneu-aro-15-continental-powercontact-2-195-65r15-91h-continental-pneu/p/hj9f058926/au/aupa/,2025-09-04 11:36:49,195/65R15,continental,powercontact 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 195/65R15 Continental PowerContact 2 91H,527.68,https://www.magazineluiza.com.br/pneu-195-65r15-continental-powercontact-2-91h/p/feh1jd78g1/au/aupa/,2025-09-04 11:36:53,195/65R15,continental,powercontact 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 195/65R15 Continental PowerContact 2 91H Aro 15,629.35,https://www.magazineluiza.com.br/pneu-195-65r15-continental-powercontact-2-91h-aro-15/p/jcfch47acd/au/aupa/,2025-09-04 11:36:57,195/65R15,continental,powercontact 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 195/65r15 91h powercontact 2 continental,627.61,https://www.magazineluiza.com.br/pneu-195-65r15-91h-powercontact-2-continental/p/chead26gc9/au/aupa/,2025-09-04 11:37:02,195/65R15,continental,powercontact 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 15 Continental Powercontact 2 195/65R15 91H,582.54,https://www.magazineluiza.com.br/pneu-aro-15-continental-powercontact-2-195-65r15-91h/p/jjcbg228c2/au/aupa/,2025-09-04 11:37:06,195/65R15,continental,powercontact 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Continental 195/65 R15 91H Powercontact 2,519.51,https://www.magazineluiza.com.br/pneu-continental-195-65-r15-91h-powercontact-2/p/aagh76b4kk/au/pine/,2025-09-04 11:37:10,195/65R15,continental,powercontact 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
