titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 15” 195/65R15 Goodyear 91V Sport Direction 2,519.9,https://www.magazineluiza.com.br/pneu-aro-15-195-65r15-goodyear-91v-sport-direction-2/p/237123900/au/pine/,2025-08-23 14:33:54,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” 195/65R15 Goodyear 91H Performance,559.9,https://www.magazineluiza.com.br/pneu-aro-15-195-65r15-goodyear-91h-performance/p/235249300/au/aupa/,2025-08-23 14:34:07,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 15"" 195/65R15 Sunset 91V Enzo G1",289.9,https://www.magazineluiza.com.br/pneu-aro-15-195-65r15-sunset-91v-enzo-g1/p/240040600/au/pine/,2025-08-23 14:34:17,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental Aro 15 PowerContact 2 195/65R15 91H,533.76,https://www.magazineluiza.com.br/pneu-continental-aro-15-powercontact-2-195-65r15-91h/p/hf3kjhb0ba/au/aupa/,2025-08-23 14:34:28,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” Goodyear 195/65R15 91H,484.49,https://www.magazineluiza.com.br/pneu-aro-15-goodyear-195-65r15-91h-direction-sport/p/218807200/au/aupa/,2025-08-23 14:34:38,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195 65 R15 Aro 15 Corolla Civic Alta Performance,332.5,https://www.magazineluiza.com.br/pneu-195-65-r15-aro-15-corolla-civic-alta-performance-rb-tyres/p/kefk7g1506/au/pine/,2025-08-23 14:34:53,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Xbri 195/65 R15 91H Ecology,330.92,https://www.magazineluiza.com.br/pneu-aro-15-xbri-195-65-r15-91h-ecology/p/jh924b6ak6/au/aupa/,2025-08-23 14:35:04,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Xbri 195/65 R15 TL 91H Fastway A3,324.06,https://www.magazineluiza.com.br/pneu-aro-15-xbri-195-65-r15-tl-91h-fastway-a3/p/ch5f08k9gk/au/aupa/,2025-08-23 14:35:14,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/65 R15 Corolla Sentra Aro 15 Pista e Estrada,311.6,https://www.magazineluiza.com.br/pneu-195-65-r15-corolla-sentra-aro-15-pista-e-estrada-rb-tyres/p/cb63c7c6hg/au/aupa/,2025-08-23 14:35:24,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/65 R15 Corolla Civic Focus Aro 15 com Garantia,312.55,https://www.magazineluiza.com.br/pneu-195-65-r15-corolla-civic-focus-aro-15-com-garantia-rb-tyres/p/bee93e0898/au/aupa/,2025-08-23 14:35:36,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
