titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Michelin Aro 15 Primacy 4 195/65R15 91H,685.2,https://www.magazineluiza.com.br/pneu-michelin-aro-15-primacy-4-195-65r15-91h/p/hd55d5j458/au/aupa/,2025-09-11 16:55:45,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 15 195/65R15 91H Primacy 4 Michelin,666.86,https://www.magazineluiza.com.br/pneu-aro-15-195-65r15-91h-primacy-4-michelin/p/faccg1e4cg/au/aupa/,2025-09-11 16:55:48,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Michelin Aro 15 195/65R15 Primacy 4 91H,912.74,https://www.magazineluiza.com.br/pneu-michelin-aro-15-195-65r15-primacy-4-91h/p/djk43b4118/au/aupa/,2025-09-11 16:55:52,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 15 Michelin 195/65 R15 91H TL Primacy 4,745.89,https://www.magazineluiza.com.br/pneu-aro-15-michelin-195-65-r15-91h-tl-primacy-4/p/jkc104bk34/au/pine/,2025-09-11 16:55:58,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu michelin 195/65 r15 91h tl primacy 4 mi,724.9,https://www.magazineluiza.com.br/pneu-michelin-195-65-r15-91h-tl-primacy-4-mi/p/fb9a3g19k5/au/pine/,2025-09-11 16:56:01,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 195/65R15 Michelin Primacy 4 91H,751.41,https://www.magazineluiza.com.br/pneu-195-65r15-michelin-primacy-4-91h/p/jc5h14g096/au/pine/,2025-09-11 16:56:06,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Michelin Aro 15 Primacy 4 195/65R15 91H,685.2,https://www.magazineluiza.com.br/pneu-michelin-aro-15-primacy-4-195-65r15-91h/p/hd55d5j458/au/aupa/,2025-09-11 16:56:33,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 15 195/65R15 91H Primacy 4 Michelin,666.86,https://www.magazineluiza.com.br/pneu-aro-15-195-65r15-91h-primacy-4-michelin/p/faccg1e4cg/au/aupa/,2025-09-11 16:56:36,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Michelin Aro 15 195/65R15 Primacy 4 91H,912.74,https://www.magazineluiza.com.br/pneu-michelin-aro-15-195-65r15-primacy-4-91h/p/djk43b4118/au/aupa/,2025-09-11 16:56:40,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 15 Michelin 195/65 R15 91H TL Primacy 4,745.89,https://www.magazineluiza.com.br/pneu-aro-15-michelin-195-65-r15-91h-tl-primacy-4/p/jkc104bk34/au/pine/,2025-09-11 16:56:44,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu michelin 195/65 r15 91h tl primacy 4 mi,724.9,https://www.magazineluiza.com.br/pneu-michelin-195-65-r15-91h-tl-primacy-4-mi/p/fb9a3g19k5/au/pine/,2025-09-11 16:56:47,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 195/65R15 Michelin Primacy 4 91H,751.41,https://www.magazineluiza.com.br/pneu-195-65r15-michelin-primacy-4-91h/p/jc5h14g096/au/pine/,2025-09-11 16:56:50,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 15 Michelin 195/65 R15 91H TL Primacy 4,745.89,https://www.magazineluiza.com.br/pneu-aro-15-michelin-195-65-r15-91h-tl-primacy-4/p/jkc104bk34/au/pine/,2025-09-11 16:56:58,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Michelin Aro 15 Primacy 4 195/65R15 91H,685.2,https://www.magazineluiza.com.br/pneu-michelin-aro-15-primacy-4-195-65r15-91h/p/hd55d5j458/au/aupa/,2025-09-11 16:57:24,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 15 195/65R15 91H Primacy 4 Michelin,666.86,https://www.magazineluiza.com.br/pneu-aro-15-195-65r15-91h-primacy-4-michelin/p/faccg1e4cg/au/aupa/,2025-09-11 16:57:27,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
