titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Durable Aro 15 195/50 R15 82V Confort F01,359.09,https://www.magazineluiza.com.br/pneu-durable-aro-15-195-50-r15-82v-confort-f01/p/bd1h1jab39/au/aupa/,2025-08-29 03:37:15,195/50R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/50 r 15 maximus m1 82v maxtrek,570.55,https://www.magazineluiza.com.br/pneu-195-50-r-15-maximus-m1-82v-maxtrek/p/jaedb5ffjg/au/aupa/,2025-08-29 03:37:28,195/50R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 15 195/50 R15 Apex King AK01 86W XL,1194.33,https://www.magazineluiza.com.br/pneu-delinte-aro-15-195-50-r15-apex-king-ak01-86w-xl/p/bgb98b6jc3/au/pine/,2025-08-29 03:37:38,195/50R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195 50 R15 82v Dz102 Ev Dunlop 415057,448.18,https://www.magazineluiza.com.br/pneu-195-50-r15-82v-dz102-ev-dunlop-415057/p/kf5hfe2d4j/au/pine/,2025-08-29 03:37:49,195/50R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/50 r 15 rp203 82v aptany,527.05,https://www.magazineluiza.com.br/pneu-195-50-r-15-rp203-82v-aptany/p/ba0k666gdd/au/aupa/,2025-08-29 03:37:59,195/50R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 General 195/50 R15 82V FR Altimax One S,489.89,https://www.magazineluiza.com.br/pneu-aro-15-general-195-50-r15-82v-fr-altimax-one-s/p/ggd3a78c5g/au/aupa/,2025-08-29 03:38:10,195/50R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 195/50 R15 82V DZ102 EV,590.2,https://www.magazineluiza.com.br/pneu-dunlop-195-50-r15-82v-dz102-ev/p/bbdej6387k/au/pine/,2025-08-29 03:38:21,195/50R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Kelly 195/50 R15 82V Edge Sport 2 SL By Goodyear,499.41,https://www.magazineluiza.com.br/pneu-aro-15-kelly-195-50-r15-82v-edge-sport-2-sl-by-goodyear/p/cj2d9ge270/au/aupa/,2025-08-29 03:38:32,195/50R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 195/50 R15 82V DZ102 EV,590.2,https://www.magazineluiza.com.br/pneu-dunlop-195-50-r15-82v-dz102-ev/p/fg263c2441/au/pine/,2025-08-29 03:38:42,195/50R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 195/50 R15 82V DZ102 EV,590.2,https://www.magazineluiza.com.br/pneu-dunlop-195-50-r15-82v-dz102-ev/p/jkd77ab6bg/au/pine/,2025-08-29 03:38:52,195/50R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 195/50 R15 82V DZ102 EV,590.2,https://www.magazineluiza.com.br/pneu-dunlop-195-50-r15-82v-dz102-ev/p/hchh4be994/au/pine/,2025-08-29 03:39:03,195/50R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 195/50 R15 82V DZ102 EV,590.2,https://www.magazineluiza.com.br/pneu-dunlop-195-50-r15-82v-dz102-ev/p/jddc4dg2kd/au/pine/,2025-08-29 03:39:14,195/50R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 15 195/50 r15 mazzini falconer f1 82v valor unitario,438.44,https://www.magazineluiza.com.br/pneu-aro-15-195-50-r15-mazzini-falconer-f1-82v-valor-unitario/p/ja7dg8jbe8/au/pine/,2025-08-29 03:39:24,195/50R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Kelly 195/50 R15 82V SL Edge Sport By Goodyear,485.26,https://www.magazineluiza.com.br/pneu-aro-15-kelly-195-50-r15-82v-sl-edge-sport-by-goodyear/p/hf83bkdb57/au/aupa/,2025-08-29 03:39:35,195/50R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Sentury Aro 15 195/50 R15 Qirin 990 82V,625.09,https://www.magazineluiza.com.br/pneu-sentury-aro-15-195-50-r15-qirin-990-82v/p/babge7cg4h/au/pine/,2025-08-29 03:39:45,195/50R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 195/50 R15 82H H457 Ventus V2 Concept 2,520.62,https://www.magazineluiza.com.br/pneu-hankook-195-50-r15-82h-h457-ventus-v2-concept-2/p/ch4d29c6bg/au/aupa/,2025-08-29 03:39:56,195/50R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Barum 195/50 R15 82V FR Bravuris 5HM By Continental,440.09,https://www.magazineluiza.com.br/pneu-barum-195-50-r15-82v-fr-bravuris-5hm-by-continental/p/ed93ab82c9/au/pine/,2025-08-29 03:40:07,195/50R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Triangle Aro 15 195/50 R15 86V TC 101,426.34,https://www.magazineluiza.com.br/pneu-triangle-aro-15-195-50-r15-86v-tc-101/p/kj0e7b6b4f/pi/megd/,2025-08-29 03:40:24,195/50R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
