titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 15 Bridgestone 195/55 R15 85H Ecopia EP150,526.41,https://www.magazineluiza.com.br/pneu-aro-15-bridgestone-195-55-r15-85h-ecopia-ep150/p/ejebj7je7b/au/aupa/,2025-08-22 06:55:15,195/55R15,bridgestone,,545.42,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-15-bridgestone-195-55-r15-85h-ecopia-ep150/pneugreen/946/8355b26e2305c7548bcccce7507bcbd0.jpeg,magazineluiza,,True,34,8.0,Pneugreen,False,,,
Pneu Bridgestone Aro 15 195/55R15 85h Ecopia EP150,630.15,https://www.magazineluiza.com.br/pneu-bridgestone-aro-15-195-55r15-85h-ecopia-ep150/p/kje0268fd3/au/aupa/,2025-08-22 06:55:21,195/55R15,bridgestone,,663326110.55,True,https://a-static.mlcdn.com.br/280x210/pneu-bridgestone-aro-15-195-55r15-85h-ecopia-ep150/sidrodas2/240007/68980da8956e3f6a684e0a7e5d7a62d2.jpeg,magazineluiza,,True,36,9.0,Sidrodas,False,,,
Pneu Bridgestone Aro 15 195/55R15 85h Ecopia EP150,695.52,https://www.magazineluiza.com.br/pneu-bridgestone-aro-15-195-55r15-85h-ecopia-ep150/p/cd952891ba/au/aupa/,2025-08-22 06:55:24,195/55R15,bridgestone,,69552977.28,True,https://a-static.mlcdn.com.br/280x210/pneu-bridgestone-aro-15-195-55r15-85h-ecopia-ep150/sidrodas/240007/68980da8956e3f6a684e0a7e5d7a62d2.jpeg,magazineluiza,,True,34,8.0,Sid Rodas,False,,,
Pneu Bridgestone Aro 15 195/55R15 Ecopia EP-150 85H,788.27,https://www.magazineluiza.com.br/pneu-bridgestone-aro-15-195-55r15-ecopia-ep-150-85h/p/had4447a06/au/aupa/,2025-08-22 06:55:26,195/55R15,bridgestone,,829761082.98,True,https://a-static.mlcdn.com.br/280x210/pneu-bridgestone-aro-15-195-55r15-ecopia-ep-150-85h/lemanspneusstore/1955515br2/d1c8de3cad1ddc06ed5fcdd9a67c6aa4.jpeg,magazineluiza,,True,0,0.0,Lemans Pneus Store,False,,,
Pneu 195/55R15 Bridgestone EP150 Ecopia 85H,574.01,https://www.magazineluiza.com.br/pneu-195-55r15-bridgestone-ep150-ecopia-85h/p/bhb12g7010/au/pine/,2025-08-22 06:55:32,195/55R15,bridgestone,,658.84,True,https://a-static.mlcdn.com.br/280x210/pneu-195-55r15-bridgestone-ep150-ecopia-85h/lojaacheipneus/991175-991177/8e7f0301f3719603e7a30fbe5e6a3e90.jpeg,magazineluiza,,True,34,8.0,Achei Pneus,False,,,
Pneu 195/55R15 85h Ecopia Ep150 Bridgestone,609.41,https://www.magazineluiza.com.br/pneu-195-55r15-85h-ecopia-ep150-bridgestone/p/adje7h7bha/au/pine/,2025-08-22 06:55:35,195/55R15,bridgestone,,681.54,True,https://a-static.mlcdn.com.br/280x210/pneu-195-55r15-85h-ecopia-ep150-bridgestone/martinensepneus/51641/537d6136a03d4e0c49ec01fa8822b152.jpeg,magazineluiza,,True,34,8.0,Martinense Pneus,False,,,
Pneu Fiesta Civic Fox Gol 195/55R15 85h Tubeless Ecopia Ep150 Bridgestone + Bico Valvula Tr414,612.06,https://www.magazineluiza.com.br/pneu-fiesta-civic-fox-gol-195-55r15-85h-tubeless-ecopia-ep150-bridgestone-bico-valvula-tr414/p/kj41e14d0h/au/aupa/,2025-08-22 06:55:38,195/55R15,bridgestone,,64427971.59,True,https://a-static.mlcdn.com.br/280x210/pneu-fiesta-civic-fox-gol-195-55r15-85h-tubeless-ecopia-ep150-bridgestone-bico-valvula-tr414/martinensepneus/60556p/2ac25efa4b8fe6077866c52870533249.jpeg,magazineluiza,,True,0,0.0,Martinense Pneus,False,,,
Pneu Aro 15 Bridgestone 195/55 R15 85H Ecopia EP150,526.41,https://www.magazineluiza.com.br/pneu-aro-15-bridgestone-195-55-r15-85h-ecopia-ep150/p/ejebj7je7b/au/aupa/,2025-08-22 06:56:10,195/55R15,bridgestone,,545.42,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-15-bridgestone-195-55-r15-85h-ecopia-ep150/pneugreen/946/8355b26e2305c7548bcccce7507bcbd0.jpeg,magazineluiza,,True,34,8.0,Pneugreen,False,,,
Pneu Bridgestone Aro 15 195/55R15 85h Ecopia EP150,630.15,https://www.magazineluiza.com.br/pneu-bridgestone-aro-15-195-55r15-85h-ecopia-ep150/p/kje0268fd3/au/aupa/,2025-08-22 06:56:15,195/55R15,bridgestone,,663326110.55,True,https://a-static.mlcdn.com.br/280x210/pneu-bridgestone-aro-15-195-55r15-85h-ecopia-ep150/sidrodas2/240007/68980da8956e3f6a684e0a7e5d7a62d2.jpeg,magazineluiza,,True,36,9.0,Sidrodas,False,,,
Pneu Bridgestone Aro 15 195/55R15 85h Ecopia EP150,695.52,https://www.magazineluiza.com.br/pneu-bridgestone-aro-15-195-55r15-85h-ecopia-ep150/p/cd952891ba/au/aupa/,2025-08-22 06:56:16,195/55R15,bridgestone,,69552977.28,True,https://a-static.mlcdn.com.br/280x210/pneu-bridgestone-aro-15-195-55r15-85h-ecopia-ep150/sidrodas/240007/68980da8956e3f6a684e0a7e5d7a62d2.jpeg,magazineluiza,,True,34,8.0,Sid Rodas,False,,,
Pneu Bridgestone Aro 15 195/55R15 Ecopia EP-150 85H,788.27,https://www.magazineluiza.com.br/pneu-bridgestone-aro-15-195-55r15-ecopia-ep-150-85h/p/had4447a06/au/aupa/,2025-08-22 06:56:18,195/55R15,bridgestone,,829761082.98,True,https://a-static.mlcdn.com.br/280x210/pneu-bridgestone-aro-15-195-55r15-ecopia-ep-150-85h/lemanspneusstore/1955515br2/d1c8de3cad1ddc06ed5fcdd9a67c6aa4.jpeg,magazineluiza,,True,0,0.0,Lemans Pneus Store,False,,,
Pneu 195/55R15 Bridgestone EP150 Ecopia 85H,574.01,https://www.magazineluiza.com.br/pneu-195-55r15-bridgestone-ep150-ecopia-85h/p/bhb12g7010/au/pine/,2025-08-22 06:56:22,195/55R15,bridgestone,,658.84,True,https://a-static.mlcdn.com.br/280x210/pneu-195-55r15-bridgestone-ep150-ecopia-85h/lojaacheipneus/991175-991177/8e7f0301f3719603e7a30fbe5e6a3e90.jpeg,magazineluiza,,True,34,8.0,Achei Pneus,False,,,
Pneu 195/55R15 85h Ecopia Ep150 Bridgestone,609.41,https://www.magazineluiza.com.br/pneu-195-55r15-85h-ecopia-ep150-bridgestone/p/adje7h7bha/au/pine/,2025-08-22 06:56:24,195/55R15,bridgestone,,681.54,True,https://a-static.mlcdn.com.br/280x210/pneu-195-55r15-85h-ecopia-ep150-bridgestone/martinensepneus/51641/537d6136a03d4e0c49ec01fa8822b152.jpeg,magazineluiza,,True,34,8.0,Martinense Pneus,False,,,
Pneu Fiesta Civic Fox Gol 195/55R15 85h Tubeless Ecopia Ep150 Bridgestone + Bico Valvula Tr414,612.06,https://www.magazineluiza.com.br/pneu-fiesta-civic-fox-gol-195-55r15-85h-tubeless-ecopia-ep150-bridgestone-bico-valvula-tr414/p/kj41e14d0h/au/aupa/,2025-08-22 06:56:25,195/55R15,bridgestone,,64427971.59,True,https://a-static.mlcdn.com.br/280x210/pneu-fiesta-civic-fox-gol-195-55r15-85h-tubeless-ecopia-ep150-bridgestone-bico-valvula-tr414/martinensepneus/60556p/2ac25efa4b8fe6077866c52870533249.jpeg,magazineluiza,,True,0,0.0,Martinense Pneus,False,,,
Pneu Fiesta Civic Fox Gol 195/55R15 85h Tubeless Ecopia Ep150 Bridgestone + Bico Valvula Tr414,612.06,https://www.magazineluiza.com.br/pneu-fiesta-civic-fox-gol-195-55r15-85h-tubeless-ecopia-ep150-bridgestone-bico-valvula-tr414/p/kj41e14d0h/au/aupa/?seller_id=martinensepneus,2025-08-22 06:56:33,195/55R15,bridgestone,,644.27,True,https://a-static.mlcdn.com.br/280x210/pneu-fiesta-civic-fox-gol-195-55r15-85h-tubeless-ecopia-ep150-bridgestone-bico-valvula-tr414/martinensepneus/60556p/2ac25efa4b8fe6077866c52870533249.jpeg,magazineluiza,,True,0,0.0,Martinense Pneus,False,,,
Pneu 195/55R15 85h Ecopia Ep150 Bridgestone,609.41,https://www.magazineluiza.com.br/pneu-195-55r15-85h-ecopia-ep150-bridgestone/p/adje7h7bha/au/pine/?seller_id=martinensepneus,2025-08-22 06:56:37,195/55R15,bridgestone,,681.54,True,https://a-static.mlcdn.com.br/280x210/pneu-195-55r15-85h-ecopia-ep150-bridgestone/martinensepneus/51641/537d6136a03d4e0c49ec01fa8822b152.jpeg,magazineluiza,,True,34,8.0,Martinense Pneus,False,,,
Pneu 195/55R15 Bridgestone EP150 Ecopia 85H,574.01,https://www.magazineluiza.com.br/pneu-195-55r15-bridgestone-ep150-ecopia-85h/p/bhb12g7010/au/pine/?seller_id=lojaacheipneus,2025-08-22 06:56:40,195/55R15,bridgestone,,658.84,True,https://a-static.mlcdn.com.br/280x210/pneu-195-55r15-bridgestone-ep150-ecopia-85h/lojaacheipneus/991175-991177/8e7f0301f3719603e7a30fbe5e6a3e90.jpeg,magazineluiza,,True,34,8.0,Achei Pneus,False,,,
Pneu Bridgestone Aro 15 195/55R15 Ecopia EP-150 85H,788.27,https://www.magazineluiza.com.br/pneu-bridgestone-aro-15-195-55r15-ecopia-ep-150-85h/p/had4447a06/au/aupa/?seller_id=lemanspneusstore,2025-08-22 06:56:43,195/55R15,bridgestone,,829.76,True,https://a-static.mlcdn.com.br/280x210/pneu-bridgestone-aro-15-195-55r15-ecopia-ep-150-85h/lemanspneusstore/1955515br2/d1c8de3cad1ddc06ed5fcdd9a67c6aa4.jpeg,magazineluiza,,True,0,0.0,Lemans Pneus Store,False,,,
Pneu Bridgestone Aro 15 195/55R15 Ecopia EP-150 85H,788.27,https://www.magazineluiza.com.br/pneu-bridgestone-aro-15-195-55r15-ecopia-ep-150-85h/p/had4447a06/au/aupa/?seller_id=lemanspneusstore,2025-08-22 06:56:48,195/55R15,bridgestone,,829.76,True,https://a-static.mlcdn.com.br/280x210/pneu-bridgestone-aro-15-195-55r15-ecopia-ep-150-85h/lemanspneusstore/1955515br2/d1c8de3cad1ddc06ed5fcdd9a67c6aa4.jpeg,magazineluiza,,True,0,0.0,Lemans Pneus Store,False,,,
Pneu Bridgestone Aro 15 195/55R15 85h Ecopia EP150,630.15,https://www.magazineluiza.com.br/pneu-bridgestone-aro-15-195-55r15-85h-ecopia-ep150/p/kje0268fd3/au/aupa/?seller_id=sidrodas2,2025-08-22 06:56:51,195/55R15,bridgestone,,663.32,True,https://a-static.mlcdn.com.br/280x210/pneu-bridgestone-aro-15-195-55r15-85h-ecopia-ep150/sidrodas2/240007/68980da8956e3f6a684e0a7e5d7a62d2.jpeg,magazineluiza,,True,36,9.0,Sidrodas,False,,,
Pneu Aro 15 Bridgestone 195/55 R15 85H Ecopia EP150,526.41,https://www.magazineluiza.com.br/pneu-aro-15-bridgestone-195-55-r15-85h-ecopia-ep150/p/ejebj7je7b/au/aupa/?seller_id=pneugreen,2025-08-22 06:56:55,195/55R15,bridgestone,,545.42,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-15-bridgestone-195-55-r15-85h-ecopia-ep150/pneugreen/946/8355b26e2305c7548bcccce7507bcbd0.jpeg,magazineluiza,,True,34,8.0,Pneugreen,False,,,
Pneu 195/55R15 Bridgestone EP150 Ecopia 85H,574.01,https://www.magazineluiza.com.br/pneu-195-55r15-bridgestone-ep150-ecopia-85h/p/bhb12g7010/au/pine/?seller_id=lojaacheipneus,2025-08-22 06:56:57,195/55R15,bridgestone,,658.84,True,https://a-static.mlcdn.com.br/280x210/pneu-195-55r15-bridgestone-ep150-ecopia-85h/lojaacheipneus/991175-991177/8e7f0301f3719603e7a30fbe5e6a3e90.jpeg,magazineluiza,,True,34,8.0,Achei Pneus,False,,,
Pneu Aro 15 Bridgestone 195/55 R15 85H Ecopia EP150,526.41,https://www.magazineluiza.com.br/pneu-aro-15-bridgestone-195-55-r15-85h-ecopia-ep150/p/ejebj7je7b/au/aupa/,2025-08-22 06:57:19,195/55R15,bridgestone,,545.42,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-15-bridgestone-195-55-r15-85h-ecopia-ep150/pneugreen/946/8355b26e2305c7548bcccce7507bcbd0.jpeg,magazineluiza,,True,34,8.0,Pneugreen,False,,,
Pneu Bridgestone Aro 15 195/55R15 85h Ecopia EP150,630.15,https://www.magazineluiza.com.br/pneu-bridgestone-aro-15-195-55r15-85h-ecopia-ep150/p/kje0268fd3/au/aupa/,2025-08-22 06:57:23,195/55R15,bridgestone,,663326110.55,True,https://a-static.mlcdn.com.br/280x210/pneu-bridgestone-aro-15-195-55r15-85h-ecopia-ep150/sidrodas2/240007/68980da8956e3f6a684e0a7e5d7a62d2.jpeg,magazineluiza,,True,36,9.0,Sidrodas,False,,,
Pneu Bridgestone Aro 15 195/55R15 85h Ecopia EP150,695.52,https://www.magazineluiza.com.br/pneu-bridgestone-aro-15-195-55r15-85h-ecopia-ep150/p/cd952891ba/au/aupa/,2025-08-22 06:57:25,195/55R15,bridgestone,,69552977.28,True,https://a-static.mlcdn.com.br/280x210/pneu-bridgestone-aro-15-195-55r15-85h-ecopia-ep150/sidrodas/240007/68980da8956e3f6a684e0a7e5d7a62d2.jpeg,magazineluiza,,True,34,8.0,Sid Rodas,False,,,
Pneu Bridgestone Aro 15 195/55R15 Ecopia EP-150 85H,788.27,https://www.magazineluiza.com.br/pneu-bridgestone-aro-15-195-55r15-ecopia-ep-150-85h/p/had4447a06/au/aupa/,2025-08-22 06:57:27,195/55R15,bridgestone,,829761082.98,True,https://a-static.mlcdn.com.br/280x210/pneu-bridgestone-aro-15-195-55r15-ecopia-ep-150-85h/lemanspneusstore/1955515br2/d1c8de3cad1ddc06ed5fcdd9a67c6aa4.jpeg,magazineluiza,,True,0,0.0,Lemans Pneus Store,False,,,
Pneu 195/55R15 Bridgestone EP150 Ecopia 85H,574.01,https://www.magazineluiza.com.br/pneu-195-55r15-bridgestone-ep150-ecopia-85h/p/bhb12g7010/au/pine/,2025-08-22 06:57:31,195/55R15,bridgestone,,658.84,True,https://a-static.mlcdn.com.br/280x210/pneu-195-55r15-bridgestone-ep150-ecopia-85h/lojaacheipneus/991175-991177/8e7f0301f3719603e7a30fbe5e6a3e90.jpeg,magazineluiza,,True,34,8.0,Achei Pneus,False,,,
Pneu 195/55R15 85h Ecopia Ep150 Bridgestone,609.41,https://www.magazineluiza.com.br/pneu-195-55r15-85h-ecopia-ep150-bridgestone/p/adje7h7bha/au/pine/,2025-08-22 06:57:33,195/55R15,bridgestone,,681.54,True,https://a-static.mlcdn.com.br/280x210/pneu-195-55r15-85h-ecopia-ep150-bridgestone/martinensepneus/51641/537d6136a03d4e0c49ec01fa8822b152.jpeg,magazineluiza,,True,34,8.0,Martinense Pneus,False,,,
Pneu Fiesta Civic Fox Gol 195/55R15 85h Tubeless Ecopia Ep150 Bridgestone + Bico Valvula Tr414,612.06,https://www.magazineluiza.com.br/pneu-fiesta-civic-fox-gol-195-55r15-85h-tubeless-ecopia-ep150-bridgestone-bico-valvula-tr414/p/kj41e14d0h/au/aupa/,2025-08-22 06:57:35,195/55R15,bridgestone,,64427971.59,True,https://a-static.mlcdn.com.br/280x210/pneu-fiesta-civic-fox-gol-195-55r15-85h-tubeless-ecopia-ep150-bridgestone-bico-valvula-tr414/martinensepneus/60556p/2ac25efa4b8fe6077866c52870533249.jpeg,magazineluiza,,True,0,0.0,Martinense Pneus,False,,,
Pneu Bridgestone Aro 15 195/55R15 85h Ecopia EP150,630.15,https://www.magazineluiza.com.br/pneu-bridgestone-aro-15-195-55r15-85h-ecopia-ep150/p/kje0268fd3/au/aupa/?seller_id=sidrodas2,2025-08-22 06:57:42,195/55R15,bridgestone,,663.32,True,https://a-static.mlcdn.com.br/280x210/pneu-bridgestone-aro-15-195-55r15-85h-ecopia-ep150/sidrodas2/240007/68980da8956e3f6a684e0a7e5d7a62d2.jpeg,magazineluiza,,True,36,9.0,Sidrodas,False,,,
Pneu Bridgestone Aro 15 195/55R15 Ecopia EP-150 85H,788.27,https://www.magazineluiza.com.br/pneu-bridgestone-aro-15-195-55r15-ecopia-ep-150-85h/p/had4447a06/au/aupa/?seller_id=lemanspneusstore,2025-08-22 06:57:45,195/55R15,bridgestone,,829.76,True,https://a-static.mlcdn.com.br/280x210/pneu-bridgestone-aro-15-195-55r15-ecopia-ep-150-85h/lemanspneusstore/1955515br2/d1c8de3cad1ddc06ed5fcdd9a67c6aa4.jpeg,magazineluiza,,True,0,0.0,Lemans Pneus Store,False,,,
