titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
"Pneu Aro 15"" 195/55R15 XBRI 85V Fastway C2",269.9,https://www.magazineluiza.com.br/pneu-aro-15-195-55r15-xbri-85v-fastway-c2/p/240042400/au/pine/,2025-08-29 22:15:58,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” 195/55R15 Goodyear 85H Sport 2 Direction 2,449.9,https://www.magazineluiza.com.br/pneu-aro-15-195-55r15-goodyear-85h-sport-2-direction-2/p/236570100/au/pine/,2025-08-29 22:16:10,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” 195/55R15 Goodyear 85H,449.9,https://www.magazineluiza.com.br/pneu-aro-15-195-55r15-goodyear-85h/p/235250100/au/aupa/,2025-08-29 22:16:20,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” Pirelli 195/55R15 85V,493.99,https://www.magazineluiza.com.br/pneu-aro-15-pirelli-195-55r15-85v-cinturato-p1/p/218816200/au/aupa/,2025-08-29 22:16:30,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Goodyear EfficientGrip Performance 195/55R15 85H,555.24,https://www.magazineluiza.com.br/pneu-aro-15-goodyear-efficientgrip-performance-195-55r15-85h/p/751510100/au/pine/,2025-08-29 22:16:42,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” Continental 195/55R15 85H,439.9,https://www.magazineluiza.com.br/pneu-aro-15-continental-195-55r15-85h-powercontact-2/p/220168000/au/aupa/,2025-08-29 22:16:53,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Premium 195/55 R15 Touring Palio Uno Celta,227.91,https://www.magazineluiza.com.br/pneu-premium-195-55-r15-touring-palio-uno-celta-pioneiro/p/fkfddhh42e/au/pine/,2025-08-29 22:17:04,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Xbri 195/55 R15 85V Fastway Y1,325.46,https://www.magazineluiza.com.br/pneu-aro-15-xbri-195-55-r15-85v-fastway-y1/p/aaaeafc1de/au/pine/,2025-08-29 22:17:14,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Durable 195/55 R15 85V Confort F01,334.8,https://www.magazineluiza.com.br/pneu-durable-195-55-r15-85v-confort-f01/p/gh1a7a0157/au/aupa/,2025-08-29 22:17:26,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 195/55 R15 85H Powercontact 2,537.6,https://www.magazineluiza.com.br/pneu-continental-195-55-r15-85h-powercontact-2/p/fh0kbed2h0/au/pine/,2025-08-29 22:17:37,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/55 R15 Alta Performance em Asfalto,342.0,https://www.magazineluiza.com.br/pneu-195-55-r15-alta-performance-em-asfalto-black-tyres/p/eg8j8g2gk5/au/aupa/,2025-08-29 22:17:47,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 195/55R15 Pirelli 85H TL P400 EVO,441.42,https://www.magazineluiza.com.br/pneu-aro-15-195-55r15-pirelli-85h-tl-p400-evo/p/hkek085j03/au/pine/,2025-08-29 22:17:58,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Bridgestone 195/55 R15 85H Ecopia EP150,526.41,https://www.magazineluiza.com.br/pneu-aro-15-bridgestone-195-55-r15-85h-ecopia-ep150/p/ejebj7je7b/au/aupa/,2025-08-29 22:18:10,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear 195/55 R15 85H SL Efficientgrip Performance,611.56,https://www.magazineluiza.com.br/pneu-goodyear-195-55-r15-85h-sl-efficientgrip-performance/p/ddh0d02875/au/aupa/,2025-08-29 22:18:20,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/55 r 15 cf510 85v comforser,541.55,https://www.magazineluiza.com.br/pneu-195-55-r-15-cf510-85v-comforser/p/fd7dhfk31g/au/aupa/,2025-08-29 22:18:31,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/55 R15 Alta Durabilidade e Aderência,379.05,https://www.magazineluiza.com.br/pneu-195-55-r15-alta-durabilidade-e-aderencia-black-tyres/p/hebf6g6j9g/au/aupa/,2025-08-29 22:18:41,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/55 R15 Qualidade e Segurança Garantida,351.5,https://www.magazineluiza.com.br/pneu-195-55-r15-qualidade-e-seguranca-garantida-black-tyres/p/feg06feb21/au/pine/,2025-08-29 22:18:52,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/55 r 15 comfort i 85h lanvigator,548.8,https://www.magazineluiza.com.br/pneu-195-55-r-15-comfort-i-85h-lanvigator/p/aj87196g1e/au/aupa/,2025-08-29 22:19:04,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/55R15 WestLake ZuperEco Z-108 85V,341.51,https://www.magazineluiza.com.br/pneu-195-55r15-westlake-zupereco-z-108-85v/p/bf09j9dj91/au/pine/,2025-08-29 22:19:15,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 15 195/55 r15 dunlop spfm800 85v,603.5,https://www.magazineluiza.com.br/pneu-aro-15-195-55-r15-dunlop-spfm800-85v/p/fd3cgb901e/au/aupa/,2025-08-29 22:19:25,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Fastway F1 Aro 15 XBRI 195/55 R15 85V,398.75,https://www.magazineluiza.com.br/pneu-fastway-f1-aro-15-xbri-195-55-r15-85v/p/jbcfj45428/au/pine/,2025-08-29 22:19:36,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/55 R15 Direção Confortável e Segura,380.0,https://www.magazineluiza.com.br/pneu-195-55-r15-direcao-confortavel-e-segura-black-tyres/p/fbgbf4gfj2/au/aupa/,2025-08-29 22:19:48,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 15 195/55 r15 westlake z108 85v,468.0,https://www.magazineluiza.com.br/pneu-aro-15-195-55-r15-westlake-z108-85v/p/fkg5b5f18k/au/pine/,2025-08-29 22:19:59,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/55 R15 Excelente Desempenho,341.05,https://www.magazineluiza.com.br/pneu-195-55-r15-excelente-desempenho-black-tyres/p/cj1ceehbh8/au/pine/,2025-08-29 22:20:09,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/55-R15 Longway Premium Garantia Inmetro 1 Un,338.53,https://www.magazineluiza.com.br/pneu-195-55-r15-longway-premium-garantia-inmetro-1-un/p/gefhch5eee/au/aupa/,2025-08-29 22:20:19,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 15 195/55 R15 85V DH2,488.98,https://www.magazineluiza.com.br/pneu-delinte-aro-15-195-55-r15-85v-dh2/p/fhj582a63f/au/pine/,2025-08-29 22:20:32,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Pirelli 195/55 R15 85H P400 EVO,592.76,https://www.magazineluiza.com.br/pneu-aro-15-pirelli-195-55-r15-85h-p400-evo/p/fe565d190h/au/pine/,2025-08-29 22:20:42,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 15 195/55 r15 continental powercontact2 85h,623.38,https://www.magazineluiza.com.br/pneu-aro-15-195-55-r15-continental-powercontact2-85h/p/fg346873eh/au/aupa/,2025-08-29 22:20:52,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/55 R15 Eco Aro 15 Golf Astra Peugeot 307,350.16,https://www.magazineluiza.com.br/pneu-195-55-r15-eco-aro-15-golf-astra-peugeot-307-long-way/p/bfd0k2hbc8/au/pine/,2025-08-29 22:21:04,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/55 R15 Alta Estabilidade e Aderência,346.75,https://www.magazineluiza.com.br/pneu-195-55-r15-alta-estabilidade-e-aderencia-black-tyres/p/afbabe5840/au/aupa/,2025-08-29 22:21:14,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 15 195/55 r15 chengshan csc802 85v,434.95,https://www.magazineluiza.com.br/pneu-aro-15-195-55-r15-chengshan-csc802-85v/p/hd5d67ah03/au/pine/,2025-08-29 22:21:25,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Goodyear 195/55 R15 85H SL Eagle Sport 2,536.94,https://www.magazineluiza.com.br/pneu-aro-15-goodyear-195-55-r15-85h-sl-eagle-sport-2/p/hhabb0fc0j/au/aupa/,2025-08-29 22:21:35,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/55R15 Longway Aro 15 Novo Alta Durabilidade,353.95,https://www.magazineluiza.com.br/pneu-195-55r15-longway-aro-15-novo-alta-durabilidade/p/gd1a77k3j3/au/aupa/,2025-08-29 22:21:46,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/55 R15 Econômico e Resistente,380.0,https://www.magazineluiza.com.br/pneu-195-55-r15-economico-e-resistente-black-tyres/p/ke088h4aca/au/aupa/,2025-08-29 22:21:58,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 195/55R15 XBRI 85V TL Fastway P7,337.1,https://www.magazineluiza.com.br/pneu-aro-15-195-55r15-xbri-85v-tl-fastway-p7/p/ff0b6j1agc/au/pine/,2025-08-29 22:22:08,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Westlake 195/55R15 Z-108 TL Z-108 WL 85V,326.21,https://www.magazineluiza.com.br/pneu-aro-15-westlake-195-55r15-z-108-tl-z-108-wl-85v/p/hkagfcc2j9/au/pine/,2025-08-29 22:22:19,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 15 195/55 r15 invovic el601 85v,471.4,https://www.magazineluiza.com.br/pneu-aro-15-195-55-r15-invovic-el601-85v/p/kjk2daak83/au/aupa/,2025-08-29 22:22:29,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/55 R15 Para Carros de Passeio,376.68,https://www.magazineluiza.com.br/pneu-195-55-r15-para-carros-de-passeio-black-tyres/p/gf9e16037c/au/aupa/,2025-08-29 22:22:39,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/55 R15 Ideal para Uso Urbano,379.99,https://www.magazineluiza.com.br/pneu-195-55-r15-ideal-para-uso-urbano-black-tyres/p/je8162a557/au/aupa/,2025-08-29 22:22:51,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/55 R15 Estabilidade e Condução Segura,341.05,https://www.magazineluiza.com.br/pneu-195-55-r15-estabilidade-e-conducao-segura-black-tyres/p/hfdf258ej2/au/aupa/,2025-08-29 22:23:01,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental Aro 15 195/55r15 85h Fr PowerContact 2,434.56,https://www.magazineluiza.com.br/pneu-continental-aro-15-195-55r15-85h-fr-powercontact-2/p/gd97jc8c2f/au/pine/,2025-08-29 22:23:12,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/55 R15 Conforto e Baixo Ruído,342.0,https://www.magazineluiza.com.br/pneu-195-55-r15-conforto-e-baixo-ruido-black-tyres/p/jaje1f56k9/au/aupa/,2025-08-29 22:23:22,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 195/55 R15 85V K120 Ventus V12 Evo2,595.81,https://www.magazineluiza.com.br/pneu-hankook-195-55-r15-85v-k120-ventus-v12-evo2/p/ejjc2gk789/au/aupa/,2025-08-29 22:23:34,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 15"" 195/55R15 XBRI 85V Fastway C2",269.9,https://www.magazineluiza.com.br/pneu-aro-15-195-55r15-xbri-85v-fastway-c2/p/240042400/au/pine/,2025-08-29 22:24:11,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” 195/55R15 Goodyear 85H Sport 2 Direction 2,449.9,https://www.magazineluiza.com.br/pneu-aro-15-195-55r15-goodyear-85h-sport-2-direction-2/p/236570100/au/pine/,2025-08-29 22:24:23,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” 195/55R15 Goodyear 85H,449.9,https://www.magazineluiza.com.br/pneu-aro-15-195-55r15-goodyear-85h/p/235250100/au/aupa/,2025-08-29 22:24:33,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” Pirelli 195/55R15 85V,493.99,https://www.magazineluiza.com.br/pneu-aro-15-pirelli-195-55r15-85v-cinturato-p1/p/218816200/au/aupa/,2025-08-29 22:24:44,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Goodyear EfficientGrip Performance 195/55R15 85H,555.24,https://www.magazineluiza.com.br/pneu-aro-15-goodyear-efficientgrip-performance-195-55r15-85h/p/751510100/au/pine/,2025-08-29 22:24:56,195/55R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
