titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu De Polo/Argo Comforser 195/55-16 CF510,458.96,https://www.magazineluiza.com.br/pneu-de-polo-argo-comforser-195-55-16-cf510/p/ag76hjc2da/au/pine/,2025-08-22 07:41:53,195/55R16,,,47315678.86,True,https://a-static.mlcdn.com.br/280x210/pneu-de-polo-argo-comforser-195-55-16-cf510/vflshopmix/54638/0a05b0f8b512ce593f97bb1996b004cc.jpeg,magazineluiza,,True,1,0.0,VFL ShopMix,False,,,
Pneu Comforser Aro 16 195/55R16 87V CF510,451.09,https://www.magazineluiza.com.br/pneu-comforser-aro-16-195-55r16-87v-cf510/p/gd65bgf8d6/au/pine/,2025-08-22 07:41:56,195/55R16,,,474834118.71,True,https://a-static.mlcdn.com.br/280x210/pneu-comforser-aro-16-195-55r16-87v-cf510/sidrodas2/1570506/3b85f145aa5de1fb8fa91306cb010744.jpeg,magazineluiza,,True,0,0.0,Sidrodas,False,,,
Pneu Comforser Aro 16 195/55R16 87V CF510,455.47,https://www.magazineluiza.com.br/pneu-comforser-aro-16-195-55r16-87v-cf510/p/dedg5fg7bf/au/pine/,2025-08-22 07:41:58,195/55R16,,,47944679.91,True,https://a-static.mlcdn.com.br/280x210/pneu-comforser-aro-16-195-55r16-87v-cf510/bmpneuserodas/1570506/3b85f145aa5de1fb8fa91306cb010744.jpeg,magazineluiza,,True,0,0.0,Bm Pneus E Rodas,False,,,
Pneu Comforser Aro 16 195/55R16 87V CF510,497.88,https://www.magazineluiza.com.br/pneu-comforser-aro-16-195-55r16-87v-cf510/p/fd08cjhb7g/au/pine/,2025-08-22 07:42:02,195/55R16,,,49788771.13,True,https://a-static.mlcdn.com.br/280x210/pneu-comforser-aro-16-195-55r16-87v-cf510/sidrodas/1570506/3b85f145aa5de1fb8fa91306cb010744.jpeg,magazineluiza,,True,0,0.0,Sid Rodas,False,,,
Pneu Comforser Aro 16 195/55R16 CF-510 87V,490.78,https://www.magazineluiza.com.br/pneu-comforser-aro-16-195-55r16-cf-510-87v/p/gjh3j1jj38/au/pine/,2025-08-22 07:42:05,195/55R16,,,51661773.8,True,https://a-static.mlcdn.com.br/280x210/pneu-comforser-aro-16-195-55r16-cf-510-87v/lemanspneusstore/1955516cf/d5db92189312e647671b292dc54cca01.jpeg,magazineluiza,,True,0,0.0,Lemans Pneus Store,False,,,
Pneu De Polo/Argo Comforser 195/55-16 CF510,458.96,https://www.magazineluiza.com.br/pneu-de-polo-argo-comforser-195-55-16-cf510/p/ag76hjc2da/au/pine/,2025-08-22 07:42:31,195/55R16,,,47315678.86,True,https://a-static.mlcdn.com.br/280x210/pneu-de-polo-argo-comforser-195-55-16-cf510/vflshopmix/54638/0a05b0f8b512ce593f97bb1996b004cc.jpeg,magazineluiza,,True,1,0.0,VFL ShopMix,False,,,
Pneu Comforser Aro 16 195/55R16 87V CF510,451.09,https://www.magazineluiza.com.br/pneu-comforser-aro-16-195-55r16-87v-cf510/p/gd65bgf8d6/au/pine/,2025-08-22 07:42:33,195/55R16,,,474834118.71,True,https://a-static.mlcdn.com.br/280x210/pneu-comforser-aro-16-195-55r16-87v-cf510/sidrodas2/1570506/3b85f145aa5de1fb8fa91306cb010744.jpeg,magazineluiza,,True,0,0.0,Sidrodas,False,,,
Pneu Comforser Aro 16 195/55R16 87V CF510,455.47,https://www.magazineluiza.com.br/pneu-comforser-aro-16-195-55r16-87v-cf510/p/dedg5fg7bf/au/pine/,2025-08-22 07:42:35,195/55R16,,,47944679.91,True,https://a-static.mlcdn.com.br/280x210/pneu-comforser-aro-16-195-55r16-87v-cf510/bmpneuserodas/1570506/3b85f145aa5de1fb8fa91306cb010744.jpeg,magazineluiza,,True,0,0.0,Bm Pneus E Rodas,False,,,
Pneu Comforser Aro 16 195/55R16 87V CF510,497.88,https://www.magazineluiza.com.br/pneu-comforser-aro-16-195-55r16-87v-cf510/p/fd08cjhb7g/au/pine/,2025-08-22 07:42:39,195/55R16,,,49788771.13,True,https://a-static.mlcdn.com.br/280x210/pneu-comforser-aro-16-195-55r16-87v-cf510/sidrodas/1570506/3b85f145aa5de1fb8fa91306cb010744.jpeg,magazineluiza,,True,0,0.0,Sid Rodas,False,,,
Pneu Comforser Aro 16 195/55R16 CF-510 87V,490.78,https://www.magazineluiza.com.br/pneu-comforser-aro-16-195-55r16-cf-510-87v/p/gjh3j1jj38/au/pine/,2025-08-22 07:42:41,195/55R16,,,51661773.8,True,https://a-static.mlcdn.com.br/280x210/pneu-comforser-aro-16-195-55r16-cf-510-87v/lemanspneusstore/1955516cf/d5db92189312e647671b292dc54cca01.jpeg,magazineluiza,,True,0,0.0,Lemans Pneus Store,False,,,
