titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 16” 195/55R16 Goodyear 91V Sport Direction 2,599.9,https://www.magazineluiza.com.br/pneu-aro-16-195-55r16-goodyear-91v-sport-direction-2/p/237123800/au/aupa/,2025-08-23 23:49:34,195/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental Aro 16 PowerContact 2 195/55R16 87H,585.09,https://www.magazineluiza.com.br/pneu-continental-aro-16-powercontact-2-195-55r16-87h/p/dh2bh9679c/au/aupa/,2025-08-23 23:49:44,195/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 16"" 195/55R16 Goodyear 91V Efficientgrip Performance",589.9,https://www.magazineluiza.com.br/pneu-aro-16-195-55r16-goodyear-91v-efficientgrip-performance/p/240116200/au/pine/,2025-08-23 23:49:55,195/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 16"" 195/55R16 Continental 87H PowerContact 2",559.9,https://www.magazineluiza.com.br/pneu-aro-16-195-55r16-continental-87h-powercontact-2/p/238760200/au/pine/,2025-08-23 23:50:06,195/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Xbri 195/55 R16 87v Ecology,358.35,https://www.magazineluiza.com.br/pneu-aro-16-xbri-195-55-r16-87v-ecology/p/khf11akjh6/au/aupa/,2025-08-23 23:50:19,195/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Pirelli 195/55 R16 87V Powergy,699.71,https://www.magazineluiza.com.br/pneu-aro-16-pirelli-195-55-r16-87v-powergy/p/aj91193k62/au/pine/,2025-08-23 23:50:29,195/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Michelin 195/55 R16 87V TL Primacy 4,803.98,https://www.magazineluiza.com.br/pneu-aro-16-michelin-195-55-r16-87v-tl-primacy-4/p/gak3cgk5kk/au/aupa/,2025-08-23 23:50:41,195/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Xbri 195/55 R16 87V Fastway F1,426.65,https://www.magazineluiza.com.br/pneu-aro-16-xbri-195-55-r16-87v-fastway-f1/p/fha007a0f2/au/aupa/,2025-08-23 23:50:52,195/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 195/55 r16 dunlop sport fm800 91v,750.16,https://www.magazineluiza.com.br/pneu-aro-16-195-55-r16-dunlop-sport-fm800-91v/p/fea480hh6k/au/aupa/,2025-08-23 23:51:02,195/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Continental 195/55 R16 87V FR ContiPowerContact,655.06,https://www.magazineluiza.com.br/pneu-aro-16-continental-195-55-r16-87v-fr-contipowercontact/p/jge96cd11k/au/aupa/,2025-08-23 23:51:13,195/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
