titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 15 195/60R15 88H PowerContact 2 Continental,455.2,https://www.magazineluiza.com.br/pneu-aro-15-195-60r15-88h-powercontact-2-continental/p/ddg4503eed/au/aupa/,2025-08-29 06:58:22,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/60R15 Continental PowerContact 2 88H Aro 15,556.0,https://www.magazineluiza.com.br/pneu-195-60r15-continental-powercontact-2-88h-aro-15/p/jhb2cck1b0/au/pine/,2025-08-29 06:58:32,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental PowerContact 2 Aro 15 195/60R15 88H Assimétrico Radial,509.9,https://www.magazineluiza.com.br/pneu-continental-powercontact-2-aro-15-195-60r15-88h-assimetrico-radial/p/keh757bj65/au/aupa/,2025-08-29 06:58:42,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/60r15 88h powercontact 2 continental,654.82,https://www.magazineluiza.com.br/pneu-195-60r15-88h-powercontact-2-continental/p/fge91b70aa/au/aupa/,2025-08-29 06:58:53,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental Aro 15 195/60R15 PowerContact 2 88H,786.97,https://www.magazineluiza.com.br/pneu-continental-aro-15-195-60r15-powercontact-2-88h/p/ca0ddfh5e6/au/aupa/,2025-08-29 06:59:05,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/60R15 Continental UltraContact 88H,615.0,https://www.magazineluiza.com.br/pneu-195-60r15-continental-ultracontact-88h/p/ddj1jhjbj1/au/pine/,2025-08-29 06:59:27,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/60r15 88h ultracontact continental,694.57,https://www.magazineluiza.com.br/pneu-195-60r15-88h-ultracontact-continental/p/ajjj4ebk78/au/pine/,2025-08-29 06:59:39,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 195/60R15 88H PowerContact 2 Continental,455.2,https://www.magazineluiza.com.br/pneu-aro-15-195-60r15-88h-powercontact-2-continental/p/ddg4503eed/au/aupa/,2025-08-29 07:00:16,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/60R15 Continental PowerContact 2 88H Aro 15,556.0,https://www.magazineluiza.com.br/pneu-195-60r15-continental-powercontact-2-88h-aro-15/p/jhb2cck1b0/au/pine/,2025-08-29 07:00:27,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental PowerContact 2 Aro 15 195/60R15 88H Assimétrico Radial,509.9,https://www.magazineluiza.com.br/pneu-continental-powercontact-2-aro-15-195-60r15-88h-assimetrico-radial/p/keh757bj65/au/aupa/,2025-08-29 07:00:37,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/60r15 88h powercontact 2 continental,654.82,https://www.magazineluiza.com.br/pneu-195-60r15-88h-powercontact-2-continental/p/fge91b70aa/au/aupa/,2025-08-29 07:00:48,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental Aro 15 195/60R15 PowerContact 2 88H,786.97,https://www.magazineluiza.com.br/pneu-continental-aro-15-195-60r15-powercontact-2-88h/p/ca0ddfh5e6/au/aupa/,2025-08-29 07:01:01,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/60R15 Continental UltraContact 88H,615.0,https://www.magazineluiza.com.br/pneu-195-60r15-continental-ultracontact-88h/p/ddj1jhjbj1/au/pine/,2025-08-29 07:01:23,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/60r15 88h ultracontact continental,694.57,https://www.magazineluiza.com.br/pneu-195-60r15-88h-ultracontact-continental/p/ajjj4ebk78/au/pine/,2025-08-29 07:01:35,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 195/60R15 88H PowerContact 2 Continental,455.2,https://www.magazineluiza.com.br/pneu-aro-15-195-60r15-88h-powercontact-2-continental/p/ddg4503eed/au/aupa/,2025-08-29 07:02:12,195/60R15,continental,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
