titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 15 Goodyear EfficientGrip Performance 195/65R15 91H,580.02,https://www.magazineluiza.com.br/pneu-aro-15-goodyear-efficientgrip-performance-195-65r15-91h/p/758154700/au/aupa/,2025-08-23 18:00:48,195/65R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/65R15 Goodyear Efficientgrip Performance 91H Aro 15,695.03,https://www.magazineluiza.com.br/pneu-195-65r15-goodyear-efficientgrip-performance-91h-aro-15/p/aag1dhjjek/au/aupa/,2025-08-23 18:00:59,195/65R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195 65R15 Efficientgrip Performance Goodyear 91H SLFP,655.41,https://www.magazineluiza.com.br/pneu-195-65r15-efficientgrip-performance-goodyear-91h-slfp/p/ddjc5ef9cf/au/pine/,2025-08-23 18:01:11,195/65R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear 195/65 R15 91H SL Efficientgrip Performance FP,659.75,https://www.magazineluiza.com.br/pneu-goodyear-195-65-r15-91h-sl-efficientgrip-performance-fp/p/fhega5kje5/au/aupa/,2025-08-23 18:01:21,195/65R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/65R15 Goodyear EfficientGrip Performance 91H,735.79,https://www.magazineluiza.com.br/pneu-195-65r15-goodyear-efficientgrip-performance-91h/p/dhj7fk7aeh/au/pine/,2025-08-23 18:01:32,195/65R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Goodyear EfficientGrip Performance 195/65R15 91H,580.02,https://www.magazineluiza.com.br/pneu-aro-15-goodyear-efficientgrip-performance-195-65r15-91h/p/758154700/au/aupa/,2025-08-23 18:02:10,195/65R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/65R15 Goodyear Efficientgrip Performance 91H Aro 15,695.03,https://www.magazineluiza.com.br/pneu-195-65r15-goodyear-efficientgrip-performance-91h-aro-15/p/aag1dhjjek/au/aupa/,2025-08-23 18:02:20,195/65R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195 65R15 Efficientgrip Performance Goodyear 91H SLFP,655.41,https://www.magazineluiza.com.br/pneu-195-65r15-efficientgrip-performance-goodyear-91h-slfp/p/ddjc5ef9cf/au/pine/,2025-08-23 18:02:33,195/65R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear 195/65 R15 91H SL Efficientgrip Performance FP,659.75,https://www.magazineluiza.com.br/pneu-goodyear-195-65-r15-91h-sl-efficientgrip-performance-fp/p/fhega5kje5/au/aupa/,2025-08-23 18:02:45,195/65R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/65R15 Goodyear EfficientGrip Performance 91H,735.79,https://www.magazineluiza.com.br/pneu-195-65r15-goodyear-efficientgrip-performance-91h/p/dhj7fk7aeh/au/pine/,2025-08-23 18:02:56,195/65R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Goodyear EfficientGrip Performance 195/65R15 91H,580.02,https://www.magazineluiza.com.br/pneu-aro-15-goodyear-efficientgrip-performance-195-65r15-91h/p/758154700/au/aupa/,2025-08-23 18:03:36,195/65R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/65R15 Goodyear Efficientgrip Performance 91H Aro 15,695.03,https://www.magazineluiza.com.br/pneu-195-65r15-goodyear-efficientgrip-performance-91h-aro-15/p/aag1dhjjek/au/aupa/,2025-08-23 18:03:47,195/65R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195 65R15 Efficientgrip Performance Goodyear 91H SLFP,655.41,https://www.magazineluiza.com.br/pneu-195-65r15-efficientgrip-performance-goodyear-91h-slfp/p/ddjc5ef9cf/au/pine/,2025-08-23 18:04:00,195/65R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear 195/65 R15 91H SL Efficientgrip Performance FP,659.75,https://www.magazineluiza.com.br/pneu-goodyear-195-65-r15-91h-sl-efficientgrip-performance-fp/p/fhega5kje5/au/aupa/,2025-08-23 18:04:11,195/65R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/65R15 Goodyear EfficientGrip Performance 91H,735.79,https://www.magazineluiza.com.br/pneu-195-65r15-goodyear-efficientgrip-performance-91h/p/dhj7fk7aeh/au/pine/,2025-08-23 18:04:23,195/65R15,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
