titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu aro 15 195/65 r15 lanvigator comfort ii 91h,457.85,https://www.magazineluiza.com.br/pneu-aro-15-195-65-r15-lanvigator-comfort-ii-91h/p/fd3adh9jk3/au/aupa/,2025-08-29 21:25:48,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Lanvigator Aro 15 195/65R15 Comfort II 91H,505.58,https://www.magazineluiza.com.br/pneu-lanvigator-aro-15-195-65r15-comfort-ii-91h/p/eh26adb376/au/aupa/,2025-08-29 21:26:00,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Lanvigator Aro 15 195/65R15 Comfort II 95H,505.58,https://www.magazineluiza.com.br/pneu-lanvigator-aro-15-195-65r15-comfort-ii-95h/p/gg878331g3/au/aupa/,2025-08-29 21:26:11,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Golf/Zafira Lanvigator 195/65-15 Comfort II 91H,367.54,https://www.magazineluiza.com.br/pneu-golf-zafira-lanvigator-195-65-15-comfort-ii-91h/p/gcee21g96g/au/pine/,2025-08-29 21:26:23,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/65 r 15 comfort ii 91h lanvigator,548.8,https://www.magazineluiza.com.br/pneu-195-65-r-15-comfort-ii-91h-lanvigator/p/hc4ba99f26/au/aupa/,2025-08-29 21:26:35,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 195/65R15 91V Ex Comfort Haida,345.0,https://www.magazineluiza.com.br/pneu-aro-15-195-65r15-91v-ex-comfort-haida/p/ek426gjcjk/au/aupa/,2025-08-29 21:26:45,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 15 195/65 r15 lanvigator comfort ii 91h,457.85,https://www.magazineluiza.com.br/pneu-aro-15-195-65-r15-lanvigator-comfort-ii-91h/p/fd3adh9jk3/au/aupa/,2025-08-29 21:27:27,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Lanvigator Aro 15 195/65R15 Comfort II 91H,505.58,https://www.magazineluiza.com.br/pneu-lanvigator-aro-15-195-65r15-comfort-ii-91h/p/eh26adb376/au/aupa/,2025-08-29 21:27:39,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Lanvigator Aro 15 195/65R15 Comfort II 95H,505.58,https://www.magazineluiza.com.br/pneu-lanvigator-aro-15-195-65r15-comfort-ii-95h/p/gg878331g3/au/aupa/,2025-08-29 21:27:50,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Golf/Zafira Lanvigator 195/65-15 Comfort II 91H,367.54,https://www.magazineluiza.com.br/pneu-golf-zafira-lanvigator-195-65-15-comfort-ii-91h/p/gcee21g96g/au/pine/,2025-08-29 21:28:01,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/65 r 15 comfort ii 91h lanvigator,548.8,https://www.magazineluiza.com.br/pneu-195-65-r-15-comfort-ii-91h-lanvigator/p/hc4ba99f26/au/aupa/,2025-08-29 21:28:14,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 195/65R15 91V Ex Comfort Haida,345.0,https://www.magazineluiza.com.br/pneu-aro-15-195-65r15-91v-ex-comfort-haida/p/ek426gjcjk/au/aupa/,2025-08-29 21:28:25,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 15 195/65 r15 lanvigator comfort ii 91h,457.85,https://www.magazineluiza.com.br/pneu-aro-15-195-65-r15-lanvigator-comfort-ii-91h/p/fd3adh9jk3/au/aupa/,2025-08-29 21:29:11,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Lanvigator Aro 15 195/65R15 Comfort II 91H,505.58,https://www.magazineluiza.com.br/pneu-lanvigator-aro-15-195-65r15-comfort-ii-91h/p/eh26adb376/au/aupa/,2025-08-29 21:29:23,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Lanvigator Aro 15 195/65R15 Comfort II 95H,505.58,https://www.magazineluiza.com.br/pneu-lanvigator-aro-15-195-65r15-comfort-ii-95h/p/gg878331g3/au/aupa/,2025-08-29 21:29:34,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Golf/Zafira Lanvigator 195/65-15 Comfort II 91H,367.54,https://www.magazineluiza.com.br/pneu-golf-zafira-lanvigator-195-65-15-comfort-ii-91h/p/gcee21g96g/au/pine/,2025-08-29 21:29:45,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/65 r 15 comfort ii 91h lanvigator,548.8,https://www.magazineluiza.com.br/pneu-195-65-r-15-comfort-ii-91h-lanvigator/p/hc4ba99f26/au/aupa/,2025-08-29 21:29:58,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 195/65R15 91V Ex Comfort Haida,345.0,https://www.magazineluiza.com.br/pneu-aro-15-195-65r15-91v-ex-comfort-haida/p/ek426gjcjk/au/aupa/,2025-08-29 21:30:08,195/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
