titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Michelin Aro 15 Primacy 4 195/65R15 91H,681.6,https://www.magazineluiza.com.br/pneu-michelin-aro-15-primacy-4-195-65r15-91h/p/hd55d5j458/au/aupa/,2025-08-29 23:14:51,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Michelin Aro 15 195/65R15 Primacy 4 91H,963.44,https://www.magazineluiza.com.br/pneu-michelin-aro-15-195-65r15-primacy-4-91h/p/djk43b4118/au/aupa/,2025-08-29 23:15:01,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Michelin 195/65 R15 91H TL Primacy 4,745.89,https://www.magazineluiza.com.br/pneu-aro-15-michelin-195-65-r15-91h-tl-primacy-4/p/jkc104bk34/au/pine/,2025-08-29 23:15:12,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 195/65R15 91H Primacy 4 Michelin,785.02,https://www.magazineluiza.com.br/pneu-aro-15-195-65r15-91h-primacy-4-michelin/p/faccg1e4cg/au/aupa/,2025-08-29 23:15:24,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/65R15 Michelin Primacy 4 91H,846.86,https://www.magazineluiza.com.br/pneu-195-65r15-michelin-primacy-4-91h/p/jc5h14g096/au/pine/,2025-08-29 23:15:35,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Michelin Aro 15 Primacy 4 195/65R15 91H,681.6,https://www.magazineluiza.com.br/pneu-michelin-aro-15-primacy-4-195-65r15-91h/p/hd55d5j458/au/aupa/,2025-08-29 23:16:12,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Michelin Aro 15 195/65R15 Primacy 4 91H,963.44,https://www.magazineluiza.com.br/pneu-michelin-aro-15-195-65r15-primacy-4-91h/p/djk43b4118/au/aupa/,2025-08-29 23:16:23,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Michelin 195/65 R15 91H TL Primacy 4,745.89,https://www.magazineluiza.com.br/pneu-aro-15-michelin-195-65-r15-91h-tl-primacy-4/p/jkc104bk34/au/pine/,2025-08-29 23:16:33,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 195/65R15 91H Primacy 4 Michelin,785.02,https://www.magazineluiza.com.br/pneu-aro-15-195-65r15-91h-primacy-4-michelin/p/faccg1e4cg/au/aupa/,2025-08-29 23:16:44,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/65R15 Michelin Primacy 4 91H,846.86,https://www.magazineluiza.com.br/pneu-195-65r15-michelin-primacy-4-91h/p/jc5h14g096/au/pine/,2025-08-29 23:16:55,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Michelin Aro 15 Primacy 4 195/65R15 91H,681.6,https://www.magazineluiza.com.br/pneu-michelin-aro-15-primacy-4-195-65r15-91h/p/hd55d5j458/au/aupa/,2025-08-29 23:17:37,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Michelin Aro 15 195/65R15 Primacy 4 91H,963.44,https://www.magazineluiza.com.br/pneu-michelin-aro-15-195-65r15-primacy-4-91h/p/djk43b4118/au/aupa/,2025-08-29 23:17:48,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Michelin 195/65 R15 91H TL Primacy 4,745.89,https://www.magazineluiza.com.br/pneu-aro-15-michelin-195-65-r15-91h-tl-primacy-4/p/jkc104bk34/au/pine/,2025-08-29 23:17:58,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 195/65R15 91H Primacy 4 Michelin,785.02,https://www.magazineluiza.com.br/pneu-aro-15-195-65r15-91h-primacy-4-michelin/p/faccg1e4cg/au/aupa/,2025-08-29 23:18:11,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 195/65R15 Michelin Primacy 4 91H,846.86,https://www.magazineluiza.com.br/pneu-195-65r15-michelin-primacy-4-91h/p/jc5h14g096/au/pine/,2025-08-29 23:18:22,195/65R15,michelin,primacy 4,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
