titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 205/50 R17 Aro 17 para Carros Qualidade e Desempenho,433.01,https://www.magazineluiza.com.br/pneu-205-50-r17-aro-17-para-carros-qualidade-e-desempenho-virtual-emporium/p/hfce35d2fk/au/pine/,2025-08-22 07:54:23,205/50R17,,,469.9,True,https://a-static.mlcdn.com.br/280x210/pneu-205-50-r17-aro-17-para-carros-qualidade-e-desempenho-virtual-emporium/levaaqui/439/aea95b8d9b039a119a2ff72102b31e9a.jpeg,magazineluiza,,True,2,5.0,Virtual Emporium,False,,,
Pneu 205/50 R17 Eco Cruze Focus A3 C4 Lounge 308,420.45,https://www.magazineluiza.com.br/pneu-205-50-r17-eco-cruze-focus-a3-c4-lounge-308-long-way/p/ddc8079fd3/au/pine/,2025-08-22 07:54:27,205/50R17,,,456.27,True,https://a-static.mlcdn.com.br/280x210/pneu-205-50-r17-eco-cruze-focus-a3-c4-lounge-308-long-way/gwimports/fs3/472c018ced79a288a67b212672e9e3a7.jpeg,magazineluiza,,True,2,5.0,Gwim Ports,False,,,
Pneu 205/50 R17 Aro 17 para Carros Qualidade e Autonomia,433.01,https://www.magazineluiza.com.br/pneu-205-50-r17-aro-17-para-carros-qualidade-e-autonomia-virtual-emporium/p/ekkk2hd5fk/au/pine/,2025-08-22 07:54:30,205/50R17,,,469.9,True,https://a-static.mlcdn.com.br/280x210/pneu-205-50-r17-aro-17-para-carros-qualidade-e-autonomia-virtual-emporium/levaaqui/445/7eb57debb1dc48e65ce3764df7b8adb6.jpeg,magazineluiza,,True,2,5.0,Virtual Emporium,False,,,
Pneu Aptany Aro 17 205/50 R17 93/XL W RA301,552.28,https://www.magazineluiza.com.br/pneu-aptany-aro-17-205-50-r17-93-xl-w-ra301/p/eh75kcjf17/au/aupa/,2025-08-22 07:54:33,205/50R17,,,581355116.27,True,https://a-static.mlcdn.com.br/280x210/pneu-aptany-aro-17-205-50-r17-93-xl-w-ra301/autoloja/715p/0dd97819d4fe5943c541b0cffd6be617.jpeg,magazineluiza,,True,0,0.0,Auto Loja,False,,,
Pneu 205/50 R17 Eco Cruze Focus 308 A3 C4 Lounge,420.96,https://www.magazineluiza.com.br/pneu-205-50-r17-eco-cruze-focus-308-a3-c4-lounge-long-way/p/ec3b2kge50/au/pine/,2025-08-22 07:54:35,205/50R17,,,456.82,True,https://a-static.mlcdn.com.br/280x210/pneu-205-50-r17-eco-cruze-focus-308-a3-c4-lounge-long-way/gwimports/fs8/472c018ced79a288a67b212672e9e3a7.jpeg,magazineluiza,,True,2,5.0,Gwim Ports,False,,,
Pneu 205 50 R17 93w Spfm800 Xl Dunlop Polo Punto Civic Impreza Ecosport Pt Cruiser 417032,664.6,https://www.magazineluiza.com.br/pneu-205-50-r17-93w-spfm800-xl-dunlop-polo-punto-civic-impreza-ecosport-pt-cruiser-417032/p/jjhbc4aedd/au/pine/,2025-08-22 07:54:39,205/50R17,dunlop,fm800,742.74,True,https://a-static.mlcdn.com.br/280x210/pneu-205-50-r17-93w-spfm800-xl-dunlop-polo-punto-civic-impreza-ecosport-pt-cruiser-417032/pneusonline/10472129-90-417032/ff9962f1c5360de47bbc587d8fec12ff.jpeg,magazineluiza,,True,1,0.0,Pneus Online,False,,,
Pneu Aro 17 Michelin 205/50 R17 93W XL TL Primacy 4+,1042.31,https://www.magazineluiza.com.br/pneu-aro-17-michelin-205-50-r17-93w-xl-tl-primacy-4/p/af8h4b19d0/au/aupa/,2025-08-22 07:54:43,205/50R17,michelin,primacy 4,1054.07,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-17-michelin-205-50-r17-93w-xl-tl-primacy-4/pneugreen/681/9283b9b9ede8b8356a972715ba391a52.jpeg,magazineluiza,,True,1,0.0,Pneugreen,False,,,
Pneu Sailun 205/50 R17 93W Xl Atrezzo Zsr,535.39,https://www.magazineluiza.com.br/pneu-sailun-205-50-r17-93w-xl-atrezzo-zsr-sailun-tires/p/jgb2cdg733/au/pine/,2025-08-22 07:54:45,205/50R17,,,593.23,True,https://a-static.mlcdn.com.br/280x210/pneu-sailun-205-50-r17-93w-xl-atrezzo-zsr-sailun-tires/autoloja/1754/a11b872b73cf2d55717cd1f4212c06e2.jpeg,magazineluiza,,True,0,0.0,Auto Loja,False,,,
Pneu Aro 17 Bridgestone 205/50 R17 93W Turanza T005,975.27,https://www.magazineluiza.com.br/pneu-aro-17-bridgestone-205-50-r17-93w-turanza-t005/p/gcf7e67c5e/au/pine/,2025-08-22 07:54:48,205/50R17,bridgestone,,975271097.53,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-17-bridgestone-205-50-r17-93w-turanza-t005/pneugreen/20968512/cc15abf5dd199fb70f76ebbbe92d2bd5.jpeg,magazineluiza,,True,1,0.0,Pneugreen,False,,,
Pneu Aro 17 Pirelli 205/50 R17 89V Cinturato P7,100.0,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-205-50-r17-89v-cinturato-p7/p/bh1733d988/au/aupa/,2025-08-22 07:54:52,205/50R17,pirelli,cinturato p7,963561096.36,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-17-pirelli-205-50-r17-89v-cinturato-p7/pneugreen/580/c17e88e07287368b8ad2441e8f87793b.jpeg,magazineluiza,,True,8,0.0,Pneugreen,False,,,
