titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 16” 205/55R16 Goodyear 91V,409.9,https://www.magazineluiza.com.br/pneu-aro-16-205-55r16-goodyear-91v/p/235250300/au/pine/,2025-08-29 09:00:31,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Michelin Aro 16 Primacy 4 205/55R16 91V,566.64,https://www.magazineluiza.com.br/pneu-michelin-aro-16-primacy-4-205-55r16-91v/p/ja67g65a74/au/aupa/,2025-08-29 09:00:43,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16” 205/55R16 Goodyear 91V Direction 2 Sport 2,459.9,https://www.magazineluiza.com.br/pneu-aro-16-205-55r16-goodyear-91v-direction-2-sport-2/p/236189200/au/pine/,2025-08-29 09:00:54,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 16 Eagle Sport 2 205/55R16 91V,477.3,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-eagle-sport-2-205-55r16-91v/p/ek5ac9jdjg/au/aupa/,2025-08-29 09:01:04,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16” Continental 205/55R16 91V PowerContact 2,489.9,https://www.magazineluiza.com.br/pneu-aro-16-continental-205-55r16-91v-powercontact-2/p/220168100/au/aupa/,2025-08-29 09:01:14,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16” 205/55R16 Goodyear 91V Kelly EDGE,503.49,https://www.magazineluiza.com.br/pneu-aro-16-205-55r16-goodyear-91v-kelly-edge-sport-2/p/237241600/au/aupa/,2025-08-29 09:01:27,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 16” General 205/55R16 91H - Evertreck HP By Continental,356.24,https://www.magazineluiza.com.br/pneu-16-general-205-55r16-91h-evertreck-hp-by-continental/p/031601000/au/aupa/,2025-08-29 09:01:37,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Xbri 205/55 R16 91V Fastway C2,331.55,https://www.magazineluiza.com.br/pneu-aro-16-xbri-205-55-r16-91v-fastway-c2/p/gbhj9388g1/au/aupa/,2025-08-29 09:01:49,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Bridgestone 205/55 R16 91V Ecopia EP150,526.66,https://www.magazineluiza.com.br/pneu-aro-16-bridgestone-205-55-r16-91v-ecopia-ep150/p/gf7235he5h/au/pine/,2025-08-29 09:02:01,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu R16 Premium 205/55r16 91v Sport Focus Bmw Eagle,246.91,https://www.magazineluiza.com.br/pneu-r16-premium-205-55r16-91v-sport-focus-bmw-eagle-pioneiro/p/bjh4h5963a/au/aupa/,2025-08-29 09:02:11,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Pirelli 205/55 r16 91v P400 Evo,453.05,https://www.magazineluiza.com.br/pneu-aro-16-pirelli-205-55-r16-91v-p400-evo/p/hg7781cfge/au/pine/,2025-08-29 09:02:22,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Michelin 205/55 R16 91v Primacy 4,644.9,https://www.magazineluiza.com.br/pneu-aro-16-michelin-205-55-r16-91v-primacy-4/p/gea7jb12gg/au/aupa/,2025-08-29 09:02:34,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 205/55 R16 91V PowerContact 2,580.42,https://www.magazineluiza.com.br/pneu-continental-205-55-r16-91v-powercontact-2/p/cg0gcj3b3h/au/aupa/,2025-08-29 09:02:44,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Goodyear 205/55 R16 91V SL Eagle Sport 2,496.25,https://www.magazineluiza.com.br/pneu-aro-16-goodyear-205-55-r16-91v-sl-eagle-sport-2/p/jdcg73888j/au/aupa/,2025-08-29 09:02:54,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/55 R16 HIFLY 91V HF261,459.0,https://www.magazineluiza.com.br/pneu-205-55-r16-hifly-91v-hf261/p/geagd3jeh2/au/pine/,2025-08-29 09:03:05,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook Aro 16 205/55 R16 94W Ventus V12 Evo 2 K120,603.06,https://www.magazineluiza.com.br/pneu-hankook-aro-16-205-55-r16-94w-ventus-v12-evo-2-k120/p/bjghb82cf1/au/pine/,2025-08-29 09:03:16,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Xbri Aro 16 205/55 R16 91V Fastway P6,443.45,https://www.magazineluiza.com.br/pneu-xbri-aro-16-205-55-r16-91v-fastway-p6/p/fbekc57h6c/au/aupa/,2025-08-29 09:03:27,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205 55 R16 91V D1D1,801.18,https://www.magazineluiza.com.br/pneu-205-55-r16-91v-d1d1-delinte/p/db338hee4k/au/pine/,2025-08-29 09:03:38,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/55 R16 Excelente Desempenho,379.15,https://www.magazineluiza.com.br/pneu-205-55-r16-excelente-desempenho-rb-tyres/p/gh909b77kd/au/aupa/,2025-08-29 09:03:49,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Itaro Aro 16 Comformax 205/55R16 91V,300.02,https://www.magazineluiza.com.br/pneu-itaro-aro-16-comformax-205-55r16-91v/p/kag74cggce/au/pine/,2025-08-29 09:03:59,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 205/55 r16 milever mp270 91v,451.65,https://www.magazineluiza.com.br/pneu-aro-16-205-55-r16-milever-mp270-91v-minerva/p/eg2ff8hfcb/au/aupa/,2025-08-29 09:04:12,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205 55 R16 91V D1D1,801.18,https://www.magazineluiza.com.br/pneu-205-55-r16-91v-d1d1-delinte/p/jh32k89f6c/au/pine/,2025-08-29 09:04:22,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205 55 R16 91V D1D1,801.18,https://www.magazineluiza.com.br/pneu-205-55-r16-91v-d1d1-delinte/p/ceg2jc8jdc/au/pine/,2025-08-29 09:04:33,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/55 R16 Estabilidade nas Curvas,380.0,https://www.magazineluiza.com.br/pneu-205-55-r16-estabilidade-nas-curvas-rb-tyres/p/ea3a9f3e5f/au/pine/,2025-08-29 09:04:45,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 205/55R16 Pirelli 91V TL P400 EVO,504.55,https://www.magazineluiza.com.br/pneu-aro-16-205-55r16-pirelli-91v-tl-p400-evo/p/ebjdd3gche/au/aupa/,2025-08-29 09:04:55,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/55 R16 Dirija com Segurança,380.0,https://www.magazineluiza.com.br/pneu-205-55-r16-dirija-com-seguranca-rb-tyres/p/dcj1f4431b/au/aupa/,2025-08-29 09:05:07,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Eco 205/55 R16 Aro 16 Jetta Bravo Golf C4,354.12,https://www.magazineluiza.com.br/pneu-eco-205-55-r16-aro-16-jetta-bravo-golf-c4-long-way/p/ehcd37hf8h/au/pine/,2025-08-29 09:05:18,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 205/55 R16 91H ENASAVE EC300+,652.57,https://www.magazineluiza.com.br/pneu-dunlop-205-55-r16-91h-enasave-ec300/p/da2ahf9j14/au/aupa/,2025-08-29 09:05:28,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16” 205/55R16 Goodyear 91V Direction 2,959.8,https://www.magazineluiza.com.br/pneu-aro-16-205-55r16-goodyear-91v-direction-2-2-unidades/p/229882600/au/aupa/,2025-08-29 09:05:38,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205 55 R16 91h Enasave Ec300 Dev Dunlop 416911,502.57,https://www.magazineluiza.com.br/pneu-205-55-r16-91h-enasave-ec300-dev-dunlop-416911/p/fa4kd915kb/au/pine/,2025-08-29 09:05:51,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/55 R16 YEADA 91v OPTECOS1,459.0,https://www.magazineluiza.com.br/pneu-205-55-r16-yeada-91v-optecos1/p/fj2kea86aj/au/pine/,2025-08-29 09:06:01,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 205/55 R16 91H ENASAVE EC300+,652.57,https://www.magazineluiza.com.br/pneu-dunlop-205-55-r16-91h-enasave-ec300/p/hbb6gg5861/au/aupa/,2025-08-29 09:06:12,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16” 205/55R16 Goodyear 91V,409.9,https://www.magazineluiza.com.br/pneu-aro-16-205-55r16-goodyear-91v/p/235250300/au/pine/,2025-08-29 09:06:54,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Michelin Aro 16 Primacy 4 205/55R16 91V,566.64,https://www.magazineluiza.com.br/pneu-michelin-aro-16-primacy-4-205-55r16-91v/p/ja67g65a74/au/aupa/,2025-08-29 09:07:05,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16” 205/55R16 Goodyear 91V Direction 2 Sport 2,459.9,https://www.magazineluiza.com.br/pneu-aro-16-205-55r16-goodyear-91v-direction-2-sport-2/p/236189200/au/pine/,2025-08-29 09:07:16,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 16 Eagle Sport 2 205/55R16 91V,477.3,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-eagle-sport-2-205-55r16-91v/p/ek5ac9jdjg/au/aupa/,2025-08-29 09:07:26,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16” Continental 205/55R16 91V PowerContact 2,489.9,https://www.magazineluiza.com.br/pneu-aro-16-continental-205-55r16-91v-powercontact-2/p/220168100/au/aupa/,2025-08-29 09:07:37,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16” 205/55R16 Goodyear 91V Kelly EDGE,503.49,https://www.magazineluiza.com.br/pneu-aro-16-205-55r16-goodyear-91v-kelly-edge-sport-2/p/237241600/au/aupa/,2025-08-29 09:07:50,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 16” General 205/55R16 91H - Evertreck HP By Continental,356.24,https://www.magazineluiza.com.br/pneu-16-general-205-55r16-91h-evertreck-hp-by-continental/p/031601000/au/aupa/,2025-08-29 09:08:00,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Xbri 205/55 R16 91V Fastway C2,331.55,https://www.magazineluiza.com.br/pneu-aro-16-xbri-205-55-r16-91v-fastway-c2/p/gbhj9388g1/au/aupa/,2025-08-29 09:08:12,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Bridgestone 205/55 R16 91V Ecopia EP150,526.66,https://www.magazineluiza.com.br/pneu-aro-16-bridgestone-205-55-r16-91v-ecopia-ep150/p/gf7235he5h/au/pine/,2025-08-29 09:08:24,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
