titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
"Pneu Aro 15"" 205/60R15 Goodyear 91H EfficientGrip Performance",539.9,https://www.magazineluiza.com.br/pneu-aro-15-205-60r15-goodyear-91h-efficientgrip-performance/p/240115300/au/pine/,2025-09-02 10:17:00,205/60R15,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” 205/60R15 Goodyear 91H Sport 2 Direction 2,499.9,https://www.magazineluiza.com.br/pneu-aro-15-205-60r15-goodyear-91h-sport-2-direction-2/p/236569100/au/pine/,2025-09-02 10:17:11,205/60R15,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” Pirelli 205/60R15 91H,649.9,https://www.magazineluiza.com.br/pneu-aro-15-pirelli-205-60r15-91h-cinturato-p7/p/224916500/au/pine/,2025-09-02 10:17:22,205/60R15,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” 205/60R15 Goodyear 91H Performance,589.9,https://www.magazineluiza.com.br/pneu-aro-15-205-60r15-goodyear-91h-performance/p/235249500/au/aupa/,2025-09-02 10:17:34,205/60R15,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Double King 205/60 R15 91H Dk558,298.35,https://www.magazineluiza.com.br/pneu-double-king-205-60-r15-91h-dk558/p/ahf039adb9/au/pine/,2025-09-02 10:17:44,205/60R15,,,,False,,magazineluiza,,True,0,0.0,Clube da Borracha,False,,,
Pneu 205 60 R15 Aro 15 Santana Vectra Alta Durabilidade,318.9,https://www.magazineluiza.com.br/pneu-205-60-r15-aro-15-santana-vectra-alta-durabilidade-rb-tyres/p/hc09e20a82/au/aupa/,2025-09-02 10:17:46,205/60R15,,,,False,,magazineluiza,,True,0,0.0,rbtyres,False,,,
Pneu 205/60 R15 Aro 15 Confiável,398.99,https://www.magazineluiza.com.br/pneu-205-60-r15-aro-15-confiavel-black-tyres/p/hbbb8caa9f/au/pine/,2025-09-02 10:17:50,205/60R15,,,,False,,magazineluiza,,True,0,0.0,rbtyres,False,,,
Pneu 205/60 R15 Eco Aro 15 Astra Omega Santana,389.99,https://www.magazineluiza.com.br/pneu-205-60-r15-eco-aro-15-astra-omega-santana-long-way/p/jg7420381d/au/pine/,2025-09-02 10:17:54,205/60R15,,,,False,,magazineluiza,,True,0,0.0,Gwim Ports,False,,,
Pneu 205/60 R15 Excelente para Estrada,398.99,https://www.magazineluiza.com.br/pneu-205-60-r15-excelente-para-estrada-black-tyres/p/fgda213065/au/aupa/,2025-09-02 10:17:57,205/60R15,,,,False,,magazineluiza,,True,0,0.0,rbtyres,False,,,
Pneu 205 60 R15 Vectra Logan Stepway Rodagem Macia,315.9,https://www.magazineluiza.com.br/pneu-205-60-r15-vectra-logan-stepway-rodagem-macia-rb-tyres/p/jddcg2c2bf/au/pine/,2025-09-02 10:18:01,205/60R15,,,,False,,magazineluiza,,True,0,0.0,rbtyres,False,,,
