titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Roadcruza Aro 15 205/60 R15 91H RA1100 A/T,548.23,https://www.magazineluiza.com.br/pneu-roadcruza-aro-15-205-60-r15-91h-ra1100-a-t/p/fa3791ec9b/au/pine/,2025-09-04 21:56:09,205/60R15,roadcruza,ra1100,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
"Pneu Aro 15"" 205/60 R15 91T ROADCRUZA RA1100 AT",771.15,https://www.magazineluiza.com.br/pneu-aro-15-205-60-r15-91t-roadcruza-ra1100-at/p/gc05e7kck2/au/aupa/,2025-09-04 21:56:11,205/60R15,roadcruza,ra1100 at,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Roadcruza Aro 15 205/60 R15 91H RA1100 A/T,548.23,https://www.magazineluiza.com.br/pneu-roadcruza-aro-15-205-60-r15-91h-ra1100-a-t/p/fa3791ec9b/au/pine/,2025-09-04 21:56:42,205/60R15,roadcruza,ra1100,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
"Pneu Aro 15"" 205/60 R15 91T ROADCRUZA RA1100 AT",771.15,https://www.magazineluiza.com.br/pneu-aro-15-205-60-r15-91t-roadcruza-ra1100-at/p/gc05e7kck2/au/aupa/,2025-09-04 21:56:44,205/60R15,roadcruza,ra1100 at,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
"Pneu Aro 15"" 205/60 R15 91T ROADCRUZA RA1100 AT",771.15,https://www.magazineluiza.com.br/pneu-aro-15-205-60-r15-91t-roadcruza-ra1100-at/p/gc05e7kck2/au/aupa/,2025-09-04 21:56:50,205/60R15,roadcruza,ra1100 at,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Roadcruza Aro 15 205/60 R15 91H RA1100 A/T,548.23,https://www.magazineluiza.com.br/pneu-roadcruza-aro-15-205-60-r15-91h-ra1100-a-t/p/fa3791ec9b/au/pine/,2025-09-04 21:56:52,205/60R15,roadcruza,ra1100,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Roadcruza Aro 15 205/60 R15 91H RA1100 A/T,548.23,https://www.magazineluiza.com.br/pneu-roadcruza-aro-15-205-60-r15-91h-ra1100-a-t/p/fa3791ec9b/au/pine/,2025-09-04 21:56:57,205/60R15,roadcruza,ra1100,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Roadcruza Aro 15 205/60 R15 91H RA1100 A/T,548.23,https://www.magazineluiza.com.br/pneu-roadcruza-aro-15-205-60-r15-91h-ra1100-a-t/p/fa3791ec9b/au/pine/,2025-09-04 21:57:19,205/60R15,roadcruza,ra1100,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
"Pneu Aro 15"" 205/60 R15 91T ROADCRUZA RA1100 AT",771.15,https://www.magazineluiza.com.br/pneu-aro-15-205-60-r15-91t-roadcruza-ra1100-at/p/gc05e7kck2/au/aupa/,2025-09-04 21:57:21,205/60R15,roadcruza,ra1100 at,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
"Pneu Aro 15"" 205/60 R15 91T ROADCRUZA RA1100 AT",771.15,https://www.magazineluiza.com.br/pneu-aro-15-205-60-r15-91t-roadcruza-ra1100-at/p/gc05e7kck2/au/aupa/,2025-09-04 21:57:26,205/60R15,roadcruza,ra1100 at,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Roadcruza Aro 15 205/60 R15 91H RA1100 A/T,548.23,https://www.magazineluiza.com.br/pneu-roadcruza-aro-15-205-60-r15-91h-ra1100-a-t/p/fa3791ec9b/au/pine/,2025-09-04 21:57:28,205/60R15,roadcruza,ra1100,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Roadcruza Aro 15 205/60 R15 91H RA1100 A/T,548.23,https://www.magazineluiza.com.br/pneu-roadcruza-aro-15-205-60-r15-91h-ra1100-a-t/p/fa3791ec9b/au/pine/,2025-09-04 21:57:34,205/60R15,roadcruza,ra1100,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
