titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
"Pneu Aro 16"" 205/60R16 Goodyear 92H Wrangler Territory HT",659.9,https://www.magazineluiza.com.br/pneu-aro-16-205-60r16-goodyear-92h-wrangler-territory-ht/p/240116000/au/pine/,2025-09-11 12:25:07,205/60R16,goodyear,wrangler territory ht,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Goodyear Aro 16 205/60R16 Wrangler Territory HT 92H,1027.65,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-205-60r16-wrangler-territory-ht-92h/p/ec63ghah95/au/aupa/,2025-09-11 12:25:12,205/60R16,goodyear,wrangler territory ht,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 205/60R16 Goodyear Wrangler Territory HT 92H,829.75,https://www.magazineluiza.com.br/pneu-205-60r16-goodyear-wrangler-territory-ht-92h/p/kh9adc7aa9/au/aupa/,2025-09-11 12:25:15,205/60R16,goodyear,wrangler territory ht,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 205/60R16 Goodyear Wrangler Territory HT 92H Aro 16,819.93,https://www.magazineluiza.com.br/pneu-205-60r16-goodyear-wrangler-territory-ht-92h-aro-16/p/jej49b89kh/au/aupa/,2025-09-11 12:25:20,205/60R16,goodyear,wrangler territory ht,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Goodyear Aro 16 Wrangler Territory HT 205/60R16 92H,709.9,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-wrangler-territory-ht-205-60r16-92h/p/ha1g1hec7h/au/aupa/,2025-09-11 12:25:23,205/60R16,goodyear,wrangler territory ht,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
"Pneu Aro 16"" 205/60R16 Goodyear 92H Wrangler Territory HT",659.9,https://www.magazineluiza.com.br/pneu-aro-16-205-60r16-goodyear-92h-wrangler-territory-ht/p/240116000/au/pine/,2025-09-11 12:26:06,205/60R16,goodyear,wrangler territory ht,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Goodyear Aro 16 205/60R16 Wrangler Territory HT 92H,1027.65,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-205-60r16-wrangler-territory-ht-92h/p/ec63ghah95/au/aupa/,2025-09-11 12:26:11,205/60R16,goodyear,wrangler territory ht,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 205/60R16 Goodyear Wrangler Territory HT 92H,829.75,https://www.magazineluiza.com.br/pneu-205-60r16-goodyear-wrangler-territory-ht-92h/p/kh9adc7aa9/au/aupa/,2025-09-11 12:26:13,205/60R16,goodyear,wrangler territory ht,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 205/60R16 Goodyear Wrangler Territory HT 92H Aro 16,819.93,https://www.magazineluiza.com.br/pneu-205-60r16-goodyear-wrangler-territory-ht-92h-aro-16/p/jej49b89kh/au/aupa/,2025-09-11 12:26:17,205/60R16,goodyear,wrangler territory ht,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Goodyear Aro 16 Wrangler Territory HT 205/60R16 92H,709.9,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-wrangler-territory-ht-205-60r16-92h/p/ha1g1hec7h/au/aupa/,2025-09-11 12:26:19,205/60R16,goodyear,wrangler territory ht,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
