titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 205/60R16 92V RS One Sunwide,472.47,https://www.magazineluiza.com.br/pneu-205-60r16-92v-rs-one-sunwide/p/kb688kjg83/au/aupa/,2025-09-11 20:17:41,205/60R16,sunwide,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Sunwide Rs-One 205/60R16 Aro 16 92V,367.39,https://www.magazineluiza.com.br/pneu-sunwide-rs-one-205-60r16-aro-16-92v/p/dj8hgc7870/au/pine/,2025-09-11 20:17:45,205/60R16,sunwide,rs-one,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu aro 16 205/60 r16 sunwide rs-one 92v,477.22,https://www.magazineluiza.com.br/pneu-aro-16-205-60-r16-sunwide-rs-one-92v/p/ak311j2392/au/aupa/,2025-09-11 20:17:48,205/60R16,sunwide,rs-one,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Sunwide Aro 16 205/60R16 RS-ONE 92V,461.19,https://www.magazineluiza.com.br/pneu-sunwide-aro-16-205-60r16-rs-one-92v/p/ed3c7f8bbg/au/pine/,2025-09-11 20:17:51,205/60R16,sunwide,rs-one,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 205/60R16 92V RS One Sunwide,472.47,https://www.magazineluiza.com.br/pneu-205-60r16-92v-rs-one-sunwide/p/kb688kjg83/au/aupa/,2025-09-11 20:18:17,205/60R16,sunwide,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Sunwide Rs-One 205/60R16 Aro 16 92V,367.39,https://www.magazineluiza.com.br/pneu-sunwide-rs-one-205-60r16-aro-16-92v/p/dj8hgc7870/au/pine/,2025-09-11 20:18:21,205/60R16,sunwide,rs-one,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu aro 16 205/60 r16 sunwide rs-one 92v,477.22,https://www.magazineluiza.com.br/pneu-aro-16-205-60-r16-sunwide-rs-one-92v/p/ak311j2392/au/aupa/,2025-09-11 20:18:23,205/60R16,sunwide,rs-one,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Sunwide Aro 16 205/60R16 RS-ONE 92V,461.19,https://www.magazineluiza.com.br/pneu-sunwide-aro-16-205-60r16-rs-one-92v/p/ed3c7f8bbg/au/pine/,2025-09-11 20:18:25,205/60R16,sunwide,rs-one,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Sunwide Aro 16 205/60R16 RS-ONE 92V,461.19,https://www.magazineluiza.com.br/pneu-sunwide-aro-16-205-60r16-rs-one-92v/p/ed3c7f8bbg/au/pine/,2025-09-11 20:18:32,205/60R16,sunwide,rs-one,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu aro 16 205/60 r16 sunwide rs-one 92v,477.22,https://www.magazineluiza.com.br/pneu-aro-16-205-60-r16-sunwide-rs-one-92v/p/ak311j2392/au/aupa/,2025-09-11 20:18:34,205/60R16,sunwide,rs-one,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Sunwide Rs-One 205/60R16 Aro 16 92V,367.39,https://www.magazineluiza.com.br/pneu-sunwide-rs-one-205-60r16-aro-16-92v/p/dj8hgc7870/au/pine/,2025-09-11 20:18:36,205/60R16,sunwide,rs-one,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 205/60R16 92V RS One Sunwide,472.47,https://www.magazineluiza.com.br/pneu-205-60r16-92v-rs-one-sunwide/p/kb688kjg83/au/aupa/,2025-09-11 20:18:38,205/60R16,sunwide,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 205/60R16 92V RS One Sunwide,472.47,https://www.magazineluiza.com.br/pneu-205-60r16-92v-rs-one-sunwide/p/kb688kjg83/au/aupa/,2025-09-11 20:19:02,205/60R16,sunwide,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Sunwide Rs-One 205/60R16 Aro 16 92V,367.39,https://www.magazineluiza.com.br/pneu-sunwide-rs-one-205-60r16-aro-16-92v/p/dj8hgc7870/au/pine/,2025-09-11 20:19:06,205/60R16,sunwide,rs-one,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
