titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 15” 205/65R15 Goodyear 94T Direction 2 SUV,559.9,https://www.magazineluiza.com.br/pneu-aro-15-205-65r15-goodyear-94t-direction-2-suv/p/236189300/au/pine/,2025-08-22 06:35:32,205/65R15,goodyear,direction,610.42,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-15-205-65r15-goodyear-94t-direction-2-suv/magazineluiza/236189300/4f72e01430f5801ea427031b2f1e017b.jpg,magazineluiza,,True,175,8.0,magazineluiza,False,,,
Pneu Aro 15” Firestone 205/65R15 94T,579.49,https://www.magazineluiza.com.br/pneu-aro-15-firestone-205-65r15-94t-f-600/p/217919900/au/aupa/,2025-08-22 06:35:44,205/65R15,firestone,,619.99,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-15-firestone-205-65r15-94t-f-600/magazineluiza/217919900/81a5be2f962a693f2f9361dfc0115a1c.jpg,magazineluiza,,True,249,8.0,magazineluiza,False,,,
Pneu 205/65 R15 ATR Eco Aro 15 Duster Blazer S10,412.83,https://www.magazineluiza.com.br/pneu-205-65-r15-atr-eco-aro-15-duster-blazer-s10-long-way/p/gbe1j2c9bf/au/pine/,2025-08-22 06:35:52,205/65R15,,,448.0,True,https://a-static.mlcdn.com.br/280x210/pneu-205-65-r15-atr-eco-aro-15-duster-blazer-s10-long-way/gwimports/bs2/24569287ad2d4e1eeb42de6de3290bab.jpeg,magazineluiza,,True,4,0.0,Gwim Ports,False,,,
Pneu Aro 15 Chengshan 205/65 R15 94H CSC - 802,382.89,https://www.magazineluiza.com.br/pneu-aro-15-chengshan-205-65-r15-94h-csc-802/p/fdd3cj302k/au/pine/,2025-08-22 06:35:55,205/65R15,,,386.06,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-15-chengshan-205-65-r15-94h-csc-802/pneugreen/1432/ad8acd2b4c12bce8f7fc9196cf38cb0d.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu ATR 205/65 R15 S10 Doblò Palio Weekend Novo,385.09,https://www.magazineluiza.com.br/pneu-atr-205-65-r15-s10-doblo-palio-weekend-novo-longway/p/bfhkaa9g7f/au/aupa/,2025-08-22 06:35:58,205/65R15,,,413.72,True,https://a-static.mlcdn.com.br/280x210/pneu-atr-205-65-r15-s10-doblo-palio-weekend-novo-longway/velotech1/po3/249d7171bb84d187bc09921d52341282.jpeg,magazineluiza,,True,23,0.0,Velo Tech 1,False,,,
Pneu 205/65R15 Westlake SL369 A/T 94H,372.58,https://www.magazineluiza.com.br/pneu-205-65r15-westlake-sl369-a-t-94h/p/cf6kkg09k8/au/pine/,2025-08-22 06:36:03,205/65R15,,,508.54,True,https://a-static.mlcdn.com.br/280x210/pneu-205-65r15-westlake-sl369-a-t-94h/pneustyres/754019/38adb69fe12ef3a3e5842a62e1b35fd1.jpeg,magazineluiza,,True,16,0.0,Pneustyres,False,,,
Pneu Xbri 205/65 R15 94H Ecology,422.99,https://www.magazineluiza.com.br/pneu-xbri-205-65-r15-94h-ecology-xbri-tires/p/bed2522ac4/au/aupa/,2025-08-22 06:36:07,205/65R15,,,468.68,True,https://a-static.mlcdn.com.br/280x210/pneu-xbri-205-65-r15-94h-ecology-xbri-tires/autoloja/1866/2979f4044e4d3f299bb030d31dc7bcec.jpeg,magazineluiza,,True,0,0.0,Auto Loja,False,,,
Pneu Aro 15 Michelin 205/65 R15 94T LTX Force,743.95,https://www.magazineluiza.com.br/pneu-aro-15-michelin-205-65-r15-94t-ltx-force/p/akccb1hkaf/au/pine/,2025-08-22 06:36:11,205/65R15,michelin,ltx force,827.53,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-15-michelin-205-65-r15-94t-ltx-force/pneugreen/605/e089713efe7144f8c8c6ee5df67778a9.jpeg,magazineluiza,,True,3,7.0,Pneugreen,False,,,
Pneu 205/65 R15 Eco ATR Palio Adventure Doblò Blazer,414.27,https://www.magazineluiza.com.br/pneu-205-65-r15-eco-atr-palio-adventure-doblo-blazer-long-way/p/bb195d70j7/au/aupa/,2025-08-22 06:36:15,205/65R15,,,449.56,True,https://a-static.mlcdn.com.br/280x210/pneu-205-65-r15-eco-atr-palio-adventure-doblo-blazer-long-way/gwimports/bs9/24569287ad2d4e1eeb42de6de3290bab.jpeg,magazineluiza,,True,4,0.0,Gwim Ports,False,,,
Pneu ATR 205/65 R15 Eco Blazer Tucson Courier Doblò,413.53,https://www.magazineluiza.com.br/pneu-atr-205-65-r15-eco-blazer-tucson-courier-doblo-long-way/p/gaa52ef562/au/pine/,2025-08-22 06:36:18,205/65R15,,,448.75,True,https://a-static.mlcdn.com.br/280x210/pneu-atr-205-65-r15-eco-blazer-tucson-courier-doblo-long-way/gwimports/bs5/24569287ad2d4e1eeb42de6de3290bab.jpeg,magazineluiza,,True,4,0.0,Gwim Ports,False,,,
