titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 15 Michelin 205/65 R15 94T LTX Force,775.95,https://www.magazineluiza.com.br/pneu-aro-15-michelin-205-65-r15-94t-ltx-force/p/akccb1hkaf/au/pine/,2025-09-04 19:54:15,205/65R15,michelin,ltx force,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Michelin Aro 15 LTX Force 205/65R15 94T,839.88,https://www.magazineluiza.com.br/pneu-michelin-aro-15-ltx-force-205-65r15-94t/p/701897300/au/aupa/,2025-09-04 19:54:20,205/65R15,michelin,ltx force,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 205/65R15 Michelin LTX Force 94T,866.57,https://www.magazineluiza.com.br/pneu-205-65r15-michelin-ltx-force-94t/p/gggb7bd98e/au/pine/,2025-09-04 19:54:26,205/65R15,michelin,ltx force,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu michelin 205/65 r15 94t tl ltx force mi,809.9,https://www.magazineluiza.com.br/pneu-michelin-205-65-r15-94t-tl-ltx-force-mi/p/dg7j4970ah/au/pine/,2025-09-04 19:54:29,205/65R15,michelin,ltx force,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 15 Michelin 205/65 R15 94T LTX Force,775.95,https://www.magazineluiza.com.br/pneu-aro-15-michelin-205-65-r15-94t-ltx-force/p/akccb1hkaf/au/pine/,2025-09-04 19:54:54,205/65R15,michelin,ltx force,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Michelin Aro 15 LTX Force 205/65R15 94T,839.88,https://www.magazineluiza.com.br/pneu-michelin-aro-15-ltx-force-205-65r15-94t/p/701897300/au/aupa/,2025-09-04 19:54:58,205/65R15,michelin,ltx force,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 205/65R15 Michelin LTX Force 94T,866.57,https://www.magazineluiza.com.br/pneu-205-65r15-michelin-ltx-force-94t/p/gggb7bd98e/au/pine/,2025-09-04 19:55:00,205/65R15,michelin,ltx force,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu michelin 205/65 r15 94t tl ltx force mi,809.9,https://www.magazineluiza.com.br/pneu-michelin-205-65-r15-94t-tl-ltx-force-mi/p/dg7j4970ah/au/pine/,2025-09-04 19:55:03,205/65R15,michelin,ltx force,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu michelin 205/65 r15 94t tl ltx force mi,809.9,https://www.magazineluiza.com.br/pneu-michelin-205-65-r15-94t-tl-ltx-force-mi/p/dg7j4970ah/au/pine/,2025-09-04 19:55:09,205/65R15,michelin,ltx force,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 15 Michelin 205/65 R15 94T LTX Force,775.95,https://www.magazineluiza.com.br/pneu-aro-15-michelin-205-65-r15-94t-ltx-force/p/akccb1hkaf/au/pine/,2025-09-04 19:55:12,205/65R15,michelin,ltx force,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 15 Michelin 205/65 R15 94T LTX Force,775.95,https://www.magazineluiza.com.br/pneu-aro-15-michelin-205-65-r15-94t-ltx-force/p/akccb1hkaf/au/pine/,2025-09-04 19:55:36,205/65R15,michelin,ltx force,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Michelin Aro 15 LTX Force 205/65R15 94T,839.88,https://www.magazineluiza.com.br/pneu-michelin-aro-15-ltx-force-205-65r15-94t/p/701897300/au/aupa/,2025-09-04 19:55:41,205/65R15,michelin,ltx force,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 205/65R15 Michelin LTX Force 94T,866.57,https://www.magazineluiza.com.br/pneu-205-65r15-michelin-ltx-force-94t/p/gggb7bd98e/au/pine/,2025-09-04 19:55:44,205/65R15,michelin,ltx force,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu michelin 205/65 r15 94t tl ltx force mi,809.9,https://www.magazineluiza.com.br/pneu-michelin-205-65-r15-94t-tl-ltx-force-mi/p/dg7j4970ah/au/pine/,2025-09-04 19:55:46,205/65R15,michelin,ltx force,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu michelin 205/65 r15 94t tl ltx force mi,809.9,https://www.magazineluiza.com.br/pneu-michelin-205-65-r15-94t-tl-ltx-force-mi/p/dg7j4970ah/au/pine/,2025-09-04 19:55:52,205/65R15,michelin,ltx force,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 15 Michelin 205/65 R15 94T LTX Force,775.95,https://www.magazineluiza.com.br/pneu-aro-15-michelin-205-65-r15-94t-ltx-force/p/akccb1hkaf/au/pine/,2025-09-04 19:55:54,205/65R15,michelin,ltx force,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
