titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 205/65R16 Firestone Destination LE3 95H Aro 16,709.01,https://www.magazineluiza.com.br/pneu-205-65r16-firestone-destination-le3-95h-aro-16/p/aj1g27eb4j/au/aupa/,2025-09-11 09:42:24,205/65R16,firestone,destination le3,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Firestone Aro 16 205/65R16 Destination LE3 95H,947.65,https://www.magazineluiza.com.br/pneu-firestone-aro-16-205-65r16-destination-le3-95h/p/ce7jgdg5e9/au/aupa/,2025-09-11 09:42:31,205/65R16,firestone,destination le3,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Firestone Aro 16 Destination LE3 205/65R16 95H,634.1,https://www.magazineluiza.com.br/pneu-firestone-aro-16-destination-le3-205-65r16-95h/p/fa441k62aa/au/aupa/,2025-09-11 09:42:37,205/65R16,firestone,destination le3,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Creta Aircross 205/65R16 95H Tubeless Destination LE3 Firestone,735.35,https://www.magazineluiza.com.br/pneu-creta-aircross-205-65r16-95h-tubeless-destination-le3-firestone-firestone-ltr/p/ba74f024k3/au/pine/,2025-09-11 09:42:42,205/65R16,firestone,destination le3,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Creta Aircross 205/65R16 95H Tubeless Destination LE3 Firestone + Bico Valvula Tr414,740.49,https://www.magazineluiza.com.br/pneu-creta-aircross-205-65r16-95h-tubeless-destination-le3-firestone-bico-valvula-tr414-firestone-ltr/p/cke57146jb/au/pine/,2025-09-11 09:42:45,205/65R16,firestone,destination le3,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 205/65R16 Firestone Destination LE3 95H Aro 16,709.01,https://www.magazineluiza.com.br/pneu-205-65r16-firestone-destination-le3-95h-aro-16/p/aj1g27eb4j/au/aupa/,2025-09-11 09:43:38,205/65R16,firestone,destination le3,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Firestone Aro 16 205/65R16 Destination LE3 95H,947.65,https://www.magazineluiza.com.br/pneu-firestone-aro-16-205-65r16-destination-le3-95h/p/ce7jgdg5e9/au/aupa/,2025-09-11 09:43:46,205/65R16,firestone,destination le3,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Firestone Aro 16 Destination LE3 205/65R16 95H,634.1,https://www.magazineluiza.com.br/pneu-firestone-aro-16-destination-le3-205-65r16-95h/p/fa441k62aa/au/aupa/,2025-09-11 09:43:48,205/65R16,firestone,destination le3,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Creta Aircross 205/65R16 95H Tubeless Destination LE3 Firestone,735.35,https://www.magazineluiza.com.br/pneu-creta-aircross-205-65r16-95h-tubeless-destination-le3-firestone-firestone-ltr/p/ba74f024k3/au/pine/,2025-09-11 09:43:52,205/65R16,firestone,destination le3,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Creta Aircross 205/65R16 95H Tubeless Destination LE3 Firestone + Bico Valvula Tr414,740.49,https://www.magazineluiza.com.br/pneu-creta-aircross-205-65r16-95h-tubeless-destination-le3-firestone-bico-valvula-tr414-firestone-ltr/p/cke57146jb/au/pine/,2025-09-11 09:43:54,205/65R16,firestone,destination le3,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Creta Aircross 205/65R16 95H Tubeless Destination LE3 Firestone + Bico Valvula Tr414,740.49,https://www.magazineluiza.com.br/pneu-creta-aircross-205-65r16-95h-tubeless-destination-le3-firestone-bico-valvula-tr414-firestone-ltr/p/cke57146jb/au/pine/,2025-09-11 09:44:28,205/65R16,firestone,destination le3,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 205/65R16 Firestone Destination LE3 95H Aro 16,709.01,https://www.magazineluiza.com.br/pneu-205-65r16-firestone-destination-le3-95h-aro-16/p/aj1g27eb4j/au/aupa/,2025-09-11 09:44:50,205/65R16,firestone,destination le3,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Firestone Aro 16 205/65R16 Destination LE3 95H,947.65,https://www.magazineluiza.com.br/pneu-firestone-aro-16-205-65r16-destination-le3-95h/p/ce7jgdg5e9/au/aupa/,2025-09-11 09:44:57,205/65R16,firestone,destination le3,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Firestone Aro 16 Destination LE3 205/65R16 95H,634.1,https://www.magazineluiza.com.br/pneu-firestone-aro-16-destination-le3-205-65r16-95h/p/fa441k62aa/au/aupa/,2025-09-11 09:44:59,205/65R16,firestone,destination le3,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Creta Aircross 205/65R16 95H Tubeless Destination LE3 Firestone,735.35,https://www.magazineluiza.com.br/pneu-creta-aircross-205-65r16-95h-tubeless-destination-le3-firestone-firestone-ltr/p/ba74f024k3/au/pine/,2025-09-11 09:45:03,205/65R16,firestone,destination le3,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Creta Aircross 205/65R16 95H Tubeless Destination LE3 Firestone + Bico Valvula Tr414,740.49,https://www.magazineluiza.com.br/pneu-creta-aircross-205-65r16-95h-tubeless-destination-le3-firestone-bico-valvula-tr414-firestone-ltr/p/cke57146jb/au/pine/,2025-09-11 09:45:05,205/65R16,firestone,destination le3,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Creta Aircross 205/65R16 95H Tubeless Destination LE3 Firestone + Bico Valvula Tr414,740.49,https://www.magazineluiza.com.br/pneu-creta-aircross-205-65r16-95h-tubeless-destination-le3-firestone-bico-valvula-tr414-firestone-ltr/p/cke57146jb/au/pine/,2025-09-11 09:45:38,205/65R16,firestone,destination le3,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
