titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 205/65R16 Pirelli Scorpion KS 95H Aro 16,639.4,https://www.magazineluiza.com.br/pneu-205-65r16-pirelli-scorpion-ks-95h-aro-16/p/gg941f748a/au/aupa/,2025-09-04 21:47:58,205/65R16,pirelli,scorpion ks,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Pirelli Aro 16 Scorpion KS 205/65R16 95H,664.88,https://www.magazineluiza.com.br/pneu-pirelli-aro-16-scorpion-ks-205-65r16-95h/p/jg907k94c1/au/aupa/,2025-09-04 21:48:03,205/65R16,pirelli,scorpion ks,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 16 Pirelli Scorpion (Ks) 205/65R16 95H,616.46,https://www.magazineluiza.com.br/pneu-aro-16-pirelli-scorpion-ks-205-65r16-95h/p/dc0c6314bc/au/aupa/,2025-09-04 21:48:05,205/65R16,pirelli,scorpion,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 205/65R16 Pirelli Scorpion KS 95H Aro 16,639.4,https://www.magazineluiza.com.br/pneu-205-65r16-pirelli-scorpion-ks-95h-aro-16/p/gg941f748a/au/aupa/,2025-09-04 21:49:04,205/65R16,pirelli,scorpion ks,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Pirelli Aro 16 Scorpion KS 205/65R16 95H,664.88,https://www.magazineluiza.com.br/pneu-pirelli-aro-16-scorpion-ks-205-65r16-95h/p/jg907k94c1/au/aupa/,2025-09-04 21:49:08,205/65R16,pirelli,scorpion ks,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 16 Pirelli Scorpion (Ks) 205/65R16 95H,616.46,https://www.magazineluiza.com.br/pneu-aro-16-pirelli-scorpion-ks-205-65r16-95h/p/dc0c6314bc/au/aupa/,2025-09-04 21:49:10,205/65R16,pirelli,scorpion,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 16 Pirelli Scorpion (Ks) 205/65R16 95H,616.46,https://www.magazineluiza.com.br/pneu-aro-16-pirelli-scorpion-ks-205-65r16-95h/p/dc0c6314bc/au/aupa/,2025-09-04 21:49:39,205/65R16,pirelli,scorpion,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Pirelli Aro 16 Scorpion KS 205/65R16 95H,664.88,https://www.magazineluiza.com.br/pneu-pirelli-aro-16-scorpion-ks-205-65r16-95h/p/jg907k94c1/au/aupa/,2025-09-04 21:49:41,205/65R16,pirelli,scorpion ks,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 205/65R16 Pirelli Scorpion KS 95H Aro 16,639.4,https://www.magazineluiza.com.br/pneu-205-65r16-pirelli-scorpion-ks-95h-aro-16/p/gg941f748a/au/aupa/,2025-09-04 21:50:22,205/65R16,pirelli,scorpion ks,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Pirelli Aro 16 Scorpion KS 205/65R16 95H,664.88,https://www.magazineluiza.com.br/pneu-pirelli-aro-16-scorpion-ks-205-65r16-95h/p/jg907k94c1/au/aupa/,2025-09-04 21:50:26,205/65R16,pirelli,scorpion ks,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 16 Pirelli Scorpion (Ks) 205/65R16 95H,616.46,https://www.magazineluiza.com.br/pneu-aro-16-pirelli-scorpion-ks-205-65r16-95h/p/dc0c6314bc/au/aupa/,2025-09-04 21:50:28,205/65R16,pirelli,scorpion,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 16 Pirelli Scorpion (Ks) 205/65R16 95H,616.46,https://www.magazineluiza.com.br/pneu-aro-16-pirelli-scorpion-ks-205-65r16-95h/p/dc0c6314bc/au/aupa/,2025-09-04 21:50:55,205/65R16,pirelli,scorpion,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Pirelli Aro 16 Scorpion KS 205/65R16 95H,664.88,https://www.magazineluiza.com.br/pneu-pirelli-aro-16-scorpion-ks-205-65r16-95h/p/jg907k94c1/au/aupa/,2025-09-04 21:50:57,205/65R16,pirelli,scorpion ks,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
