titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aptany Aro 15 205/70 R15 96H RU006,443.69,https://www.magazineluiza.com.br/pneu-aptany-aro-15-205-70-r15-96h-ru006/p/cdddhbbc7a/au/aupa/,2025-08-22 06:15:14,205/70R15,,,491.62,True,https://a-static.mlcdn.com.br/280x210/pneu-aptany-aro-15-205-70-r15-96h-ru006/autoloja/721p/19278f0c628a2bfc2a883f8447e6119c.jpeg,magazineluiza,,True,1,0.0,Auto Loja,False,,,
Pneu Xbri Aro 15 205/70 R15 96H Ecology,490.03,https://www.magazineluiza.com.br/pneu-xbri-aro-15-205-70-r15-96h-ecology/p/fe8aa93c9a/au/aupa/,2025-08-22 06:15:18,205/70R15,,,542.97,True,https://a-static.mlcdn.com.br/280x210/pneu-xbri-aro-15-205-70-r15-96h-ecology/autoloja/1363p/d16d70c1d0f48bf8c81b317842613865.jpeg,magazineluiza,,True,0,0.0,Auto Loja,False,,,
Pneu Durable Aro 15 205/70 R15 96T Rebok A/T,460.74,https://www.magazineluiza.com.br/pneu-durable-aro-15-205-70-r15-96t-rebok-a-t/p/bkebj4g6jf/au/pine/,2025-08-22 06:15:21,205/70R15,,,567.01,True,https://a-static.mlcdn.com.br/280x210/pneu-durable-aro-15-205-70-r15-96t-rebok-a-t/autoloja/963p/ec2af981b73684a8156a103ca73290f8.jpeg,magazineluiza,,True,0,0.0,Auto Loja,False,,,
"Pneu Aro 15"" 205/70 R15 96T ROADCRUZA RA1100 AT",873.0,https://www.magazineluiza.com.br/pneu-aro-15-205-70-r15-96t-roadcruza-ra1100-at-road-cruza/p/ggfak9cagj/au/aupa/,2025-08-22 06:15:24,205/70R15,,,900001090.0,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-15-205-70-r15-96t-roadcruza-ra1100-at-road-cruza/autocentertrevo/fbc28c2a3d9211f0a78842010a480899/e2030a9d5976faa47c6a83b600d1702d.jpeg,magazineluiza,,True,0,0.0,Auto Center Trevo,False,,,
Pneu Aro 15 Xbri 205/70 R15 96H Fastway E1,454.78,https://www.magazineluiza.com.br/pneu-aro-15-xbri-205-70-r15-96h-fastway-e1/p/kk01debd1k/au/aupa/,2025-08-22 06:15:26,205/70R15,,,562.08,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-15-xbri-205-70-r15-96h-fastway-e1/pneugreen/1522/e5667d8e6f5150478c39004eeb2f027e.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Aro 15 Xbri 205/70 R15 96H Ecology,501.41,https://www.magazineluiza.com.br/pneu-aro-15-xbri-205-70-r15-96h-ecology/p/fh40b42ej8/au/aupa/,2025-08-22 06:15:29,205/70R15,,,50141771.63,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-15-xbri-205-70-r15-96h-ecology/pneugreen/1330/42313aa793657064a48aeb967e47b0cf.jpeg,magazineluiza,,True,17,3.0,Pneugreen,False,,,
Pneu Aro 15 Roadcruza 205/70 R15 96T RA1100,582.9,https://www.magazineluiza.com.br/pneu-aro-15-roadcruza-205-70-r15-96t-ra1100/p/ef3762436a/au/aupa/,2025-08-22 06:15:34,205/70R15,,,670.0,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-15-roadcruza-205-70-r15-96t-ra1100/pneugreen/2423/d9b68c81a3eca38a628257096f6f4371.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu aro 15 205/70 r15 continental conticrosscontact at 96t,929.7,https://www.magazineluiza.com.br/pneu-aro-15-205-70-r15-continental-conticrosscontact-at-96t/p/feceh1jf6h/au/aupa/,2025-08-22 06:15:37,205/70R15,continental,,1056.89,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-15-205-70-r15-continental-conticrosscontact-at-96t/burajirupneus/929p/bd86a08eba513252671bfb0469c1830c.jpeg,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
Pneu Aro 15 XBRI 205/70 R15 96H Forza A/T E1,538.63,https://www.magazineluiza.com.br/pneu-aro-15-xbri-205-70-r15-96h-forza-a-t-e1/p/bj05a8aj48/au/aupa/,2025-08-22 06:15:40,205/70R15,,,53863776.95,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-15-xbri-205-70-r15-96h-forza-a-t-e1/pneugreen/1704/b510a98231f56f40087e0739e6b3b57a.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Aro 15 Chengshan 205/70 R15 96H CSC-302 AT,490.61,https://www.magazineluiza.com.br/pneu-aro-15-chengshan-205-70-r15-96h-csc-302-at/p/ae7179c0dh/au/aupa/,2025-08-22 06:15:42,205/70R15,,,507.53,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-15-chengshan-205-70-r15-96h-csc-302-at/pneugreen/879/77540d5cede484bad40a551d9bd157c2.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
