titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 205/50 R17 Eco Cruze Focus A3 C4 Lounge 308,420.45,https://www.magazineluiza.com.br/pneu-205-50-r17-eco-cruze-focus-a3-c4-lounge-308-long-way/p/ddc8079fd3/au/pine/,2025-08-29 06:23:23,205/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aptany Aro 17 205/50 R17 93/XL W RA301,552.28,https://www.magazineluiza.com.br/pneu-aptany-aro-17-205-50-r17-93-xl-w-ra301/p/eh75kcjf17/au/aupa/,2025-08-29 06:23:36,205/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/50 R17 Eco Cruze Focus 308 A3 C4 Lounge,420.96,https://www.magazineluiza.com.br/pneu-205-50-r17-eco-cruze-focus-308-a3-c4-lounge-long-way/p/ec3b2kge50/au/pine/,2025-08-29 06:23:46,205/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205 50 R17 93w Spfm800 Xl Dunlop Polo Punto Civic Impreza Ecosport Pt Cruiser 417032,664.6,https://www.magazineluiza.com.br/pneu-205-50-r17-93w-spfm800-xl-dunlop-polo-punto-civic-impreza-ecosport-pt-cruiser-417032/p/jjhbc4aedd/au/pine/,2025-08-29 06:23:57,205/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Michelin 205/50 R17 93W XL TL Primacy 4+,1042.31,https://www.magazineluiza.com.br/pneu-aro-17-michelin-205-50-r17-93w-xl-tl-primacy-4/p/af8h4b19d0/au/aupa/,2025-08-29 06:24:08,205/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Pirelli 205/50 R17 89V Cinturato P7,963.56,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-205-50-r17-89v-cinturato-p7/p/bh1733d988/au/aupa/,2025-08-29 06:24:19,205/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Sailun 205/50 R17 93W Xl Atrezzo Zsr,535.39,https://www.magazineluiza.com.br/pneu-sailun-205-50-r17-93w-xl-atrezzo-zsr-sailun-tires/p/jgb2cdg733/au/pine/,2025-08-29 06:24:29,205/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Bridgestone 205/50 R17 93W Turanza T005,975.27,https://www.magazineluiza.com.br/pneu-aro-17-bridgestone-205-50-r17-93w-turanza-t005/p/gcf7e67c5e/au/pine/,2025-08-29 06:24:39,205/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 205/50 r17 dunlop spfm800 93w,936.75,https://www.magazineluiza.com.br/pneu-aro-17-205-50-r17-dunlop-spfm800-93w/p/cdg197ek6h/au/pine/,2025-08-29 06:24:50,205/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Bridgestone 205/50 R17 89V Turanza T005,938.84,https://www.magazineluiza.com.br/pneu-aro-17-bridgestone-205-50-r17-89v-turanza-t005/p/hkgad75248/au/aupa/,2025-08-29 06:25:02,205/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 17 205/50 R17 DS2 93W XL,878.32,https://www.magazineluiza.com.br/pneu-delinte-aro-17-205-50-r17-ds2-93w-xl/p/eh99hg1e9d/au/pine/,2025-08-29 06:25:13,205/50R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
