titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Dunlop Aro 16 205/55R16 91H Enasave EC300+,585.88,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-205-55r16-91h-enasave-ec300/p/gj22fe537f/au/aupa/,2025-08-22 09:36:39,205/55R16,dunlop,enasave ec300,61672877.09,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-aro-16-205-55r16-91h-enasave-ec300/bmpneuserodas/210323/cdc86b65ed217b21796e4500d3bebd6a.jpeg,magazineluiza,,True,0,0.0,Bm Pneus E Rodas,False,,,
Pneu Dunlop Aro 16 205/55R16 Enasave EC300 91V,606.37,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-205-55r16-enasave-ec300-91v/p/hf9d5ckefg/au/pine/,2025-08-22 09:36:42,205/55R16,dunlop,enasave ec300,606371060.64,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-aro-16-205-55r16-enasave-ec300-91v/showpneuserodas/novo515/b5fb66990f5e71e3b45ef2ec7b70bad5.jpeg,magazineluiza,,True,0,0.0,Show Pneus e Rodas,False,,,
Pneu aro 16 205/55 r16 dunlop enasave ec300+ 91h,623.38,https://www.magazineluiza.com.br/pneu-aro-16-205-55-r16-dunlop-enasave-ec300-91h/p/chb1jag43b/au/aupa/,2025-08-22 09:36:45,205/55R16,dunlop,enasave ec300,687.28,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-205-55-r16-dunlop-enasave-ec300-91h/burajirupneus/649p/e45d2f43b3fe651727ee3ca799fcfb25.jpeg,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
Pneu Dunlop Aro 16 205/55R16 91H Enasave EC300+,580.25,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-205-55r16-91h-enasave-ec300/p/gh06aeb672/au/aupa/,2025-08-22 09:36:50,205/55R16,dunlop,enasave ec300,610796101.8,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-aro-16-205-55r16-91h-enasave-ec300/sidrodas2/210323/cdc86b65ed217b21796e4500d3bebd6a.jpeg,magazineluiza,,True,0,0.0,Sidrodas,False,,,
Pneu Dunlop Aro 16 205/55R16 Enasave EC300+ 91V,723.04,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-205-55r16-enasave-ec300-91v/p/fd6668587f/au/pine/,2025-08-22 09:37:00,205/55R16,dunlop,enasave ec300,761091076.11,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-aro-16-205-55r16-enasave-ec300-91v/lemanspneusstore/2055516du4/26ac1ca8b1f1d4c8cb96ec25334661fd.jpeg,magazineluiza,,True,2,0.0,Lemans Pneus Store,False,,,
Pneu 205 55 R16 91h Enasave Ec300 Dev Dunlop 416911,502.57,https://www.magazineluiza.com.br/pneu-205-55-r16-91h-enasave-ec300-dev-dunlop-416911/p/fa4kd915kb/au/pine/,2025-08-22 09:37:03,205/55R16,dunlop,enasave ec300,50257771.8,True,https://a-static.mlcdn.com.br/280x210/pneu-205-55-r16-91h-enasave-ec300-dev-dunlop-416911/pneusonline/10472129-343-416911/f85e7fb6ccb1ae16f25825b706897641.jpeg,magazineluiza,,True,0,0.0,Pneus Online,False,,,
Pneu Dunlop 205/55 R16 91H ENASAVE EC300+,652.57,https://www.magazineluiza.com.br/pneu-dunlop-205-55-r16-91h-enasave-ec300/p/hbb6gg5861/au/aupa/,2025-08-22 09:37:07,205/55R16,dunlop,enasave ec300,652571065.26,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-205-55-r16-91h-enasave-ec300/showpneuserodas/novo106/443418df6c3861496a8c1ef623622687.jpeg,magazineluiza,,True,0,0.0,Show Pneus e Rodas,False,,,
Pneu Dunlop Aro 16 205/55R16 Enasave EC300 91H,689.99,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-205-55r16-enasave-ec300-91h/p/fa1754eb3e/au/aupa/,2025-08-22 09:37:17,205/55R16,dunlop,enasave ec300,726317103.76,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-aro-16-205-55r16-enasave-ec300-91h/webpneus/35568/26ac1ca8b1f1d4c8cb96ec25334661fd.jpeg,magazineluiza,,True,0,0.0,Web Pneus,False,,,
Pneu Dunlop Aro 16 205/55R16 91H Enasave EC300+,640.44,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-205-55r16-91h-enasave-ec300/p/ja28669jja/au/aupa/,2025-08-22 09:37:32,205/55R16,dunlop,enasave ec300,64044971.16,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-aro-16-205-55r16-91h-enasave-ec300/sidrodas/210323/cdc86b65ed217b21796e4500d3bebd6a.jpeg,magazineluiza,,True,0,0.0,Sid Rodas,False,,,
Pneu Dunlop Aro 16 205/55R16 91H Enasave EC300+,585.88,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-205-55r16-91h-enasave-ec300/p/gj22fe537f/au/aupa/,2025-08-22 09:38:00,205/55R16,dunlop,enasave ec300,61672877.09,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-aro-16-205-55r16-91h-enasave-ec300/bmpneuserodas/210323/cdc86b65ed217b21796e4500d3bebd6a.jpeg,magazineluiza,,True,0,0.0,Bm Pneus E Rodas,False,,,
