titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 16” 205/55R16 Goodyear 91V,429.9,https://www.magazineluiza.com.br/pneu-aro-16-205-55r16-goodyear-91v/p/235250300/au/pine/,2025-08-23 10:14:12,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 16"" 205/55R16 Sunset 91V Enzo G1",329.9,https://www.magazineluiza.com.br/pneu-aro-16-205-55r16-sunset-91v-enzo-g1/p/240041400/au/pine/,2025-08-23 10:14:24,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Michelin Aro 16 Primacy 4 205/55R16 91V,566.64,https://www.magazineluiza.com.br/pneu-michelin-aro-16-primacy-4-205-55r16-91v/p/ja67g65a74/au/aupa/,2025-08-23 10:14:34,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16” 205/55R16 Goodyear 91V Direction 2 Sport 2,459.9,https://www.magazineluiza.com.br/pneu-aro-16-205-55r16-goodyear-91v-direction-2-sport-2/p/236189200/au/pine/,2025-08-23 10:14:45,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 16 Eagle Sport 2 205/55R16 91V,477.3,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-eagle-sport-2-205-55r16-91v/p/ek5ac9jdjg/au/aupa/,2025-08-23 10:14:56,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16” 205/55R16 Goodyear 91V Direction 2,959.8,https://www.magazineluiza.com.br/pneu-aro-16-205-55r16-goodyear-91v-direction-2-2-unidades/p/229882600/au/aupa/,2025-08-23 10:15:08,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16” Continental 205/55R16 91V PowerContact 2,489.9,https://www.magazineluiza.com.br/pneu-aro-16-continental-205-55r16-91v-powercontact-2/p/220168100/au/aupa/,2025-08-23 10:15:18,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16” Goodyear 205/55R16 91V,465.41,https://www.magazineluiza.com.br/pneu-aro-16-goodyear-205-55r16-91v-direction-sport/p/218807100/au/aupa/,2025-08-23 10:15:28,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16” 205/55R16 Goodyear 91V Kelly EDGE,503.49,https://www.magazineluiza.com.br/pneu-aro-16-205-55r16-goodyear-91v-kelly-edge-sport-2/p/237241600/au/aupa/,2025-08-23 10:15:40,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Xbri 205/55 R16 91V Fastway C2,331.55,https://www.magazineluiza.com.br/pneu-aro-16-xbri-205-55-r16-91v-fastway-c2/p/gbhj9388g1/au/aupa/,2025-08-23 10:15:52,205/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
