titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Goodyear Aro 16 Eagle Sport 2 205/55R16 91V,477.3,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-eagle-sport-2-205-55r16-91v/p/ek5ac9jdjg/au/aupa/,2025-08-23 17:37:26,205/55R16,goodyear,eagle,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Goodyear 205/55 R16 91V SL Eagle Sport 2,496.25,https://www.magazineluiza.com.br/pneu-aro-16-goodyear-205-55-r16-91v-sl-eagle-sport-2/p/jdcg73888j/au/aupa/,2025-08-23 17:37:37,205/55R16,goodyear,eagle,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16” 205/55R16 Goodyear 91V - Eagle Sport 2,629.99,https://www.magazineluiza.com.br/pneu-aro-16-205-55r16-goodyear-91v-eagle-sport-2/p/ad591gg394/au/aupa/,2025-08-23 17:37:49,205/55R16,goodyear,eagle,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205 55R16 Eagle Sport Goodyear 2 91V SL,560.41,https://www.magazineluiza.com.br/pneu-205-55r16-eagle-sport-goodyear-2-91v-sl/p/ke95844j82/au/aupa/,2025-08-23 17:38:00,205/55R16,goodyear,eagle,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/55R16 Goodyear Eagle Sport 2 91V Aro 16,545.03,https://www.magazineluiza.com.br/pneu-205-55r16-goodyear-eagle-sport-2-91v-aro-16/p/hk51f4ea1j/au/aupa/,2025-08-23 17:38:10,205/55R16,goodyear,eagle,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu goodyear aro 16 eagle sport 2 205/55r16 91v sl,529.9,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-eagle-sport-2-205-55r16-91v-sl-goodyear-do-brasil/p/fj385a43c5/au/aupa/,2025-08-23 17:38:21,205/55R16,goodyear,eagle,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu goodyear aro 16 eagle sport 2 205/55r16 91v sl,529.9,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-eagle-sport-2-205-55r16-91v-sl-goodyear-do-brasil/p/af0267c5g7/au/aupa/,2025-08-23 17:38:31,205/55R16,goodyear,eagle,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/55R16 Goodyear Eagle Sport 2 91V,584.18,https://www.magazineluiza.com.br/pneu-205-55r16-goodyear-eagle-sport-2-91v/p/dbdjg1ece5/au/aupa/,2025-08-23 17:38:44,205/55R16,goodyear,eagle,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/55R16 Goodyear Eagle Sport 2 91V,652.73,https://www.magazineluiza.com.br/pneu-205-55r16-goodyear-eagle-sport-2-91v/p/cj2eb0e1c3/au/aupa/,2025-08-23 17:38:54,205/55R16,goodyear,eagle,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 16 Eagle Sport 2 205/55R16 91V,477.3,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-eagle-sport-2-205-55r16-91v/p/ek5ac9jdjg/au/aupa/,2025-08-23 17:39:30,205/55R16,goodyear,eagle,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Goodyear 205/55 R16 91V SL Eagle Sport 2,496.25,https://www.magazineluiza.com.br/pneu-aro-16-goodyear-205-55-r16-91v-sl-eagle-sport-2/p/jdcg73888j/au/aupa/,2025-08-23 17:39:41,205/55R16,goodyear,eagle,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16” 205/55R16 Goodyear 91V - Eagle Sport 2,629.99,https://www.magazineluiza.com.br/pneu-aro-16-205-55r16-goodyear-91v-eagle-sport-2/p/ad591gg394/au/aupa/,2025-08-23 17:39:54,205/55R16,goodyear,eagle,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205 55R16 Eagle Sport Goodyear 2 91V SL,560.41,https://www.magazineluiza.com.br/pneu-205-55r16-eagle-sport-goodyear-2-91v-sl/p/ke95844j82/au/aupa/,2025-08-23 17:40:05,205/55R16,goodyear,eagle,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/55R16 Goodyear Eagle Sport 2 91V Aro 16,545.03,https://www.magazineluiza.com.br/pneu-205-55r16-goodyear-eagle-sport-2-91v-aro-16/p/hk51f4ea1j/au/aupa/,2025-08-23 17:40:17,205/55R16,goodyear,eagle,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu goodyear aro 16 eagle sport 2 205/55r16 91v sl,529.9,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-eagle-sport-2-205-55r16-91v-sl-goodyear-do-brasil/p/fj385a43c5/au/aupa/,2025-08-23 17:40:29,205/55R16,goodyear,eagle,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
