titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Compasal aro 16 205/60r16 Blazer HP 92V,512.73,https://www.magazineluiza.com.br/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/p/ejfe30de63/au/aupa/,2025-08-22 07:47:20,205/60R16,,,539725107.94,True,https://a-static.mlcdn.com.br/280x210/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/sidrodas2/33750/3878dd716e08da8297168fd48c07666c.jpeg,magazineluiza,,True,0,0.0,Sidrodas,False,,,
Pneu Compasal aro 16 205/60r16 Blazer HP 92V,517.71,https://www.magazineluiza.com.br/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/p/gad2778372/au/aupa/,2025-08-22 07:47:23,205/60R16,,,54496777.85,True,https://a-static.mlcdn.com.br/280x210/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/bmpneuserodas/33750/3878dd716e08da8297168fd48c07666c.jpeg,magazineluiza,,True,0,0.0,Bm Pneus E Rodas,False,,,
Pneu Compasal aro 16 205/60r16 Blazer HP 92V,565.92,https://www.magazineluiza.com.br/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/p/cb82ecj2j2/au/aupa/,2025-08-22 07:47:26,205/60R16,,,56592870.74,True,https://a-static.mlcdn.com.br/280x210/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/sidrodas/33750/3878dd716e08da8297168fd48c07666c.jpeg,magazineluiza,,True,0,0.0,Sid Rodas,False,,,
Pneu Roadking Aro 16 205/60R16 Argos HP 92V,608.07,https://www.magazineluiza.com.br/pneu-roadking-aro-16-205-60r16-argos-hp-92v/p/ac6a0jfajg/au/pine/,2025-08-22 07:47:45,205/60R16,,,640076106.68,True,https://a-static.mlcdn.com.br/280x210/pneu-roadking-aro-16-205-60r16-argos-hp-92v/webpneus/32223/44e2cb581aa698358071c760586e45bd.jpeg,magazineluiza,,True,0,0.0,Web Pneus,False,,,
Pneu Compasal aro 16 205/60r16 Blazer HP 92V,512.73,https://www.magazineluiza.com.br/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/p/ejfe30de63/au/aupa/,2025-08-22 07:48:17,205/60R16,,,539725107.94,True,https://a-static.mlcdn.com.br/280x210/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/sidrodas2/33750/3878dd716e08da8297168fd48c07666c.jpeg,magazineluiza,,True,0,0.0,Sidrodas,False,,,
Pneu Compasal aro 16 205/60r16 Blazer HP 92V,517.71,https://www.magazineluiza.com.br/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/p/gad2778372/au/aupa/,2025-08-22 07:48:19,205/60R16,,,54496777.85,True,https://a-static.mlcdn.com.br/280x210/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/bmpneuserodas/33750/3878dd716e08da8297168fd48c07666c.jpeg,magazineluiza,,True,0,0.0,Bm Pneus E Rodas,False,,,
Pneu Compasal aro 16 205/60r16 Blazer HP 92V,565.92,https://www.magazineluiza.com.br/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/p/cb82ecj2j2/au/aupa/,2025-08-22 07:48:21,205/60R16,,,56592870.74,True,https://a-static.mlcdn.com.br/280x210/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/sidrodas/33750/3878dd716e08da8297168fd48c07666c.jpeg,magazineluiza,,True,0,0.0,Sid Rodas,False,,,
Pneu Roadking Aro 16 205/60R16 Argos HP 92V,608.07,https://www.magazineluiza.com.br/pneu-roadking-aro-16-205-60r16-argos-hp-92v/p/ac6a0jfajg/au/pine/,2025-08-22 07:48:38,205/60R16,,,640076106.68,True,https://a-static.mlcdn.com.br/280x210/pneu-roadking-aro-16-205-60r16-argos-hp-92v/webpneus/32223/44e2cb581aa698358071c760586e45bd.jpeg,magazineluiza,,True,0,0.0,Web Pneus,False,,,
Pneu Compasal aro 16 205/60r16 Blazer HP 92V,565.92,https://www.magazineluiza.com.br/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/p/cb82ecj2j2/au/aupa/?seller_id=sidrodas,2025-08-22 07:48:46,205/60R16,,,629572129.98,True,https://a-static.mlcdn.com.br/280x210/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/sidrodas/33750/3878dd716e08da8297168fd48c07666c.jpeg,magazineluiza,,True,0,0.0,Sid Rodas,False,,,
Pneu Compasal aro 16 205/60r16 Blazer HP 92V,517.71,https://www.magazineluiza.com.br/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/p/gad2778372/au/aupa/?seller_id=bmpneuserodas,2025-08-22 07:48:49,205/60R16,,,544.96,True,https://a-static.mlcdn.com.br/280x210/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/bmpneuserodas/33750/3878dd716e08da8297168fd48c07666c.jpeg,magazineluiza,,True,0,0.0,Bm Pneus E Rodas,False,,,
Pneu Compasal aro 16 205/60r16 Blazer HP 92V,512.73,https://www.magazineluiza.com.br/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/p/ejfe30de63/au/aupa/?seller_id=sidrodas2,2025-08-22 07:48:53,205/60R16,,,539.72,True,https://a-static.mlcdn.com.br/280x210/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/sidrodas2/33750/3878dd716e08da8297168fd48c07666c.jpeg,magazineluiza,,True,0,0.0,Sidrodas,False,,,
Pneu Continental Aro 16 205/60r16 92H PowerContact 2,631.9,https://www.magazineluiza.com.br/pneu-continental-aro-16-205-60r16-92h-powercontact-2/p/abc25jc5je/au/pine/?seller_id=lojahipervarejo,2025-08-22 07:49:00,205/60R16,continental,powercontact,826.01,True,https://a-static.mlcdn.com.br/280x210/pneu-continental-aro-16-205-60r16-92h-powercontact-2/lojahipervarejo/4f614a02e3dd4fa905db53c217484ef1/c3a2fb11da1e0b04f7f2e90ad6d3a756.jpeg,magazineluiza,,True,109,8.0,Hipervarejo,False,,,
Pneu Compasal aro 16 205/60r16 Blazer HP 92V,512.73,https://www.magazineluiza.com.br/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/p/ejfe30de63/au/aupa/,2025-08-22 07:49:24,205/60R16,,,539725107.94,True,https://a-static.mlcdn.com.br/280x210/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/sidrodas2/33750/3878dd716e08da8297168fd48c07666c.jpeg,magazineluiza,,True,0,0.0,Sidrodas,False,,,
Pneu Compasal aro 16 205/60r16 Blazer HP 92V,517.71,https://www.magazineluiza.com.br/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/p/gad2778372/au/aupa/,2025-08-22 07:49:26,205/60R16,,,54496777.85,True,https://a-static.mlcdn.com.br/280x210/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/bmpneuserodas/33750/3878dd716e08da8297168fd48c07666c.jpeg,magazineluiza,,True,0,0.0,Bm Pneus E Rodas,False,,,
Pneu Compasal aro 16 205/60r16 Blazer HP 92V,565.92,https://www.magazineluiza.com.br/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/p/cb82ecj2j2/au/aupa/,2025-08-22 07:49:27,205/60R16,,,56592870.74,True,https://a-static.mlcdn.com.br/280x210/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/sidrodas/33750/3878dd716e08da8297168fd48c07666c.jpeg,magazineluiza,,True,0,0.0,Sid Rodas,False,,,
Pneu Roadking Aro 16 205/60R16 Argos HP 92V,608.07,https://www.magazineluiza.com.br/pneu-roadking-aro-16-205-60r16-argos-hp-92v/p/ac6a0jfajg/au/pine/,2025-08-22 07:49:44,205/60R16,,,640076106.68,True,https://a-static.mlcdn.com.br/280x210/pneu-roadking-aro-16-205-60r16-argos-hp-92v/webpneus/32223/44e2cb581aa698358071c760586e45bd.jpeg,magazineluiza,,True,0,0.0,Web Pneus,False,,,
Pneu Compasal aro 16 205/60r16 Blazer HP 92V,517.71,https://www.magazineluiza.com.br/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/p/gad2778372/au/aupa/?seller_id=bmpneuserodas,2025-08-22 07:49:50,205/60R16,,,544.96,True,https://a-static.mlcdn.com.br/280x210/pneu-compasal-aro-16-205-60r16-blazer-hp-92v/bmpneuserodas/33750/3878dd716e08da8297168fd48c07666c.jpeg,magazineluiza,,True,0,0.0,Bm Pneus E Rodas,False,,,
