titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
"Pneu Aro 16"" 205/60R16 Goodyear 92H Wrangler Territory HT",659.9,https://www.magazineluiza.com.br/pneu-aro-16-205-60r16-goodyear-92h-wrangler-territory-ht/p/240116000/au/pine/,2025-08-29 18:02:33,205/60R16,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 16 205/60R16 Wrangler Territory HT 92H,1084.74,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-205-60r16-wrangler-territory-ht-92h/p/ec63ghah95/au/aupa/,2025-08-29 18:02:45,205/60R16,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/60R16 Goodyear Wrangler Territory HT 92H,888.41,https://www.magazineluiza.com.br/pneu-205-60r16-goodyear-wrangler-territory-ht-92h/p/kh9adc7aa9/au/aupa/,2025-08-29 18:02:56,205/60R16,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/60R16 Goodyear Wrangler Territory HT 92H Aro 16,835.0,https://www.magazineluiza.com.br/pneu-205-60r16-goodyear-wrangler-territory-ht-92h-aro-16/p/jej49b89kh/au/aupa/,2025-08-29 18:03:07,205/60R16,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 16 Wrangler Territory HT 205/60R16 92H,788.78,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-wrangler-territory-ht-205-60r16-92h/p/ha1g1hec7h/au/aupa/,2025-08-29 18:03:17,205/60R16,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205 60R16 Wrangler Fortitude Ht Goodyear 92H SL HT,734.07,https://www.magazineluiza.com.br/pneu-205-60r16-wrangler-fortitude-ht-goodyear-92h-sl-ht/p/gh68je8dbk/au/aupa/,2025-08-29 18:03:30,205/60R16,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 16"" 205/60R16 Goodyear 92H Wrangler Territory HT",659.9,https://www.magazineluiza.com.br/pneu-aro-16-205-60r16-goodyear-92h-wrangler-territory-ht/p/240116000/au/pine/,2025-08-29 18:04:22,205/60R16,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 16 205/60R16 Wrangler Territory HT 92H,1084.74,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-205-60r16-wrangler-territory-ht-92h/p/ec63ghah95/au/aupa/,2025-08-29 18:04:34,205/60R16,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/60R16 Goodyear Wrangler Territory HT 92H,888.41,https://www.magazineluiza.com.br/pneu-205-60r16-goodyear-wrangler-territory-ht-92h/p/kh9adc7aa9/au/aupa/,2025-08-29 18:04:45,205/60R16,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/60R16 Goodyear Wrangler Territory HT 92H Aro 16,835.0,https://www.magazineluiza.com.br/pneu-205-60r16-goodyear-wrangler-territory-ht-92h-aro-16/p/jej49b89kh/au/aupa/,2025-08-29 18:04:56,205/60R16,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 16 Wrangler Territory HT 205/60R16 92H,788.78,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-wrangler-territory-ht-205-60r16-92h/p/ha1g1hec7h/au/aupa/,2025-08-29 18:05:07,205/60R16,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205 60R16 Wrangler Fortitude Ht Goodyear 92H SL HT,734.07,https://www.magazineluiza.com.br/pneu-205-60r16-wrangler-fortitude-ht-goodyear-92h-sl-ht/p/gh68je8dbk/au/aupa/,2025-08-29 18:05:19,205/60R16,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 16"" 205/60R16 Goodyear 92H Wrangler Territory HT",659.9,https://www.magazineluiza.com.br/pneu-aro-16-205-60r16-goodyear-92h-wrangler-territory-ht/p/240116000/au/pine/,2025-08-29 18:06:10,205/60R16,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 16 205/60R16 Wrangler Territory HT 92H,1084.74,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-205-60r16-wrangler-territory-ht-92h/p/ec63ghah95/au/aupa/,2025-08-29 18:06:22,205/60R16,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/60R16 Goodyear Wrangler Territory HT 92H,888.41,https://www.magazineluiza.com.br/pneu-205-60r16-goodyear-wrangler-territory-ht-92h/p/kh9adc7aa9/au/aupa/,2025-08-29 18:06:33,205/60R16,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/60R16 Goodyear Wrangler Territory HT 92H Aro 16,835.0,https://www.magazineluiza.com.br/pneu-205-60r16-goodyear-wrangler-territory-ht-92h-aro-16/p/jej49b89kh/au/aupa/,2025-08-29 18:06:44,205/60R16,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 16 Wrangler Territory HT 205/60R16 92H,788.78,https://www.magazineluiza.com.br/pneu-goodyear-aro-16-wrangler-territory-ht-205-60r16-92h/p/ha1g1hec7h/au/aupa/,2025-08-29 18:06:55,205/60R16,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205 60R16 Wrangler Fortitude Ht Goodyear 92H SL HT,772.7,https://www.magazineluiza.com.br/pneu-205-60r16-wrangler-fortitude-ht-goodyear-92h-sl-ht/p/gh68je8dbk/au/aupa/,2025-08-29 18:07:08,205/60R16,goodyear,wrangler,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
