titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 205/60 R16 92 Sentra Corolla Touring Honda Premium,328.9,https://www.magazineluiza.com.br/pneu-205-60-r16-92-sentra-corolla-touring-honda-premium-pioneiro/p/dbb3c1gg64/au/pine/,2025-08-29 21:49:36,205/60R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Xbri 205/60 R16 92V Fastway W1,445.64,https://www.magazineluiza.com.br/pneu-aro-16-xbri-205-60-r16-92v-fastway-w1/p/jaj494akha/au/aupa/,2025-08-29 21:49:47,205/60R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 205/60 r16 westlake z-108 92v,517.72,https://www.magazineluiza.com.br/pneu-aro-16-205-60-r16-westlake-z-108-92v/p/kafggj6j69/au/aupa/,2025-08-29 21:49:58,205/60R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Chengshan 205/60 R16 92H CSC-302 AT,421.56,https://www.magazineluiza.com.br/pneu-aro-16-chengshan-205-60-r16-92h-csc-302-at/p/hg62g8d4dk/au/pine/,2025-08-29 21:50:08,205/60R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Xbri 205/60 R16 92H Forza A/T 2,478.71,https://www.magazineluiza.com.br/pneu-aro-16-xbri-205-60-r16-92h-forza-a-t-2/p/bkj7abe047/au/pine/,2025-08-29 21:50:19,205/60R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Bridgestone 205/60 R16 92H Ecopia EP150,716.78,https://www.magazineluiza.com.br/pneu-aro-16-bridgestone-205-60-r16-92h-ecopia-ep150/p/jjf2dgkk63/au/aupa/,2025-08-29 21:50:30,205/60R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 205/60 R16 92H Powercontact 2,665.92,https://www.magazineluiza.com.br/pneu-continental-205-60-r16-92h-powercontact-2/p/ke2437ge3k/au/aupa/,2025-08-29 21:50:41,205/60R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 205/60 R16 92R Brutus T/A Xbri,592.19,https://www.magazineluiza.com.br/pneu-aro-16-205-60-r16-92r-brutus-t-a-xbri/p/dfb05kd0h1/au/aupa/,2025-08-29 21:50:51,205/60R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Aderenza 205/60 R16 92H Openland AT D2,415.39,https://www.magazineluiza.com.br/pneu-aro-16-aderenza-205-60-r16-92h-openland-at-d2/p/jafj907ggk/au/aupa/,2025-08-29 21:51:02,205/60R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Pirelli 205/60 R16 92H Scorpion,665.51,https://www.magazineluiza.com.br/pneu-aro-16-pirelli-205-60-r16-92h-scorpion/p/kc14h0eb9c/au/aupa/,2025-08-29 21:51:12,205/60R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Pirelli 205/60 R16 92H Scorpion,651.5,https://www.magazineluiza.com.br/pneu-aro-16-pirelli-205-60-r16-92h-scorpion/p/jajb57h05j/au/aupa/,2025-08-29 21:51:24,205/60R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Pirelli 205/60 R16 92H Scorpion,665.95,https://www.magazineluiza.com.br/pneu-aro-16-pirelli-205-60-r16-92h-scorpion/p/khjh5eaf41/au/aupa/,2025-08-29 21:51:35,205/60R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 16 205/60 R16 92V DH2,551.02,https://www.magazineluiza.com.br/pneu-delinte-aro-16-205-60-r16-92v-dh2/p/dkkf57gd76/au/pine/,2025-08-29 21:51:45,205/60R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 205/60 r16 hifly hf261 92h,545.85,https://www.magazineluiza.com.br/pneu-aro-16-205-60-r16-hifly-hf261-92h/p/jjj3d5ba5d/au/pine/,2025-08-29 21:51:56,205/60R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Michelin 205/60 R16 92H LTX Force,1119.26,https://www.magazineluiza.com.br/pneu-aro-16-michelin-205-60-r16-92h-ltx-force/p/ecah93kea1/au/pine/,2025-08-29 21:52:06,205/60R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Wanli 205/60 R16 92H Su009 At,599.99,https://www.magazineluiza.com.br/pneu-wanli-205-60-r16-92h-su009-at/p/hjk0b600hb/au/pine/,2025-08-29 21:52:18,205/60R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Pirelli 205/60 R16 92H Scorpion ATR,905.1,https://www.magazineluiza.com.br/pneu-aro-16-pirelli-205-60-r16-92h-scorpion-atr/p/ckfba94g0d/au/pine/,2025-08-29 21:52:28,205/60R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Michelin 205/60 R16 92V TL Primacy 4+,884.65,https://www.magazineluiza.com.br/pneu-aro-16-michelin-205-60-r16-92v-tl-primacy-4/p/bfj9eeddh9/au/aupa/,2025-08-29 21:52:39,205/60R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Barum 205/60 R16 92H FR Bravuris 4X4,533.21,https://www.magazineluiza.com.br/pneu-aro-16-barum-205-60-r16-92h-fr-bravuris-4x4/p/bb7bb948g1/au/aupa/,2025-08-29 21:52:49,205/60R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Scorpion 205/60 R16 Aro 16 92H,706.2,https://www.magazineluiza.com.br/pneu-pirelli-scorpion-205-60-r16-aro-16-92h/p/ek6a60fb8g/au/aupa/,2025-08-29 21:52:59,205/60R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aderenza Aro 16 205/60 R16 92H Openland,538.79,https://www.magazineluiza.com.br/pneu-aderenza-aro-16-205-60-r16-92h-openland/p/ea7aj0918f/au/aupa/,2025-08-29 21:53:11,205/60R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
