titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 205/65R16 Pirelli Scorpion KS 95H Aro 16,639.4,https://www.magazineluiza.com.br/pneu-205-65r16-pirelli-scorpion-ks-95h-aro-16/p/gg941f748a/au/aupa/,2025-08-30 01:45:05,205/65R16,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Aro 16 Scorpion KS 205/65R16 95H,618.34,https://www.magazineluiza.com.br/pneu-pirelli-aro-16-scorpion-ks-205-65r16-95h/p/jg907k94c1/au/aupa/,2025-08-30 01:45:16,205/65R16,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Pirelli Scorpion (Ks) 205/65R16 95H,648.9,https://www.magazineluiza.com.br/pneu-aro-16-pirelli-scorpion-ks-205-65r16-95h/p/dc0c6314bc/au/aupa/,2025-08-30 01:45:28,205/65R16,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 205/65R16 Scorpion TL 95H Pirelli,861.7,https://www.magazineluiza.com.br/pneu-carro-205-65r16-scorpion-tl-95h-pirelli/p/cejgd6kf59/au/aupa/,2025-08-30 01:45:42,205/65R16,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Pirelli P7 Cinturato (Mo) 205/65R16 95V,644.9,https://www.magazineluiza.com.br/pneu-aro-16-pirelli-p7-cinturato-mo-205-65r16-95v/p/ckc28k46h6/au/aupa/,2025-08-30 01:45:54,205/65R16,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/65R16 Pirelli Scorpion KS 95H Aro 16,639.4,https://www.magazineluiza.com.br/pneu-205-65r16-pirelli-scorpion-ks-95h-aro-16/p/gg941f748a/au/aupa/,2025-08-30 01:46:44,205/65R16,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Aro 16 Scorpion KS 205/65R16 95H,618.34,https://www.magazineluiza.com.br/pneu-pirelli-aro-16-scorpion-ks-205-65r16-95h/p/jg907k94c1/au/aupa/,2025-08-30 01:46:55,205/65R16,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Pirelli Scorpion (Ks) 205/65R16 95H,648.9,https://www.magazineluiza.com.br/pneu-aro-16-pirelli-scorpion-ks-205-65r16-95h/p/dc0c6314bc/au/aupa/,2025-08-30 01:47:07,205/65R16,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 205/65R16 Scorpion TL 95H Pirelli,861.7,https://www.magazineluiza.com.br/pneu-carro-205-65r16-scorpion-tl-95h-pirelli/p/cejgd6kf59/au/aupa/,2025-08-30 01:47:21,205/65R16,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Pirelli P7 Cinturato (Mo) 205/65R16 95V,644.9,https://www.magazineluiza.com.br/pneu-aro-16-pirelli-p7-cinturato-mo-205-65r16-95v/p/ckc28k46h6/au/aupa/,2025-08-30 01:47:33,205/65R16,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/65R16 Pirelli Scorpion KS 95H Aro 16,639.4,https://www.magazineluiza.com.br/pneu-205-65r16-pirelli-scorpion-ks-95h-aro-16/p/gg941f748a/au/aupa/,2025-08-30 01:48:23,205/65R16,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Aro 16 Scorpion KS 205/65R16 95H,618.34,https://www.magazineluiza.com.br/pneu-pirelli-aro-16-scorpion-ks-205-65r16-95h/p/jg907k94c1/au/aupa/,2025-08-30 01:48:33,205/65R16,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Pirelli Scorpion (Ks) 205/65R16 95H,648.9,https://www.magazineluiza.com.br/pneu-aro-16-pirelli-scorpion-ks-205-65r16-95h/p/dc0c6314bc/au/aupa/,2025-08-30 01:48:45,205/65R16,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 205/65R16 Scorpion TL 95H Pirelli,861.7,https://www.magazineluiza.com.br/pneu-carro-205-65r16-scorpion-tl-95h-pirelli/p/cejgd6kf59/au/aupa/,2025-08-30 01:49:00,205/65R16,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Pirelli P7 Cinturato (Mo) 205/65R16 95V,644.9,https://www.magazineluiza.com.br/pneu-aro-16-pirelli-p7-cinturato-mo-205-65r16-95v/p/ckc28k46h6/au/aupa/,2025-08-30 01:49:12,205/65R16,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
