titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Carro 205 75 R16 Chrono TL 110R Pirelli,1425.1,https://www.magazineluiza.com.br/pneu-carro-205-75-r16-chrono-tl-110r-pirelli/p/hb182358kd/au/pine/,2025-08-22 08:39:23,205/75R16,pirelli,,1511.85,True,https://a-static.mlcdn.com.br/280x210/pneu-carro-205-75-r16-chrono-tl-110r-pirelli/podiumpneu/kp3531/ad69a03e6cbe3af62c1b535c90b4fd82.jpeg,magazineluiza,,True,0,0.0,Podium Pneu,False,,,
Pneu aro 16 205/75 r16 sunset over cargo g1 110/108r,717.09,https://www.magazineluiza.com.br/pneu-aro-16-205-75-r16-sunset-over-cargo-g1-110-108r-sunwide/p/fg3e6gkc7e/au/pnoc/,2025-08-22 08:39:27,205/75R16,,,755.38,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-205-75-r16-sunset-over-cargo-g1-110-108r-sunwide/burajirupneus/1769p/ce65b9a445c00e976d2fffd4f716dbd5.jpeg,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
Pneu Aro 16 Firestone 205/75 R16 C BL 110R CV5000,992.02,https://www.magazineluiza.com.br/pneu-aro-16-firestone-205-75-r16-c-bl-110r-cv5000/p/aajj99b36j/au/pine/,2025-08-22 08:39:30,205/75R16,firestone,,1026.23,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-firestone-205-75-r16-c-bl-110r-cv5000/pneugreen/1380/c69dbf2d4d49304f8c89c1a1ed70553e.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
pneu aro 16 Aplus 205/75 R16C A867 110/108R,634.41,https://www.magazineluiza.com.br/pneu-aro-16-aplus-205-75-r16c-a867-110-108r/p/bbc8c51h25/au/aupa/,2025-08-22 08:39:34,205/75R16,,,748.88,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-aplus-205-75-r16c-a867-110-108r/uppneus/1931/bb78edeb043ca0da590e24110c98e25a.jpeg,magazineluiza,,True,2,0.0,GWT PNEUS,False,,,
Pneu Carro 205 75 R16 Chrono TL 110R Pirelli,1425.1,https://www.magazineluiza.com.br/pneu-carro-205-75-r16-chrono-tl-110r-pirelli/p/hb182358kd/au/pine/,2025-08-22 08:40:01,205/75R16,pirelli,,1511.85,True,https://a-static.mlcdn.com.br/280x210/pneu-carro-205-75-r16-chrono-tl-110r-pirelli/podiumpneu/kp3531/ad69a03e6cbe3af62c1b535c90b4fd82.jpeg,magazineluiza,,True,0,0.0,Podium Pneu,False,,,
Pneu aro 16 205/75 r16 sunset over cargo g1 110/108r,717.09,https://www.magazineluiza.com.br/pneu-aro-16-205-75-r16-sunset-over-cargo-g1-110-108r-sunwide/p/fg3e6gkc7e/au/pnoc/,2025-08-22 08:40:04,205/75R16,,,755.38,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-205-75-r16-sunset-over-cargo-g1-110-108r-sunwide/burajirupneus/1769p/ce65b9a445c00e976d2fffd4f716dbd5.jpeg,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
Pneu Aro 16 Firestone 205/75 R16 C BL 110R CV5000,992.02,https://www.magazineluiza.com.br/pneu-aro-16-firestone-205-75-r16-c-bl-110r-cv5000/p/aajj99b36j/au/pine/,2025-08-22 08:40:06,205/75R16,firestone,,1026.23,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-firestone-205-75-r16-c-bl-110r-cv5000/pneugreen/1380/c69dbf2d4d49304f8c89c1a1ed70553e.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
pneu aro 16 Aplus 205/75 R16C A867 110/108R,634.41,https://www.magazineluiza.com.br/pneu-aro-16-aplus-205-75-r16c-a867-110-108r/p/bbc8c51h25/au/aupa/,2025-08-22 08:40:10,205/75R16,,,748.88,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-aplus-205-75-r16c-a867-110-108r/uppneus/1931/bb78edeb043ca0da590e24110c98e25a.jpeg,magazineluiza,,True,2,0.0,GWT PNEUS,False,,,
pneu aro 16 Aplus 205/75 R16C A867 110/108R,634.41,https://www.magazineluiza.com.br/pneu-aro-16-aplus-205-75-r16c-a867-110-108r/p/bbc8c51h25/au/aupa/?seller_id=uppneus,2025-08-22 08:40:19,205/75R16,,,748.88,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-aplus-205-75-r16c-a867-110-108r/uppneus/1931/bb78edeb043ca0da590e24110c98e25a.jpeg,magazineluiza,,True,2,0.0,GWT PNEUS,False,,,
Pneu Aro 16 Firestone 205/75 R16 C BL 110R CV5000,992.02,https://www.magazineluiza.com.br/pneu-aro-16-firestone-205-75-r16-c-bl-110r-cv5000/p/aajj99b36j/au/pine/?seller_id=pneugreen,2025-08-22 08:40:21,205/75R16,firestone,,1026.23,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-firestone-205-75-r16-c-bl-110r-cv5000/pneugreen/1380/c69dbf2d4d49304f8c89c1a1ed70553e.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
