titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu aro 16 205/75 r16 sunset over cargo g1 110/108r,717.09,https://www.magazineluiza.com.br/pneu-aro-16-205-75-r16-sunset-over-cargo-g1-110-108r-sunwide/p/fg3e6gkc7e/au/pnoc/,2025-08-24 08:01:38,205/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/75R16 C 8 Lonas 110/108R Over Cargo B3 Sunset,491.26,https://www.magazineluiza.com.br/pneu-205-75r16-c-8-lonas-110-108r-over-cargo-b3-sunset/p/djdacg1a3e/au/pnoc/,2025-08-24 08:01:50,205/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu westlake 205/75r16c 8pr 110/108q h188,529.44,https://www.magazineluiza.com.br/pneu-westlake-205-75r16c-8pr-110-108q-h188/p/kb1b20jj3d/au/pine/,2025-08-24 08:02:12,205/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu xbri aro 16 cargoplus g1 205/75r16c 8pr 110/108r,716.72,https://www.magazineluiza.com.br/pneu-xbri-aro-16-cargoplus-g1-205-75r16c-8pr-110-108r/p/hh86ccad5h/au/pine/,2025-08-24 08:02:22,205/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 205/75 r16 sunset over cargo g1 110/108r,717.09,https://www.magazineluiza.com.br/pneu-aro-16-205-75-r16-sunset-over-cargo-g1-110-108r-sunwide/p/fg3e6gkc7e/au/pnoc/,2025-08-24 08:03:05,205/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/75R16 C 8 Lonas 110/108R Over Cargo B3 Sunset,491.26,https://www.magazineluiza.com.br/pneu-205-75r16-c-8-lonas-110-108r-over-cargo-b3-sunset/p/djdacg1a3e/au/pnoc/,2025-08-24 08:03:17,205/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu westlake 205/75r16c 8pr 110/108q h188,529.44,https://www.magazineluiza.com.br/pneu-westlake-205-75r16c-8pr-110-108q-h188/p/kb1b20jj3d/au/pine/,2025-08-24 08:03:39,205/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu xbri aro 16 cargoplus g1 205/75r16c 8pr 110/108r,716.72,https://www.magazineluiza.com.br/pneu-xbri-aro-16-cargoplus-g1-205-75r16c-8pr-110-108r/p/hh86ccad5h/au/pine/,2025-08-24 08:03:50,205/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 205/75 r16 sunset over cargo g1 110/108r,717.09,https://www.magazineluiza.com.br/pneu-aro-16-205-75-r16-sunset-over-cargo-g1-110-108r-sunwide/p/fg3e6gkc7e/au/pnoc/,2025-08-24 08:04:36,205/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/75R16 C 8 Lonas 110/108R Over Cargo B3 Sunset,491.26,https://www.magazineluiza.com.br/pneu-205-75r16-c-8-lonas-110-108r-over-cargo-b3-sunset/p/djdacg1a3e/au/pnoc/,2025-08-24 08:04:48,205/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu westlake 205/75r16c 8pr 110/108q h188,529.44,https://www.magazineluiza.com.br/pneu-westlake-205-75r16c-8pr-110-108q-h188/p/kb1b20jj3d/au/pine/,2025-08-24 08:05:09,205/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu xbri aro 16 cargoplus g1 205/75r16c 8pr 110/108r,716.72,https://www.magazineluiza.com.br/pneu-xbri-aro-16-cargoplus-g1-205-75r16c-8pr-110-108r/p/hh86ccad5h/au/pine/,2025-08-24 08:05:20,205/75R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
