titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 18 Xbri 215/35 R18 TL 84W Sport Plus,461.74,https://www.magazineluiza.com.br/pneu-aro-18-xbri-215-35-r18-tl-84w-sport-plus/p/gfjjb8a51g/au/aupa/,2025-09-02 10:06:45,215/35R18,,,,False,,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Aro 18 Westlake 215/35 R18 84W SA37,466.56,https://www.magazineluiza.com.br/pneu-aro-18-westlake-215-35-r18-84w-sa37/p/gbh8f31b42/au/pine/,2025-09-02 10:06:48,215/35R18,,,,False,,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Delinte Aro 18 215/35 R18 DH2 84W XL,766.6,https://www.magazineluiza.com.br/pneu-delinte-aro-18-215-35-r18-dh2-84w-xl/p/ebbgc0gdek/au/aupa/,2025-09-02 10:06:54,215/35R18,,,,False,,magazineluiza,,True,0,0.0,Web Pneus,False,,,
Pneu Xbri Aro 18 215/35 R18 84W Sport Extra Load,463.67,https://www.magazineluiza.com.br/pneu-xbri-aro-18-215-35-r18-84w-sport-extra-load/p/fjk4f1b193/au/pine/,2025-09-02 10:06:59,215/35R18,,,,False,,magazineluiza,,True,0,0.0,Auto Loja,False,,,
Pneu Aro 18 Xbri 215/35 R18 TL 84W Sport Plus,461.74,https://www.magazineluiza.com.br/pneu-aro-18-xbri-215-35-r18-tl-84w-sport-plus/p/gfjjb8a51g/au/aupa/,2025-09-02 10:07:38,215/35R18,,,,False,,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Aro 18 Westlake 215/35 R18 84W SA37,466.56,https://www.magazineluiza.com.br/pneu-aro-18-westlake-215-35-r18-84w-sa37/p/gbh8f31b42/au/pine/,2025-09-02 10:07:40,215/35R18,,,,False,,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Delinte Aro 18 215/35 R18 DH2 84W XL,766.6,https://www.magazineluiza.com.br/pneu-delinte-aro-18-215-35-r18-dh2-84w-xl/p/ebbgc0gdek/au/aupa/,2025-09-02 10:07:46,215/35R18,,,,False,,magazineluiza,,True,0,0.0,Web Pneus,False,,,
Pneu Xbri Aro 18 215/35 R18 84W Sport Extra Load,463.67,https://www.magazineluiza.com.br/pneu-xbri-aro-18-215-35-r18-84w-sport-extra-load/p/fjk4f1b193/au/pine/,2025-09-02 10:07:49,215/35R18,,,,False,,magazineluiza,,True,0,0.0,Auto Loja,False,,,
Pneu Aro 18 Xbri 215/35 R18 TL 84W Sport Plus,461.74,https://www.magazineluiza.com.br/pneu-aro-18-xbri-215-35-r18-tl-84w-sport-plus/p/gfjjb8a51g/au/aupa/,2025-09-02 10:08:32,215/35R18,,,,False,,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Aro 18 Westlake 215/35 R18 84W SA37,466.56,https://www.magazineluiza.com.br/pneu-aro-18-westlake-215-35-r18-84w-sa37/p/gbh8f31b42/au/pine/,2025-09-02 10:08:34,215/35R18,,,,False,,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Delinte Aro 18 215/35 R18 DH2 84W XL,766.6,https://www.magazineluiza.com.br/pneu-delinte-aro-18-215-35-r18-dh2-84w-xl/p/ebbgc0gdek/au/aupa/,2025-09-02 10:08:39,215/35R18,,,,False,,magazineluiza,,True,0,0.0,Web Pneus,False,,,
Pneu Xbri Aro 18 215/35 R18 84W Sport Extra Load,463.67,https://www.magazineluiza.com.br/pneu-xbri-aro-18-215-35-r18-84w-sport-extra-load/p/fjk4f1b193/au/pine/,2025-09-02 10:08:43,215/35R18,,,,False,,magazineluiza,,True,0,0.0,Auto Loja,False,,,
