titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Farroad Aro 18 FRD26 215/40R18 89W,445.37,https://www.magazineluiza.com.br/pneu-farroad-aro-18-frd26-215-40r18-89w/p/481379800/au/aupa/,2025-09-11 09:21:36,215/40R18,farroad,frd26,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Farroad Aro 18 215/40R18 89W FRD26,590.33,https://www.magazineluiza.com.br/pneu-farroad-aro-18-215-40r18-89w-frd26/p/fc6a1jeg2k/au/aupa/,2025-09-11 09:21:49,215/40R18,farroad,frd26,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Farroad Aro 18 215/40R18 89W FRD26,584.66,https://www.magazineluiza.com.br/pneu-farroad-aro-18-215-40r18-89w-frd26/p/cck46c38aa/au/aupa/,2025-09-11 09:21:52,215/40R18,farroad,frd26,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Farroad Aro 18 215/40R18 89W FRD26,567.86,https://www.magazineluiza.com.br/pneu-farroad-aro-18-215-40r18-89w-frd26/p/kjh4cb0kf1/au/aupa/,2025-09-11 09:21:57,215/40R18,farroad,frd26,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Farroad Aro 18 215/40R18 FRD26 89W,702.59,https://www.magazineluiza.com.br/pneu-farroad-aro-18-215-40r18-frd26-89w/p/jdd0fj031k/au/aupa/,2025-09-11 09:22:00,215/40R18,farroad,frd26,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Farroad Aro 18 FRD26 215/40R18 89W,445.37,https://www.magazineluiza.com.br/pneu-farroad-aro-18-frd26-215-40r18-89w/p/481379800/au/aupa/,2025-09-11 09:22:42,215/40R18,farroad,frd26,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Farroad Aro 18 215/40R18 89W FRD26,590.33,https://www.magazineluiza.com.br/pneu-farroad-aro-18-215-40r18-89w-frd26/p/fc6a1jeg2k/au/aupa/,2025-09-11 09:22:52,215/40R18,farroad,frd26,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Farroad Aro 18 215/40R18 89W FRD26,584.66,https://www.magazineluiza.com.br/pneu-farroad-aro-18-215-40r18-89w-frd26/p/cck46c38aa/au/aupa/,2025-09-11 09:22:54,215/40R18,farroad,frd26,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Farroad Aro 18 215/40R18 89W FRD26,567.86,https://www.magazineluiza.com.br/pneu-farroad-aro-18-215-40r18-89w-frd26/p/kjh4cb0kf1/au/aupa/,2025-09-11 09:22:58,215/40R18,farroad,frd26,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Farroad Aro 18 215/40R18 FRD26 89W,702.59,https://www.magazineluiza.com.br/pneu-farroad-aro-18-215-40r18-frd26-89w/p/jdd0fj031k/au/aupa/,2025-09-11 09:23:00,215/40R18,farroad,frd26,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Farroad Aro 18 215/40R18 FRD26 89W,702.59,https://www.magazineluiza.com.br/pneu-farroad-aro-18-215-40r18-frd26-89w/p/jdd0fj031k/au/aupa/,2025-09-11 09:23:19,215/40R18,farroad,frd26,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Farroad Aro 18 215/40R18 89W FRD26,590.33,https://www.magazineluiza.com.br/pneu-farroad-aro-18-215-40r18-89w-frd26/p/fc6a1jeg2k/au/aupa/,2025-09-11 09:23:21,215/40R18,farroad,frd26,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Farroad Aro 18 FRD26 215/40R18 89W,445.37,https://www.magazineluiza.com.br/pneu-farroad-aro-18-frd26-215-40r18-89w/p/481379800/au/aupa/,2025-09-11 09:23:47,215/40R18,farroad,frd26,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Farroad Aro 18 215/40R18 89W FRD26,590.33,https://www.magazineluiza.com.br/pneu-farroad-aro-18-215-40r18-89w-frd26/p/fc6a1jeg2k/au/aupa/,2025-09-11 09:23:56,215/40R18,farroad,frd26,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Farroad Aro 18 215/40R18 89W FRD26,584.66,https://www.magazineluiza.com.br/pneu-farroad-aro-18-215-40r18-89w-frd26/p/cck46c38aa/au/aupa/,2025-09-11 09:23:58,215/40R18,farroad,frd26,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Farroad Aro 18 215/40R18 89W FRD26,567.86,https://www.magazineluiza.com.br/pneu-farroad-aro-18-215-40r18-89w-frd26/p/kjh4cb0kf1/au/aupa/,2025-09-11 09:24:01,215/40R18,farroad,frd26,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Farroad Aro 18 215/40R18 FRD26 89W,702.59,https://www.magazineluiza.com.br/pneu-farroad-aro-18-215-40r18-frd26-89w/p/jdd0fj031k/au/aupa/,2025-09-11 09:24:03,215/40R18,farroad,frd26,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Farroad Aro 18 215/40R18 FRD26 89W,702.59,https://www.magazineluiza.com.br/pneu-farroad-aro-18-215-40r18-frd26-89w/p/jdd0fj031k/au/aupa/,2025-09-11 09:24:21,215/40R18,farroad,frd26,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
