titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 215/40 r 18 hu901 89w horizon,962.05,https://www.magazineluiza.com.br/pneu-215-40-r-18-hu901-89w-horizon/p/fb8ag7398a/ar/aave/,2025-08-29 19:35:47,215/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 215/40 r18 wanli sa302 89w,662.12,https://www.magazineluiza.com.br/pneu-aro-18-215-40-r18-wanli-sa302-89w/p/kb4b2c8b4d/au/aupa/,2025-08-29 19:35:58,215/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 215/40 r18 lanvigator catchpower plus 89w,662.06,https://www.magazineluiza.com.br/pneu-aro-18-215-40-r18-lanvigator-catchpower-plus-89w/p/bf2eekjgkh/au/aupa/,2025-08-29 19:36:08,215/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 215/40 r18 aptany ra301 85w,649.74,https://www.magazineluiza.com.br/pneu-aro-18-215-40-r18-aptany-ra301-85w/p/dh0gk7agf5/au/pine/,2025-08-29 19:36:19,215/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 18 215/40 R18 DS2 89W XL,925.14,https://www.magazineluiza.com.br/pneu-delinte-aro-18-215-40-r18-ds2-89w-xl/p/gb6je8eh4g/au/pine/,2025-08-29 19:36:29,215/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 215/40 R18 85V Ventus Prime 2 K115 Original Hyundai Veloster,1134.02,https://www.magazineluiza.com.br/pneu-hankook-215-40-r18-85v-ventus-prime-2-k115-original-hyundai-veloster/p/kakce09jeh/au/pine/,2025-08-29 19:36:41,215/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/40 r 18 hu901 89w horizon,962.05,https://www.magazineluiza.com.br/pneu-215-40-r-18-hu901-89w-horizon/p/fb8ag7398a/ar/aave/,2025-08-29 19:37:23,215/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 215/40 r18 lanvigator catchpower plus 89w,662.06,https://www.magazineluiza.com.br/pneu-aro-18-215-40-r18-lanvigator-catchpower-plus-89w/p/bf2eekjgkh/au/aupa/,2025-08-29 19:37:34,215/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 215/40 r18 wanli sa302 89w,662.12,https://www.magazineluiza.com.br/pneu-aro-18-215-40-r18-wanli-sa302-89w/p/kb4b2c8b4d/au/aupa/,2025-08-29 19:37:45,215/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 215/40 r18 aptany ra301 85w,649.74,https://www.magazineluiza.com.br/pneu-aro-18-215-40-r18-aptany-ra301-85w/p/dh0gk7agf5/au/pine/,2025-08-29 19:37:55,215/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 18 215/40 R18 DS2 89W XL,925.14,https://www.magazineluiza.com.br/pneu-delinte-aro-18-215-40-r18-ds2-89w-xl/p/gb6je8eh4g/au/pine/,2025-08-29 19:38:06,215/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 215/40 R18 85V Ventus Prime 2 K115 Original Hyundai Veloster,1134.02,https://www.magazineluiza.com.br/pneu-hankook-215-40-r18-85v-ventus-prime-2-k115-original-hyundai-veloster/p/kakce09jeh/au/pine/,2025-08-29 19:38:19,215/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/40 r 18 hu901 89w horizon,962.05,https://www.magazineluiza.com.br/pneu-215-40-r-18-hu901-89w-horizon/p/fb8ag7398a/ar/aave/,2025-08-29 19:39:00,215/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 215/40 r18 lanvigator catchpower plus 89w,662.06,https://www.magazineluiza.com.br/pneu-aro-18-215-40-r18-lanvigator-catchpower-plus-89w/p/bf2eekjgkh/au/aupa/,2025-08-29 19:39:11,215/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 215/40 r18 wanli sa302 89w,662.12,https://www.magazineluiza.com.br/pneu-aro-18-215-40-r18-wanli-sa302-89w/p/kb4b2c8b4d/au/aupa/,2025-08-29 19:39:22,215/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 215/40 r18 aptany ra301 85w,649.74,https://www.magazineluiza.com.br/pneu-aro-18-215-40-r18-aptany-ra301-85w/p/dh0gk7agf5/au/pine/,2025-08-29 19:39:33,215/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 18 215/40 R18 DS2 89W XL,925.14,https://www.magazineluiza.com.br/pneu-delinte-aro-18-215-40-r18-ds2-89w-xl/p/gb6je8eh4g/au/pine/,2025-08-29 19:39:43,215/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 215/40 R18 85V Ventus Prime 2 K115 Original Hyundai Veloster,1134.02,https://www.magazineluiza.com.br/pneu-hankook-215-40-r18-85v-ventus-prime-2-k115-original-hyundai-veloster/p/kakce09jeh/au/pine/,2025-08-29 19:39:56,215/40R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
