titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Pirelli Powergy 215/55 R17 Aro 17 94V,873.52,https://www.magazineluiza.com.br/pneu-pirelli-powergy-215-55-r17-aro-17-94v/p/ea41j0ck1g/au/pine/,2025-08-23 21:47:14,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Goodyear 215/55 R17 94V Efficientgrip Suv,811.7,https://www.magazineluiza.com.br/pneu-aro-17-goodyear-215-55-r17-94v-efficientgrip-suv/p/ck92gk26b5/au/aupa/,2025-08-23 21:47:25,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Continental 215/55 R17 94V FR UltraContact,746.18,https://www.magazineluiza.com.br/pneu-aro-17-continental-215-55-r17-94v-fr-ultracontact/p/fc70ahe1b5/au/pine/,2025-08-23 21:47:35,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Westlake 215/55 R17 98W SA57,494.97,https://www.magazineluiza.com.br/pneu-aro-17-westlake-215-55-r17-98w-sa57/p/ag52g22ef3/au/pine/,2025-08-23 21:47:46,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Xbri 215/55 R17 94V TL Ecology,523.48,https://www.magazineluiza.com.br/pneu-aro-17-xbri-215-55-r17-94v-tl-ecology/p/hb3ddjbgb0/au/aupa/,2025-08-23 21:47:58,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/55 R 17 - Turanza ER370 94V - Bridgestone,886.35,https://www.magazineluiza.com.br/pneu-215-55-r-17-turanza-er370-94v-bridgestone/p/db6k5j9jdd/au/aupa/,2025-08-23 21:48:10,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 215/55 r17 aptany ra301 98w,656.84,https://www.magazineluiza.com.br/pneu-aro-17-215-55-r17-aptany-ra301-98w/p/ac55a523jj/au/aupa/,2025-08-23 21:48:21,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 215/55 r17 dunlop fm800 94w,950.99,https://www.magazineluiza.com.br/pneu-aro-17-215-55-r17-dunlop-fm800-94w/p/kk1gk417gb/au/pine/,2025-08-23 21:48:31,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 17 215/55 R17 DH2 98W XL,830.44,https://www.magazineluiza.com.br/pneu-delinte-aro-17-215-55-r17-dh2-98w-xl/p/gaajh96bd0/au/pine/,2025-08-23 21:48:43,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/55 R17 94W SP SPORT FM800,1018.71,https://www.magazineluiza.com.br/pneu-dunlop-215-55-r17-94w-sp-sport-fm800/p/fkd6ckckcg/au/pine/,2025-08-23 21:48:54,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Powergy 215/55 R17 Aro 17 94V,938.73,https://www.magazineluiza.com.br/pneu-pirelli-powergy-215-55-r17-aro-17-94v/p/cg6af73055/au/pine/,2025-08-23 21:49:05,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Pirelli 215/55 R17 94V Scorpion Seal Inside,813.02,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-215-55-r17-94v-scorpion-seal-inside/p/dgjbh885ba/au/pine/,2025-08-23 21:49:17,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/55 R17 94W SP SPORT FM800,1018.71,https://www.magazineluiza.com.br/pneu-dunlop-215-55-r17-94w-sp-sport-fm800/p/jh43agegd0/au/pine/,2025-08-23 21:49:29,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/55R17 94W Sport Plus F1 Xbri,526.02,https://www.magazineluiza.com.br/pneu-215-55r17-94w-sport-plus-f1-xbri/p/gj68jbk5g7/au/aupa/,2025-08-23 21:49:40,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/55 R17 94W SP SPORT FM800,1018.71,https://www.magazineluiza.com.br/pneu-dunlop-215-55-r17-94w-sp-sport-fm800/p/djd477c814/au/pine/,2025-08-23 21:49:52,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
