titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Pirelli Aro 17 Scorpion Seal Inside 215/55R17 94V,642.72,https://www.magazineluiza.com.br/pneu-pirelli-aro-17-scorpion-seal-inside-215-55r17-94v/p/ee95bbg314/au/pine/,2025-09-04 21:35:43,215/55R17,pirelli,scorpion seal inside,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Pirelli Aro 17 215/55R17 94V Scorpion Seal Inside,643.9,https://www.magazineluiza.com.br/pneu-pirelli-aro-17-215-55r17-94v-scorpion-seal-inside/p/efehca79c5/au/pine/,2025-09-04 21:36:19,215/55R17,pirelli,scorpion seal inside,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 215/55R17 Pirelli Scorpion Seal Inside 94V,672.11,https://www.magazineluiza.com.br/pneu-215-55r17-pirelli-scorpion-seal-inside-94v/p/hgcbc54j5k/au/aupa/,2025-09-04 21:36:22,215/55R17,pirelli,scorpion seal inside,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Pirelli Aro 17 215/55R17 Scorpion Seal Inside 94V,1075.11,https://www.magazineluiza.com.br/pneu-pirelli-aro-17-215-55r17-scorpion-seal-inside-94v/p/eaf41j8e2a/au/pine/,2025-09-04 21:36:28,215/55R17,pirelli,scorpion seal inside,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 215/55R17 Pirelli Scorpion Seal Inside 94V Aro 17,790.02,https://www.magazineluiza.com.br/pneu-215-55r17-pirelli-scorpion-seal-inside-94v-aro-17/p/fedg30e507/au/pine/,2025-09-04 21:36:32,215/55R17,pirelli,scorpion seal inside,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu pirelli aro 17 scorpion 215/55r17 94v seal inside,719.99,https://www.magazineluiza.com.br/pneu-pirelli-aro-17-scorpion-215-55r17-94v-seal-inside/p/gcc4g5jb32/au/pine/,2025-09-04 21:36:37,215/55R17,pirelli,scorpion,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 17 Pirelli Scorpion Seal Inside 215/55R17 94V,811.21,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-scorpion-seal-inside-215-55r17-94v/p/feab8270dk/au/pine/,2025-09-04 21:36:46,215/55R17,pirelli,scorpion seal inside,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Carro 215/55R17 Scorpion Seal Inside TL 94V Pirelli,943.46,https://www.magazineluiza.com.br/pneu-carro-215-55r17-scorpion-seal-inside-tl-94v-pirelli/p/gjaj42cdc7/au/aupa/,2025-09-04 21:36:51,215/55R17,pirelli,scorpion seal inside,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Pirelli Aro 17 Scorpion Seal Inside 215/55R17 94V,642.72,https://www.magazineluiza.com.br/pneu-pirelli-aro-17-scorpion-seal-inside-215-55r17-94v/p/ee95bbg314/au/pine/,2025-09-04 21:37:33,215/55R17,pirelli,scorpion seal inside,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Pirelli Aro 17 215/55R17 94V Scorpion Seal Inside,643.9,https://www.magazineluiza.com.br/pneu-pirelli-aro-17-215-55r17-94v-scorpion-seal-inside/p/efehca79c5/au/pine/,2025-09-04 21:38:00,215/55R17,pirelli,scorpion seal inside,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 215/55R17 Pirelli Scorpion Seal Inside 94V,672.11,https://www.magazineluiza.com.br/pneu-215-55r17-pirelli-scorpion-seal-inside-94v/p/hgcbc54j5k/au/aupa/,2025-09-04 21:38:02,215/55R17,pirelli,scorpion seal inside,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Pirelli Aro 17 215/55R17 Scorpion Seal Inside 94V,1075.11,https://www.magazineluiza.com.br/pneu-pirelli-aro-17-215-55r17-scorpion-seal-inside-94v/p/eaf41j8e2a/au/pine/,2025-09-04 21:38:06,215/55R17,pirelli,scorpion seal inside,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 215/55R17 Pirelli Scorpion Seal Inside 94V Aro 17,790.02,https://www.magazineluiza.com.br/pneu-215-55r17-pirelli-scorpion-seal-inside-94v-aro-17/p/fedg30e507/au/pine/,2025-09-04 21:38:09,215/55R17,pirelli,scorpion seal inside,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu pirelli aro 17 scorpion 215/55r17 94v seal inside,719.99,https://www.magazineluiza.com.br/pneu-pirelli-aro-17-scorpion-215-55r17-94v-seal-inside/p/gcc4g5jb32/au/pine/,2025-09-04 21:38:12,215/55R17,pirelli,scorpion,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 17 Pirelli Scorpion Seal Inside 215/55R17 94V,811.21,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-scorpion-seal-inside-215-55r17-94v/p/feab8270dk/au/pine/,2025-09-04 21:38:18,215/55R17,pirelli,scorpion seal inside,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
