titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Continental 215/60 R17 96h Conticrosscontact Lx2,805.57,https://www.magazineluiza.com.br/pneu-continental-215-60-r17-96h-conticrosscontact-lx2/p/dg1akgah11/au/aupa/,2025-09-11 06:37:22,215/60R17,continental,conticrosscontact lx2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Continental Aro 17 ContiCrossContact LX2 215/60R17 96H - Original Renault Captur,750.41,https://www.magazineluiza.com.br/pneu-continental-aro-17-conticrosscontact-lx2-215-60r17-96h-original-renault-captur/p/jg8ke6eged/au/aupa/,2025-09-11 06:37:25,215/60R17,continental,conticrosscontact lx2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 215/60R17 Continental ContiCrossContact LX2 96H,763.67,https://www.magazineluiza.com.br/pneu-215-60r17-continental-conticrosscontact-lx2-96h/p/gb3fk38cba/au/aupa/,2025-09-11 06:37:30,215/60R17,continental,conticrosscontact lx2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Continental Aro 17 215/60R17 ContiCrossContact LX2 D7 96H,918.83,https://www.magazineluiza.com.br/pneu-continental-aro-17-215-60r17-conticrosscontact-lx2-d7-96h/p/ke1470hh95/au/aupa/,2025-09-11 06:37:33,215/60R17,continental,conticrosscontact lx2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Continental 215/60 R17 96h Conticrosscontact Lx2,805.57,https://www.magazineluiza.com.br/pneu-continental-215-60-r17-96h-conticrosscontact-lx2/p/dg1akgah11/au/aupa/,2025-09-11 06:38:06,215/60R17,continental,conticrosscontact lx2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Continental Aro 17 ContiCrossContact LX2 215/60R17 96H - Original Renault Captur,750.41,https://www.magazineluiza.com.br/pneu-continental-aro-17-conticrosscontact-lx2-215-60r17-96h-original-renault-captur/p/jg8ke6eged/au/aupa/,2025-09-11 06:38:08,215/60R17,continental,conticrosscontact lx2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 215/60R17 Continental ContiCrossContact LX2 96H,763.67,https://www.magazineluiza.com.br/pneu-215-60r17-continental-conticrosscontact-lx2-96h/p/gb3fk38cba/au/aupa/,2025-09-11 06:38:13,215/60R17,continental,conticrosscontact lx2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Continental Aro 17 215/60R17 ContiCrossContact LX2 D7 96H,918.83,https://www.magazineluiza.com.br/pneu-continental-aro-17-215-60r17-conticrosscontact-lx2-d7-96h/p/ke1470hh95/au/aupa/,2025-09-11 06:38:15,215/60R17,continental,conticrosscontact lx2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Continental 215/60 R17 96h Conticrosscontact Lx2,805.57,https://www.magazineluiza.com.br/pneu-continental-215-60-r17-96h-conticrosscontact-lx2/p/dg1akgah11/au/aupa/,2025-09-11 06:38:27,215/60R17,continental,conticrosscontact lx2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Continental Aro 17 ContiCrossContact LX2 215/60R17 96H - Original Renault Captur,750.41,https://www.magazineluiza.com.br/pneu-continental-aro-17-conticrosscontact-lx2-215-60r17-96h-original-renault-captur/p/jg8ke6eged/au/aupa/,2025-09-11 06:38:34,215/60R17,continental,conticrosscontact lx2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
