titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 215 60 R17 96h Enasave Ec300+ Dunlop 417931,672.04,https://www.magazineluiza.com.br/pneu-215-60-r17-96h-enasave-ec300-dunlop-417931/p/kf8k6ake2c/au/pnoc/,2025-09-04 12:29:14,215/60R17,dunlop,enasave ec300,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop Aro 17 215/60r17 96H ENASAVE EC300+,867.93,https://www.magazineluiza.com.br/pneu-dunlop-aro-17-215-60r17-96h-enasave-ec300/p/ff45488ab4/au/aupa/,2025-09-04 12:29:18,215/60R17,dunlop,enasave ec300,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop Aro 17 215/60r17 96H ENASAVE EC300+,876.36,https://www.magazineluiza.com.br/pneu-dunlop-aro-17-215-60r17-96h-enasave-ec300/p/fekg50kghb/au/aupa/,2025-09-04 12:29:21,215/60R17,dunlop,enasave ec300,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 215/60R17 96H Enasave EC300+,980.59,https://www.magazineluiza.com.br/pneu-dunlop-215-60r17-96h-enasave-ec300/p/acak4h72d4/au/aupa/,2025-09-04 12:29:26,215/60R17,dunlop,enasave ec300,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop Aro 17 215/60r17 96H ENASAVE EC300+,843.0,https://www.magazineluiza.com.br/pneu-dunlop-aro-17-215-60r17-96h-enasave-ec300/p/fg3c779gfh/au/aupa/,2025-09-04 12:29:29,215/60R17,dunlop,enasave ec300,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 215/60R17 96H Enasave EC300+,902.14,https://www.magazineluiza.com.br/pneu-dunlop-215-60r17-96h-enasave-ec300/p/gk07k650g9/au/aupa/,2025-09-04 12:29:32,215/60R17,dunlop,enasave ec300,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 215/60R17 96H Enasave EC300+,980.59,https://www.magazineluiza.com.br/pneu-dunlop-215-60r17-96h-enasave-ec300/p/dcb93g5h1g/au/aupa/,2025-09-04 12:29:36,215/60R17,dunlop,enasave ec300,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 215/60R17 96H Enasave EC300+,902.14,https://www.magazineluiza.com.br/pneu-dunlop-215-60r17-96h-enasave-ec300/p/ehjg5f2314/au/aupa/,2025-09-04 12:29:39,215/60R17,dunlop,enasave ec300,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop Aro 17 215/60R17 Enasave EC300 96H,844.36,https://www.magazineluiza.com.br/pneu-dunlop-aro-17-215-60r17-enasave-ec300-96h/p/ca14h48b1c/au/pine/,2025-09-04 12:29:42,215/60R17,dunlop,enasave ec300,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 215/60R17 96H Enasave EC300+,862.92,https://www.magazineluiza.com.br/pneu-dunlop-215-60r17-96h-enasave-ec300/p/djej53dcb5/au/aupa/,2025-09-04 12:29:47,215/60R17,dunlop,enasave ec300,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 215 60 R17 96h Enasave Ec300+ Dunlop 417931,672.04,https://www.magazineluiza.com.br/pneu-215-60-r17-96h-enasave-ec300-dunlop-417931/p/kf8k6ake2c/au/pnoc/,2025-09-04 12:30:17,215/60R17,dunlop,enasave ec300,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop Aro 17 215/60r17 96H ENASAVE EC300+,867.93,https://www.magazineluiza.com.br/pneu-dunlop-aro-17-215-60r17-96h-enasave-ec300/p/ff45488ab4/au/aupa/,2025-09-04 12:30:20,215/60R17,dunlop,enasave ec300,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop Aro 17 215/60r17 96H ENASAVE EC300+,876.36,https://www.magazineluiza.com.br/pneu-dunlop-aro-17-215-60r17-96h-enasave-ec300/p/fekg50kghb/au/aupa/,2025-09-04 12:30:22,215/60R17,dunlop,enasave ec300,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 215/60R17 96H Enasave EC300+,980.59,https://www.magazineluiza.com.br/pneu-dunlop-215-60r17-96h-enasave-ec300/p/acak4h72d4/au/aupa/,2025-09-04 12:30:25,215/60R17,dunlop,enasave ec300,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop Aro 17 215/60r17 96H ENASAVE EC300+,843.0,https://www.magazineluiza.com.br/pneu-dunlop-aro-17-215-60r17-96h-enasave-ec300/p/fg3c779gfh/au/aupa/,2025-09-04 12:30:27,215/60R17,dunlop,enasave ec300,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
