titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Dunlop 215/60 R17 100H GRANDTREK AT5,1040.65,https://www.magazineluiza.com.br/pneu-dunlop-215-60-r17-100h-grandtrek-at5/p/gbcj37ee93/au/aupa/,2025-08-29 10:32:59,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/60 R17 100H GRANDTREK AT5,1040.65,https://www.magazineluiza.com.br/pneu-dunlop-215-60-r17-100h-grandtrek-at5/p/ffh0k92ja9/au/aupa/,2025-08-29 10:33:11,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/60 R17 100H GRANDTREK AT5,1040.65,https://www.magazineluiza.com.br/pneu-dunlop-215-60-r17-100h-grandtrek-at5/p/ca9k6hgd85/au/aupa/,2025-08-29 10:33:21,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/60 R17 100H GRANDTREK AT5,1040.65,https://www.magazineluiza.com.br/pneu-dunlop-215-60-r17-100h-grandtrek-at5/p/ad38bhfa34/au/aupa/,2025-08-29 10:33:32,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/60 R17 100H GRANDTREK AT5,1040.65,https://www.magazineluiza.com.br/pneu-dunlop-215-60-r17-100h-grandtrek-at5/p/bega59ef8e/au/aupa/,2025-08-29 10:33:42,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215 60 R17 100h Grandtrek At5 Dunlop Cod.ref. Compass Patriot Renegade Creta Captur X60 417044,813.2,https://www.magazineluiza.com.br/pneu-215-60-r17-100h-grandtrek-at5-dunlop-cod-ref-compass-patriot-renegade-creta-captur-x60-417044/p/dk7004he97/au/aupa/,2025-08-29 10:33:53,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215 60 R17 96h Enasave Ec300+ Dunlop 417931,763.68,https://www.magazineluiza.com.br/pneu-215-60-r17-96h-enasave-ec300-dunlop-417931/p/kf8k6ake2c/au/pnoc/,2025-08-29 10:34:04,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/60R17 96H Ensave EC300+,833.88,https://www.magazineluiza.com.br/pneu-dunlop-215-60r17-96h-ensave-ec300/p/fcf1jjdh6k/au/aupa/,2025-08-29 10:34:28,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/60R17 96H Enasave EC300+,980.59,https://www.magazineluiza.com.br/pneu-dunlop-215-60r17-96h-enasave-ec300/p/djej53dcb5/au/aupa/,2025-08-29 10:34:40,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/60 R17 100H GRANDTREK AT5,1040.65,https://www.magazineluiza.com.br/pneu-dunlop-215-60-r17-100h-grandtrek-at5/p/gbcj37ee93/au/aupa/,2025-08-29 10:35:15,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/60 R17 100H GRANDTREK AT5,1040.65,https://www.magazineluiza.com.br/pneu-dunlop-215-60-r17-100h-grandtrek-at5/p/ffh0k92ja9/au/aupa/,2025-08-29 10:35:27,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/60 R17 100H GRANDTREK AT5,1040.65,https://www.magazineluiza.com.br/pneu-dunlop-215-60-r17-100h-grandtrek-at5/p/ca9k6hgd85/au/aupa/,2025-08-29 10:35:38,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/60 R17 100H GRANDTREK AT5,1040.65,https://www.magazineluiza.com.br/pneu-dunlop-215-60-r17-100h-grandtrek-at5/p/ad38bhfa34/au/aupa/,2025-08-29 10:35:48,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/60 R17 100H GRANDTREK AT5,1040.65,https://www.magazineluiza.com.br/pneu-dunlop-215-60-r17-100h-grandtrek-at5/p/bega59ef8e/au/aupa/,2025-08-29 10:35:59,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215 60 R17 100h Grandtrek At5 Dunlop Cod.ref. Compass Patriot Renegade Creta Captur X60 417044,813.2,https://www.magazineluiza.com.br/pneu-215-60-r17-100h-grandtrek-at5-dunlop-cod-ref-compass-patriot-renegade-creta-captur-x60-417044/p/dk7004he97/au/aupa/,2025-08-29 10:36:10,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215 60 R17 96h Enasave Ec300+ Dunlop 417931,763.68,https://www.magazineluiza.com.br/pneu-215-60-r17-96h-enasave-ec300-dunlop-417931/p/kf8k6ake2c/au/pnoc/,2025-08-29 10:36:22,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/60R17 96H Ensave EC300+,833.88,https://www.magazineluiza.com.br/pneu-dunlop-215-60r17-96h-ensave-ec300/p/fcf1jjdh6k/au/aupa/,2025-08-29 10:36:46,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/60R17 96H Enasave EC300+,980.59,https://www.magazineluiza.com.br/pneu-dunlop-215-60r17-96h-enasave-ec300/p/djej53dcb5/au/aupa/,2025-08-29 10:36:58,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/60 R17 100H GRANDTREK AT5,1040.65,https://www.magazineluiza.com.br/pneu-dunlop-215-60-r17-100h-grandtrek-at5/p/gbcj37ee93/au/aupa/,2025-08-29 10:37:33,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/60 R17 100H GRANDTREK AT5,1040.65,https://www.magazineluiza.com.br/pneu-dunlop-215-60-r17-100h-grandtrek-at5/p/ffh0k92ja9/au/aupa/,2025-08-29 10:37:45,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/60 R17 100H GRANDTREK AT5,1040.65,https://www.magazineluiza.com.br/pneu-dunlop-215-60-r17-100h-grandtrek-at5/p/ca9k6hgd85/au/aupa/,2025-08-29 10:37:56,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/60 R17 100H GRANDTREK AT5,1040.65,https://www.magazineluiza.com.br/pneu-dunlop-215-60-r17-100h-grandtrek-at5/p/ad38bhfa34/au/aupa/,2025-08-29 10:38:06,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/60 R17 100H GRANDTREK AT5,1040.65,https://www.magazineluiza.com.br/pneu-dunlop-215-60-r17-100h-grandtrek-at5/p/bega59ef8e/au/aupa/,2025-08-29 10:38:18,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215 60 R17 100h Grandtrek At5 Dunlop Cod.ref. Compass Patriot Renegade Creta Captur X60 417044,813.2,https://www.magazineluiza.com.br/pneu-215-60-r17-100h-grandtrek-at5-dunlop-cod-ref-compass-patriot-renegade-creta-captur-x60-417044/p/dk7004he97/au/aupa/,2025-08-29 10:38:28,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215 60 R17 96h Enasave Ec300+ Dunlop 417931,763.68,https://www.magazineluiza.com.br/pneu-215-60-r17-96h-enasave-ec300-dunlop-417931/p/kf8k6ake2c/au/pnoc/,2025-08-29 10:38:40,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/60R17 96H Ensave EC300+,833.88,https://www.magazineluiza.com.br/pneu-dunlop-215-60r17-96h-ensave-ec300/p/fcf1jjdh6k/au/aupa/,2025-08-29 10:39:03,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/60R17 96H Enasave EC300+,980.59,https://www.magazineluiza.com.br/pneu-dunlop-215-60r17-96h-enasave-ec300/p/djej53dcb5/au/aupa/,2025-08-29 10:39:15,215/60R17,dunlop,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
