titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Goodyear Aro 17 Efficientgrip SUV 215/60R17 96H,800.7,https://www.magazineluiza.com.br/pneu-goodyear-aro-17-efficientgrip-suv-215-60r17-96h/p/kaa132522h/au/pine/,2025-08-23 18:12:35,215/60R17,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215 60R17 Efficientgrip Suv Goodyear 96H SL,930.91,https://www.magazineluiza.com.br/pneu-215-60r17-efficientgrip-suv-goodyear-96h-sl/p/aeba514377/au/aupa/,2025-08-23 18:12:46,215/60R17,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 17 215/60R17 Efficientgrip 96H,1117.72,https://www.magazineluiza.com.br/pneu-goodyear-aro-17-215-60r17-efficientgrip-96h/p/ejj85k58hj/au/pine/,2025-08-23 18:12:58,215/60R17,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/60R17 Goodyear EfficientGrip SUV 96H,1033.95,https://www.magazineluiza.com.br/pneu-215-60r17-goodyear-efficientgrip-suv-96h/p/hjcaj5764b/au/pine/,2025-08-23 18:13:09,215/60R17,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 17 EfficientGrip 215/60R17 100H XL,962.39,https://www.magazineluiza.com.br/pneu-goodyear-aro-17-efficientgrip-215-60r17-100h-xl/p/gc873216a4/au/aupa/,2025-08-23 18:13:21,215/60R17,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/60R17 Goodyear Efficientgrip SUV 96H,955.0,https://www.magazineluiza.com.br/pneu-215-60r17-goodyear-efficientgrip-suv-96h/p/bh587b2kh4/au/pine/,2025-08-23 18:13:33,215/60R17,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17” Goodyear 215/60R17 96H - EfficientGrip SUV,908.2,https://www.magazineluiza.com.br/pneu-aro-17-goodyear-215-60r17-96h-efficientgrip-suv/p/hgfaf6fbb7/au/pine/,2025-08-23 18:13:43,215/60R17,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 17 Efficientgrip SUV 215/60R17 96H,800.7,https://www.magazineluiza.com.br/pneu-goodyear-aro-17-efficientgrip-suv-215-60r17-96h/p/kaa132522h/au/pine/,2025-08-23 18:14:21,215/60R17,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215 60R17 Efficientgrip Suv Goodyear 96H SL,930.91,https://www.magazineluiza.com.br/pneu-215-60r17-efficientgrip-suv-goodyear-96h-sl/p/aeba514377/au/aupa/,2025-08-23 18:14:32,215/60R17,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 17 215/60R17 Efficientgrip 96H,1117.72,https://www.magazineluiza.com.br/pneu-goodyear-aro-17-215-60r17-efficientgrip-96h/p/ejj85k58hj/au/pine/,2025-08-23 18:14:46,215/60R17,goodyear,efficientgrip,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
