titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 16 Xbri 215/65 R16 8PR TL 103/100R Brutus T/A Brutus T/A,740.87,https://www.magazineluiza.com.br/pneu-aro-16-xbri-215-65-r16-8pr-tl-103-100r-brutus-t-a-brutus-t-a/p/gh4ed1110f/au/aupa/,2025-09-11 21:04:09,215/65R16,xbri,brutus t/a,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Xbri 215/65 R16 Brutus T/A 103/100R Tl 8Pr,764.51,https://www.magazineluiza.com.br/pneu-xbri-215-65-r16-brutus-t-a-103-100r-tl-8pr-xbri-tires/p/bc1jdfg953/au/aupa/,2025-09-11 21:04:12,215/65R16,xbri,brutus t/a,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Carro 215 65 R16 Brutus TA Letra Branca 8PR TL 103 e 100R Xbri,873.46,https://www.magazineluiza.com.br/pneu-carro-215-65-r16-brutus-ta-letra-branca-8pr-tl-103-e-100r-xbri/p/eacc3e1gdj/au/pine/,2025-09-11 21:04:15,215/65R16,xbri,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu aro 16 215/65 r16 xbri at brutus ta 103/100r letra branca,992.61,https://www.magazineluiza.com.br/pneu-aro-16-215-65-r16-xbri-at-brutus-ta-103-100r-letra-branca/p/ad4gfj7ee3/au/pnoc/,2025-09-11 21:04:18,215/65R16,xbri,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 16 Xbri 215/65 R16 8PR TL 103/100R Brutus T/A Brutus T/A,740.87,https://www.magazineluiza.com.br/pneu-aro-16-xbri-215-65-r16-8pr-tl-103-100r-brutus-t-a-brutus-t-a/p/gh4ed1110f/au/aupa/,2025-09-11 21:04:46,215/65R16,xbri,brutus t/a,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Xbri 215/65 R16 Brutus T/A 103/100R Tl 8Pr,764.51,https://www.magazineluiza.com.br/pneu-xbri-215-65-r16-brutus-t-a-103-100r-tl-8pr-xbri-tires/p/bc1jdfg953/au/aupa/,2025-09-11 21:04:47,215/65R16,xbri,brutus t/a,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Carro 215 65 R16 Brutus TA Letra Branca 8PR TL 103 e 100R Xbri,873.46,https://www.magazineluiza.com.br/pneu-carro-215-65-r16-brutus-ta-letra-branca-8pr-tl-103-e-100r-xbri/p/eacc3e1gdj/au/pine/,2025-09-11 21:04:49,215/65R16,xbri,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu aro 16 215/65 r16 xbri at brutus ta 103/100r letra branca,992.61,https://www.magazineluiza.com.br/pneu-aro-16-215-65-r16-xbri-at-brutus-ta-103-100r-letra-branca/p/ad4gfj7ee3/au/pnoc/,2025-09-11 21:04:51,215/65R16,xbri,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu aro 16 215/65 r16 xbri at brutus ta 103/100r letra branca,992.61,https://www.magazineluiza.com.br/pneu-aro-16-215-65-r16-xbri-at-brutus-ta-103-100r-letra-branca/p/ad4gfj7ee3/au/pnoc/,2025-09-11 21:04:56,215/65R16,xbri,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Carro 215 65 R16 Brutus TA Letra Branca 8PR TL 103 e 100R Xbri,873.46,https://www.magazineluiza.com.br/pneu-carro-215-65-r16-brutus-ta-letra-branca-8pr-tl-103-e-100r-xbri/p/eacc3e1gdj/au/pine/,2025-09-11 21:04:58,215/65R16,xbri,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
