titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 215/75R17.5 Xbri Robusto P1 126/124L Borrachudo 16 Lonas,765.05,https://www.magazineluiza.com.br/pneu-215-75r17-5-xbri-robusto-p1-126-124l-borrachudo-16-lonas/p/hd61a392ef/au/pnoc/,2025-08-29 03:16:57,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/75R17.5 Misto 16 Lonas 126/124L Robusto P1 Xbri,818.86,https://www.magazineluiza.com.br/pneu-215-75r17-5-misto-16-lonas-126-124l-robusto-p1-xbri/p/ega8g77j73/au/pnoc/,2025-08-29 03:17:09,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17.5 215/75R17.5 Xbri Ecoplus P1 126/124L 16PR TL,754.6,https://www.magazineluiza.com.br/pneu-aro-17-5-215-75r17-5-xbri-ecoplus-p1-126-124l-16pr-tl/p/eb2d3ff497/au/aupa/,2025-08-29 03:17:20,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu xbri 215/75r17.5 16pr 126/124l robusto p1 misto,737.91,https://www.magazineluiza.com.br/pneu-xbri-215-75r17-5-16pr-126-124l-robusto-p1-misto/p/cg039d8735/au/aupa/,2025-08-29 03:17:32,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Xbri Aro 17.5 215/75R17.5 126/124L 16PR Ecoway P1,738.41,https://www.magazineluiza.com.br/pneu-xbri-aro-17-5-215-75r17-5-126-124l-16pr-ecoway-p1/p/aa9c653ecf/au/pnoc/,2025-08-29 03:17:42,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Sestante by Pirelli Aro 17.5 215/75R17.5 126/124L TL Steer Rodoviário,1101.0,https://www.magazineluiza.com.br/pneu-sestante-by-pirelli-aro-17-5-215-75r17-5-126-124l-tl-steer-rodoviario-sestante-prometeon/p/eb458785j6/au/aupa/,2025-08-29 03:17:53,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/75R17.5 Borrachudo 16 Lonas Xforza Xbri,840.99,https://www.magazineluiza.com.br/pneu-215-75r17-5-borrachudo-16-lonas-xforza-xbri/p/ckj98080fa/au/pnoc/,2025-08-29 03:18:03,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17.5 215/75R17.5 Xbri 126/124L 16PR TL XForza P1,685.0,https://www.magazineluiza.com.br/pneu-aro-17-5-215-75r17-5-xbri-126-124l-16pr-tl-xforza-p1/p/haegbd5ajc/au/pnoc/,2025-08-29 03:18:14,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/75R17.5 Borrachudo Misto 16 Lonas 135/133J Robusto A2 Xbri,830.46,https://www.magazineluiza.com.br/pneu-215-75r17-5-borrachudo-misto-16-lonas-135-133j-robusto-a2-xbri/p/hdk99cd06c/au/pnoc/,2025-08-29 03:18:26,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu 215/75R17.5 16PR 126/124L TL Doublestar DSRS01 Liso Aro 17,5",1023.06,https://www.magazineluiza.com.br/pneu-215-75r17-5-16pr-126-124l-tl-doublestar-dsrs01-liso-aro-175/p/ahc6e06876/au/pine/,2025-08-29 03:18:37,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/75R17.5 Liso 18 Lonas 135/133J FAR603 Fortune,772.69,https://www.magazineluiza.com.br/pneu-215-75r17-5-liso-18-lonas-135-133j-far603-fortune/p/agk6f99j1c/au/pnoc/,2025-08-29 03:18:47,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
