titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
"Pneu 215/75R17.5 16PR 126/124L TL Doublestar DSRS01 Liso Aro 17,5",1023.06,https://www.magazineluiza.com.br/pneu-215-75r17-5-16pr-126-124l-tl-doublestar-dsrs01-liso-aro-175/p/ahc6e06876/au/pine/,2025-08-29 08:56:35,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu doublestar 215/75r17,5 16pr 126/124l tl dsrs01",1005.42,https://www.magazineluiza.com.br/pneu-doublestar-215-75r175-16pr-126-124l-tl-dsrs01/p/khgk5a6hb1/au/pnoc/,2025-08-29 08:56:47,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu doublestar 215/75r17.5 16pr 126/124l tl dsrd01,945.35,https://www.magazineluiza.com.br/pneu-doublestar-215-75r17-5-16pr-126-124l-tl-dsrd01/p/dj7b22ec04/au/pnoc/,2025-08-29 08:57:00,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu 215/75R17.5 TL Doublestar Borrachudo Aro 17,5",1298.9,https://www.magazineluiza.com.br/pneu-215-75r17-5-tl-doublestar-borrachudo-aro-175-doublestar-dsrd01-5/p/ag7eb37073/au/pnoc/,2025-08-29 08:57:16,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu 215/75R17.5 16PR 126/124L TL Doublestar DSRS01 Liso Aro 17,5",1023.06,https://www.magazineluiza.com.br/pneu-215-75r17-5-16pr-126-124l-tl-doublestar-dsrs01-liso-aro-175/p/ahc6e06876/au/pine/,2025-08-29 08:57:49,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu doublestar 215/75r17,5 16pr 126/124l tl dsrs01",1005.42,https://www.magazineluiza.com.br/pneu-doublestar-215-75r175-16pr-126-124l-tl-dsrs01/p/khgk5a6hb1/au/pnoc/,2025-08-29 08:58:01,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu doublestar 215/75r17.5 16pr 126/124l tl dsrd01,945.35,https://www.magazineluiza.com.br/pneu-doublestar-215-75r17-5-16pr-126-124l-tl-dsrd01/p/dj7b22ec04/au/pnoc/,2025-08-29 08:58:13,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu 215/75R17.5 TL Doublestar Borrachudo Aro 17,5",1298.9,https://www.magazineluiza.com.br/pneu-215-75r17-5-tl-doublestar-borrachudo-aro-175-doublestar-dsrd01-5/p/ag7eb37073/au/pnoc/,2025-08-29 08:58:29,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu 215/75R17.5 16PR 126/124L TL Doublestar DSRS01 Liso Aro 17,5",1023.06,https://www.magazineluiza.com.br/pneu-215-75r17-5-16pr-126-124l-tl-doublestar-dsrs01-liso-aro-175/p/ahc6e06876/au/pine/,2025-08-29 08:59:06,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu doublestar 215/75r17,5 16pr 126/124l tl dsrs01",1005.42,https://www.magazineluiza.com.br/pneu-doublestar-215-75r175-16pr-126-124l-tl-dsrs01/p/khgk5a6hb1/au/pnoc/,2025-08-29 08:59:19,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu doublestar 215/75r17.5 16pr 126/124l tl dsrd01,945.35,https://www.magazineluiza.com.br/pneu-doublestar-215-75r17-5-16pr-126-124l-tl-dsrd01/p/dj7b22ec04/au/pnoc/,2025-08-29 08:59:31,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu 215/75R17.5 TL Doublestar Borrachudo Aro 17,5",1298.9,https://www.magazineluiza.com.br/pneu-215-75r17-5-tl-doublestar-borrachudo-aro-175-doublestar-dsrd01-5/p/ag7eb37073/au/pnoc/,2025-08-29 08:59:46,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
