titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 215/75R17.5 Borrachudo 16 Lonas Xforza Xbri,840.99,https://www.magazineluiza.com.br/pneu-215-75r17-5-borrachudo-16-lonas-xforza-xbri/p/ckj98080fa/au/pnoc/,2025-08-24 10:07:08,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Xbri 215/75 R17,5 135/133J 16Pr Ecoway Liso",722.19,https://www.magazineluiza.com.br/pneu-xbri-215-75-r175-135-133j-16pr-ecoway-liso-xbri-tires/p/ea16hjh4a3/au/pnoc/,2025-08-24 10:07:21,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Xbri Aro 17.5 215/75r17.5 135/133J 16PR Ecoway Liso Rodoviário,678.0,https://www.magazineluiza.com.br/pneu-xbri-aro-17-5-215-75r17-5-135-133j-16pr-ecoway-liso-rodoviario/p/cgff32g7h6/au/pine/,2025-08-24 10:07:37,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 215/75R17.5 XBRI 135/133J 18PR TL Ecoplus C2,919.99,https://www.magazineluiza.com.br/pneu-aro-215-75r17-5-xbri-135-133j-18pr-tl-ecoplus-c2/p/fc091d1d63/au/pine/,2025-08-24 10:07:48,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Xbri Aro 17.5 215/75R17.5 126/124L 16PR Ecoway P1,677.96,https://www.magazineluiza.com.br/pneu-xbri-aro-17-5-215-75r17-5-126-124l-16pr-ecoway-p1/p/aa9c653ecf/au/pnoc/,2025-08-24 10:08:00,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu xbri 215/75r17.5 16pr 126/124l robusto p1 misto,737.91,https://www.magazineluiza.com.br/pneu-xbri-215-75r17-5-16pr-126-124l-robusto-p1-misto/p/cg039d8735/au/aupa/,2025-08-24 10:08:10,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/75R17.5 Borrachudo 16 Lonas 135/133J Robusto E2 Xbri,892.6,https://www.magazineluiza.com.br/pneu-215-75r17-5-borrachudo-16-lonas-135-133j-robusto-e2-xbri/p/gfkg7a74kg/au/pnoc/,2025-08-24 10:08:21,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/75R17.5 Borrachudo Misto 16 Lonas 135/133J Robusto A2 Xbri,830.46,https://www.magazineluiza.com.br/pneu-215-75r17-5-borrachudo-misto-16-lonas-135-133j-robusto-a2-xbri/p/hdk99cd06c/au/pnoc/,2025-08-24 10:08:32,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17.5 215/75R17.5 Xbri Ecoplus P1 126/124L 16PR TL,690.91,https://www.magazineluiza.com.br/pneu-aro-17-5-215-75r17-5-xbri-ecoplus-p1-126-124l-16pr-tl/p/eb2d3ff497/au/aupa/,2025-08-24 10:08:43,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/75R17.5 Borrachudo 16 Lonas Xforza Xbri,840.99,https://www.magazineluiza.com.br/pneu-215-75r17-5-borrachudo-16-lonas-xforza-xbri/p/ckj98080fa/au/pnoc/,2025-08-24 10:09:21,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Xbri 215/75 R17,5 135/133J 16Pr Ecoway Liso",722.19,https://www.magazineluiza.com.br/pneu-xbri-215-75-r175-135-133j-16pr-ecoway-liso-xbri-tires/p/ea16hjh4a3/au/pnoc/,2025-08-24 10:09:35,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Xbri Aro 17.5 215/75r17.5 135/133J 16PR Ecoway Liso Rodoviário,678.0,https://www.magazineluiza.com.br/pneu-xbri-aro-17-5-215-75r17-5-135-133j-16pr-ecoway-liso-rodoviario/p/cgff32g7h6/au/pine/,2025-08-24 10:09:50,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 215/75R17.5 XBRI 135/133J 18PR TL Ecoplus C2,919.99,https://www.magazineluiza.com.br/pneu-aro-215-75r17-5-xbri-135-133j-18pr-tl-ecoplus-c2/p/fc091d1d63/au/pine/,2025-08-24 10:10:01,215/75R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
