titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Double King Aro 17 215/45R17 DK798 91W XL,591.84,https://www.magazineluiza.com.br/pneu-double-king-aro-17-215-45r17-dk798-91w-xl/p/ja3f281dea/au/pine/,2025-08-22 09:05:35,215/45R17,,,62299877.87,True,https://a-static.mlcdn.com.br/280x210/pneu-double-king-aro-17-215-45r17-dk798-91w-xl/lemanspneusstore/2154517dk/545559f44fcae62ed0184b42046b2feb.jpeg,magazineluiza,,True,0,0.0,Lemans Pneus Store,False,,,
Pneu 215/45R17 91W DK798 Alfamotors,459.42,https://www.magazineluiza.com.br/pneu-215-45r17-91w-dk798-alfamotors/p/ge7h05acke/au/pine/,2025-08-22 09:05:39,215/45R17,,,522.53,True,https://a-static.mlcdn.com.br/280x210/pneu-215-45r17-91w-dk798-alfamotors/pneubest3/21545r17ldk1wai/248aaeba08a3eec656263189086519d7.jpeg,magazineluiza,,True,0,0.0,Pneu Best,False,,,
Pneu aro 17 215/45 r17 continental extremecontact dw xl 91w,750.1,https://www.magazineluiza.com.br/pneu-aro-17-215-45-r17-continental-extremecontact-dw-xl-91w/p/haccbb6e75/au/pine/,2025-08-22 09:05:42,215/45R17,continental,,760.67,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-17-215-45-r17-continental-extremecontact-dw-xl-91w/burajirupneus/181p/1b834d8d784d1321ea9318cbf5663794.jpeg,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
Pneu Triangle Aro 17 215/45 R17 91Y TH201,436.37,https://www.magazineluiza.com.br/pneu-triangle-aro-17-215-45-r17-91y-th201/p/bjfa62f957/au/pnoc/,2025-08-22 09:05:45,215/45R17,,,474314118.58,True,https://a-static.mlcdn.com.br/280x210/pneu-triangle-aro-17-215-45-r17-91y-th201/autoloja/1975p/f0b48e29fe4089f4d79d62c1424cf928.jpeg,magazineluiza,,True,0,0.0,Auto Loja,False,,,
Pneu Triangle 215/45 R17 91W Th201,550.07,https://www.magazineluiza.com.br/pneu-triangle-215-45-r17-91w-th201/p/cka4h3h9e1/au/pine/,2025-08-22 09:05:49,215/45R17,,,609.5,True,https://a-static.mlcdn.com.br/280x210/pneu-triangle-215-45-r17-91w-th201/autoloja/1376/de6e8ccc00ce409caefde06e76fd8cd5.jpeg,magazineluiza,,True,0,0.0,Auto Loja,False,,,
Pneu Aro 17 Westlake 215/45 R17 91W SA57,535.46,https://www.magazineluiza.com.br/pneu-aro-17-westlake-215-45-r17-91w-sa57/p/aej938k823/au/pine/,2025-08-22 09:05:52,215/45R17,,,53546776.49,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-17-westlake-215-45-r17-91w-sa57/pneugreen/2486/42798add00aa90a184f6700ed32a23c6.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Westlake Aro 17 215/45 R17 91W SA57,581.25,https://www.magazineluiza.com.br/pneu-westlake-aro-17-215-45-r17-91w-sa57/p/jj81ckbd9d/au/pine/,2025-08-22 09:05:54,215/45R17,,,58125872.66,True,https://a-static.mlcdn.com.br/280x210/pneu-westlake-aro-17-215-45-r17-91w-sa57/deck55/pn00643/4d345ad7fe795264d4e9b7f2c5465b72.jpeg,magazineluiza,,True,0,0.0,Deck 55,False,,,
Pneu Aro 17 Xbri 215/45 R17 91W Fastway W2 Extra Load,528.82,https://www.magazineluiza.com.br/pneu-aro-17-xbri-215-45-r17-91w-fastway-w2-extra-load/p/jg9h0jd9h5/au/pine/,2025-08-22 09:05:57,215/45R17,,,52882775.55,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-17-xbri-215-45-r17-91w-fastway-w2-extra-load/pneugreen/2456/931b0b2036c8b505d169a403a0ef121f.jpeg,magazineluiza,,True,2,0.0,Pneugreen,False,,,
Pneu Aro 17 Chengshan 215/45 R17 91Y CS-701,460.13,https://www.magazineluiza.com.br/pneu-aro-17-chengshan-215-45-r17-91y-cs-701/p/cb6ebf95hg/au/pine/,2025-08-22 09:06:00,215/45R17,,,476.0,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-17-chengshan-215-45-r17-91y-cs-701/pneugreen/1433/880e1e52455a654223e3e49bc1e90432.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Aro 17 Xbri 215/45 R17 ZR 91W XL Sport Plus F1,529.13,https://www.magazineluiza.com.br/pneu-aro-17-xbri-215-45-r17-zr-91w-xl-sport-plus-f1/p/gaec3gcj39/au/aupa/,2025-08-22 09:06:04,215/45R17,,,52913775.59,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-17-xbri-215-45-r17-zr-91w-xl-sport-plus-f1/pneugreen/1210/c6ff2e713436bcbbfba9c8b63a88b180.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Aro 17 Michelin 215/45 R17 91w Primacy 4+,861.15,https://www.magazineluiza.com.br/pneu-aro-17-michelin-215-45-r17-91w-primacy-4/p/kcb932h049/au/aupa/,2025-08-22 09:06:06,215/45R17,michelin,primacy 4,890.85,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-17-michelin-215-45-r17-91w-primacy-4/pneugreen/607/ec7bd6769c0440b3c868a63bb4aced39.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu Aro 17 Bridgestone 215/45 R17 BL91V XL Turanza T005,708.57,https://www.magazineluiza.com.br/pneu-aro-17-bridgestone-215-45-r17-bl91v-xl-turanza-t005/p/gkg1891401/au/aupa/,2025-08-22 09:06:09,215/45R17,bridgestone,,733.01,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-17-bridgestone-215-45-r17-bl91v-xl-turanza-t005/pneugreen/1227/49f2e2272153f83cb432482bb0f1ada7.jpeg,magazineluiza,,True,0,0.0,Pneugreen,False,,,
