titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Continental 215/45 R18 93h Xl Fr Premiumcontact 6,1020.14,https://www.magazineluiza.com.br/pneu-continental-215-45-r18-93h-xl-fr-premiumcontact-6/p/he0b06h42c/au/pine/,2025-08-30 03:42:30,215/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Chengshan 215/45 R18 93W CSC-701,466.76,https://www.magazineluiza.com.br/pneu-aro-18-chengshan-215-45-r18-93w-csc-701/p/gb3hhj85a3/au/pine/,2025-08-30 03:42:42,215/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Westlake 215/45 R18 93Y SA37,603.77,https://www.magazineluiza.com.br/pneu-aro-18-westlake-215-45-r18-93y-sa37/p/chh1jhcjkg/au/pine/,2025-08-30 03:42:53,215/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Pirelli 215/45 R18 89W Cinturato P7,1041.37,https://www.magazineluiza.com.br/pneu-aro-18-pirelli-215-45-r18-89w-cinturato-p7/p/hjd10hhkgc/au/pine/,2025-08-30 03:43:03,215/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 18 215/45 R18 DS2 89Y,988.98,https://www.magazineluiza.com.br/pneu-delinte-aro-18-215-45-r18-ds2-89y/p/kaah8bgbg2/au/pine/,2025-08-30 03:43:13,215/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 215/45 r18 aptany ra301 93w valor unitario,713.12,https://www.magazineluiza.com.br/pneu-aro-18-215-45-r18-aptany-ra301-93w-valor-unitario/p/ba70hd137e/au/pine/,2025-08-30 03:43:24,215/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 215/45 R18 93Y Ventus V12 Evo2 K120,932.89,https://www.magazineluiza.com.br/pneu-hankook-215-45-r18-93y-ventus-v12-evo2-k120/p/hgk051387c/au/aupa/,2025-08-30 03:43:36,215/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook Aro 18 215/45 R18 89V Kinergy Gt K125,992.0,https://www.magazineluiza.com.br/pneu-hankook-aro-18-215-45-r18-89v-kinergy-gt-k125/p/kc3jdjjde1/au/aupa/,2025-08-30 03:43:46,215/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 215/45 r18 habilead s2000 93w,723.69,https://www.magazineluiza.com.br/pneu-aro-18-215-45-r18-habilead-s2000-93w-hifly/p/ec7j5fke0j/mo/mjav/,2025-08-30 03:44:05,215/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 215/45 R18 93h Xl Fr Premiumcontact 6,1020.14,https://www.magazineluiza.com.br/pneu-continental-215-45-r18-93h-xl-fr-premiumcontact-6/p/he0b06h42c/au/pine/,2025-08-30 03:44:45,215/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Chengshan 215/45 R18 93W CSC-701,466.76,https://www.magazineluiza.com.br/pneu-aro-18-chengshan-215-45-r18-93w-csc-701/p/gb3hhj85a3/au/pine/,2025-08-30 03:44:58,215/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Westlake 215/45 R18 93Y SA37,603.77,https://www.magazineluiza.com.br/pneu-aro-18-westlake-215-45-r18-93y-sa37/p/chh1jhcjkg/au/pine/,2025-08-30 03:45:08,215/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Pirelli 215/45 R18 89W Cinturato P7,1041.37,https://www.magazineluiza.com.br/pneu-aro-18-pirelli-215-45-r18-89w-cinturato-p7/p/hjd10hhkgc/au/pine/,2025-08-30 03:45:19,215/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 18 215/45 R18 DS2 89Y,988.98,https://www.magazineluiza.com.br/pneu-delinte-aro-18-215-45-r18-ds2-89y/p/kaah8bgbg2/au/pine/,2025-08-30 03:45:30,215/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 215/45 r18 aptany ra301 93w valor unitario,713.12,https://www.magazineluiza.com.br/pneu-aro-18-215-45-r18-aptany-ra301-93w-valor-unitario/p/ba70hd137e/au/pine/,2025-08-30 03:45:40,215/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 215/45 R18 93Y Ventus V12 Evo2 K120,932.89,https://www.magazineluiza.com.br/pneu-hankook-215-45-r18-93y-ventus-v12-evo2-k120/p/hgk051387c/au/aupa/,2025-08-30 03:45:52,215/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook Aro 18 215/45 R18 89V Kinergy Gt K125,992.0,https://www.magazineluiza.com.br/pneu-hankook-aro-18-215-45-r18-89v-kinergy-gt-k125/p/kc3jdjjde1/au/aupa/,2025-08-30 03:46:03,215/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 215/45 r18 habilead s2000 93w,723.69,https://www.magazineluiza.com.br/pneu-aro-18-215-45-r18-habilead-s2000-93w-hifly/p/ec7j5fke0j/mo/mjav/,2025-08-30 03:46:21,215/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
