titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 215/55 r 16 comfort i 93h lanvigator,686.55,https://www.magazineluiza.com.br/pneu-215-55-r-16-comfort-i-93h-lanvigator/p/kf681ek635/au/pine/,2025-08-30 02:51:00,215/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 215/55 r16 lanvigator confort ii 97w,542.33,https://www.magazineluiza.com.br/pneu-aro-16-215-55-r16-lanvigator-confort-ii-97w/p/ehff60gbkg/au/pine/,2025-08-30 02:51:11,215/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Michelin 215/55 R16 97W XL Primacy 4+,1163.63,https://www.magazineluiza.com.br/pneu-aro-16-michelin-215-55-r16-97w-xl-primacy-4/p/eh9ghb8627/au/aupa/,2025-08-30 02:51:22,215/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/55 R16 Hankook Ventus S1 Noble 2 H452,778.9,https://www.magazineluiza.com.br/pneu-215-55-r16-hankook-ventus-s1-noble-2-h452/p/eab7jc1d6h/au/pine/,2025-08-30 02:51:32,215/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 215/55 R16 97W Ventus S1 Noble H452,737.97,https://www.magazineluiza.com.br/pneu-hankook-215-55-r16-97w-ventus-s1-noble-h452/p/jcc4eb2e0h/au/pine/,2025-08-30 02:51:44,215/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 16 215/55 R16 DS2 97W XL,751.71,https://www.magazineluiza.com.br/pneu-delinte-aro-16-215-55-r16-ds2-97w-xl/p/bajagd8bg1/au/pine/,2025-08-30 02:51:54,215/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/55 r 16 comfort i 93h lanvigator,686.55,https://www.magazineluiza.com.br/pneu-215-55-r-16-comfort-i-93h-lanvigator/p/kf681ek635/au/pine/,2025-08-30 02:52:45,215/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 215/55 r16 lanvigator confort ii 97w,542.33,https://www.magazineluiza.com.br/pneu-aro-16-215-55-r16-lanvigator-confort-ii-97w/p/ehff60gbkg/au/pine/,2025-08-30 02:52:57,215/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Michelin 215/55 R16 97W XL Primacy 4+,1163.63,https://www.magazineluiza.com.br/pneu-aro-16-michelin-215-55-r16-97w-xl-primacy-4/p/eh9ghb8627/au/aupa/,2025-08-30 02:53:08,215/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/55 R16 Hankook Ventus S1 Noble 2 H452,778.9,https://www.magazineluiza.com.br/pneu-215-55-r16-hankook-ventus-s1-noble-2-h452/p/eab7jc1d6h/au/pine/,2025-08-30 02:53:18,215/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 16 215/55 R16 DS2 97W XL,751.71,https://www.magazineluiza.com.br/pneu-delinte-aro-16-215-55-r16-ds2-97w-xl/p/bajagd8bg1/au/pine/,2025-08-30 02:53:31,215/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 215/55 R16 97W Ventus S1 Noble H452,737.97,https://www.magazineluiza.com.br/pneu-hankook-215-55-r16-97w-ventus-s1-noble-h452/p/jcc4eb2e0h/au/pine/,2025-08-30 02:53:42,215/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/55 r 16 comfort i 93h lanvigator,686.55,https://www.magazineluiza.com.br/pneu-215-55-r-16-comfort-i-93h-lanvigator/p/kf681ek635/au/pine/,2025-08-30 02:54:37,215/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 16 215/55 r16 lanvigator confort ii 97w,542.33,https://www.magazineluiza.com.br/pneu-aro-16-215-55-r16-lanvigator-confort-ii-97w/p/ehff60gbkg/au/pine/,2025-08-30 02:54:49,215/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 16 Michelin 215/55 R16 97W XL Primacy 4+,1163.63,https://www.magazineluiza.com.br/pneu-aro-16-michelin-215-55-r16-97w-xl-primacy-4/p/eh9ghb8627/au/aupa/,2025-08-30 02:55:00,215/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/55 R16 Hankook Ventus S1 Noble 2 H452,778.9,https://www.magazineluiza.com.br/pneu-215-55-r16-hankook-ventus-s1-noble-2-h452/p/eab7jc1d6h/au/pine/,2025-08-30 02:55:10,215/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 16 215/55 R16 DS2 97W XL,751.71,https://www.magazineluiza.com.br/pneu-delinte-aro-16-215-55-r16-ds2-97w-xl/p/bajagd8bg1/au/pine/,2025-08-30 02:55:23,215/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 215/55 R16 97W Ventus S1 Noble H452,737.97,https://www.magazineluiza.com.br/pneu-hankook-215-55-r16-97w-ventus-s1-noble-h452/p/jcc4eb2e0h/au/pine/,2025-08-30 02:55:33,215/55R16,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
