titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 17 Goodyear 215/55 R17 94V Efficientgrip Suv,811.7,https://www.magazineluiza.com.br/pneu-aro-17-goodyear-215-55-r17-94v-efficientgrip-suv/p/ck92gk26b5/au/aupa/,2025-08-29 20:29:45,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Continental 215/55 R17 94V FR UltraContact,746.18,https://www.magazineluiza.com.br/pneu-aro-17-continental-215-55-r17-94v-fr-ultracontact/p/fc70ahe1b5/au/pine/,2025-08-29 20:29:55,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Xbri 215/55 R17 94V TL Ecology,523.48,https://www.magazineluiza.com.br/pneu-aro-17-xbri-215-55-r17-94v-tl-ecology/p/hb3ddjbgb0/au/aupa/,2025-08-29 20:30:06,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 215/55 R 17 - Turanza ER370 94V - Bridgestone,886.35,https://www.magazineluiza.com.br/pneu-215-55-r-17-turanza-er370-94v-bridgestone/p/db6k5j9jdd/au/aupa/,2025-08-29 20:30:17,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 215/55 r17 dunlop fm800 94w,950.99,https://www.magazineluiza.com.br/pneu-aro-17-215-55-r17-dunlop-fm800-94w/p/kk1gk417gb/au/pine/,2025-08-29 20:30:28,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 17 215/55 R17 DH2 98W XL,830.44,https://www.magazineluiza.com.br/pneu-delinte-aro-17-215-55-r17-dh2-98w-xl/p/gaajh96bd0/au/pine/,2025-08-29 20:30:40,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop 215/55 R17 94W SP SPORT FM800,1018.71,https://www.magazineluiza.com.br/pneu-dunlop-215-55-r17-94w-sp-sport-fm800/p/fkd6ckckcg/au/pine/,2025-08-29 20:30:51,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Pirelli 215/55 R17 94V Scorpion Seal Inside,813.02,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-215-55-r17-94v-scorpion-seal-inside/p/dgjbh885ba/au/pine/,2025-08-29 20:31:01,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 215/55 r17 chengshan csc802 94v,625.08,https://www.magazineluiza.com.br/pneu-aro-17-215-55-r17-chengshan-csc802-94v/p/abh9f5fb50/au/aupa/,2025-08-29 20:31:13,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Chengshan 215/55 R17 94V CSC-802,498.48,https://www.magazineluiza.com.br/pneu-aro-17-chengshan-215-55-r17-94v-csc-802/p/akc1j65h6d/au/aupa/,2025-08-29 20:31:24,215/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
